nombre_canonico,tipo,patron,periodo_desde,periodo_hasta,fuente,nota,testigos
Rosatti,titular,horacio\s+(daniel\s+)?rosatti,,,parser<=27.1 (migrada verbatim),,
Rosenkrantz,titular,carlos\s+fernando\s+rosenkrantz,,,parser<=27.1 (migrada verbatim),,
Lorenzetti,titular,ricardo\s+(luis\s+)?lorenzetti,,,parser<=27.1 (migrada verbatim),,
Maqueda,titular,juan\s+carlos\s+maqueda,,,parser<=27.1 (migrada verbatim),,
Highton de Nolasco,titular,elena\s+(i\.|inés)\s*(highton)?(?:\s+de\s+nolasco)?,,,parser<=27.1 (migrada verbatim),,
García Mansilla,titular,manuel\s+jos[eé]?\s+garc[íi]a[\-\s]+mansilla,,,parser<=27.1 (migrada verbatim),,
Zaffaroni,titular,e\.?\s*ra[úu]l\s+zaffaroni|eugenio\s+ra[úu]l\s+zaffaroni,,,parser<=27.1 (migrada verbatim),,
Petracchi,titular,enrique\s+santiago\s+petracchi|enrique\s+s\.?\s+petracchi,,,parser<=27.1 (migrada verbatim),,
Argibay,titular,carmen\s+m\.?\s*argibay|carmen\s+mar[íi]a\s+argibay,,,parser<=27.1 (migrada verbatim),,
Fayt,titular,carlos\s+s\.?\s*fayt|carlos\s+santiago\s+fayt,,,parser<=27.1 (migrada verbatim),,
Boggiano,titular,antonio\s+boggiano|^boggiano\b|—\s*boggiano\s*—,,,parser<=27.1 (migrada verbatim),,
Belluscio,titular,augusto\s+c[ée]sar\s+belluscio,,,parser<=27.1 (migrada verbatim),,
López,titular,guillermo\s+a\.?\s*f\.?\s*l[óo]pez,,,parser<=27.1 (migrada verbatim),,
Vázquez,titular,adolfo\s+roberto\s+v[áa]zquez,,,parser<=27.1 (migrada verbatim),,
Nazareno,titular,juli[oa]\s+s\.?\s*nazareno,,,parser<=27.1 (migrada verbatim),,
Rodríguez Basavilbaso,conjuez,juan\s+carlos\s+rodr[íi]guez\s+basavilbaso,,,parser<=27.1 (migrada verbatim),,
Otero,conjuez,(?:luis\s+)?c[ée]sar\s+otero,,,parser<=27.1 + ensanche H191 (B153),firma sin 'LUIS' en 329_p1303/329_p1305,
Cavallo,conjuez,gabriel\s+(rub[ée]n|r\.?)\s+cavallo,,,parser<=27.1 (migrada verbatim),,
Borinsky,conjuez,mariano\s+borinsky,,,parser<=27.1 (migrada verbatim),,
Catania,conjuez,alejandro\s+s\.?\s*catania,,,parser<=27.1 (migrada verbatim),,
Gemignani,conjuez,juan\s+carlos\s+gemignani,,,parser<=27.1 (migrada verbatim),,
Petrone,conjuez,daniel\s+a\.?\s*petrone,,,parser<=27.1 (migrada verbatim),,
Ledesma,conjuez,angela\s+e\.?\s*ledesma,,,parser<=27.1 (migrada verbatim),,
Barroetaveña,conjuez,diego\s+g\.?\s*barroetave[ñn]a,,,parser<=27.1 (migrada verbatim),,
Hornos,conjuez,gustavo\s+m\.?\s*hornos,,,parser<=27.1 (migrada verbatim),,
Leal de Ibarra,conjuez,(?:javier\s+(?:mar[íi]al?\s+|m\.\s+)?leal\s+de\s+ibarra|leal\s+de\s+ibarra\s+javier\s+m\.?),,,parser<=27.1 + ensanche H191 (B153) + ensanche H192 (B154) + ensanche H202 (B154-bis),OCR 'MARIAL' (María L.) 329_p5261; inicial 'M.' 329_p1303/1305; orden invertido en 344_p3070,344_p3070
Catucci,conjuez,liliana\s+(catucci|cattucci),,,parser<=27.1 (migrada verbatim),,
Riggi,conjuez,eduardo\s+r\.?\s*riggi,,,parser<=27.1 (migrada verbatim),,
