caso_id_canonico,tomo,source_file,voting_pattern,outcome,status_localizacion,n_patrones,case_name_indice
345_p98,345,LibroVol345-1.md,sin_firma,sin_dispositivo,ok_sin_marcador_apertura,1,Biocardales SA c/ DGA s/ Recurso directo de organismo externo
345_p101,345,LibroVol345-1.md,sin_firma,sin_dispositivo,ok_sin_marcador_apertura,1,Cantoni S.A. c/ P.E.N. s/ Amparo ley 16.986
345_p154,345,LibroVol345-1.md,unanime,hace_lugar,ok_sin_marcador_apertura,1,Transporte Interprovincial Correntino Sociedad Anónima (TICSA) c/ Secretaría de Transporte de la Nación s/ Amparo ley 16.986
345_p155,345,LibroVol345-1.md,sin_firma,sin_dispositivo,ok_sin_marcador_apertura,1,"Lebos, Alberto s/ Incidente de incompetencia"
345_p160,345,LibroVol345-1.md,sin_firma,sin_dispositivo,ok_sin_marcador_apertura,2,"Asociación Civil con Personería Jurídica Cuenca Río Paraná c/ Aguas Santafesinas S.A. y Otros s/ Amparo ambiental | Santucho, Jorge Adrián s/ Incidente de incompetencia"
345_p181,345,LibroVol345-1.md,sin_firma,sin_dispositivo,ok_sin_marcador_apertura,1,"Ezquiaga, María Fabiana y Otro s/ Incidente de incompetencia"
345_p182,345,LibroVol345-1.md,sin_firma,sin_dispositivo,ok_sin_marcador_apertura,1,"Fedele, Franco s/ Incidente de incompetencia"
345_p183,345,LibroVol345-1.md,sin_firma,sin_dispositivo,ok_sin_marcador_apertura,1,"Gamron, Miguel Andrés s/ Incidente de incompetencia"
345_p184,345,LibroVol345-1.md,sin_firma,sin_dispositivo,ok_sin_marcador_apertura,1,"Garfunkel, Rafael Augusto y Otros s/ Incidente de incompetencia"
345_p185,345,LibroVol345-1.md,sin_firma,sin_dispositivo,ok_sin_marcador_apertura,3,"López, Andrés s/ Incidente de incompetencia"
345_p243,345,LibroVol345-1.md,unanime,nulidad,ok_sin_marcador_apertura,1,N.N. s/ Incidente de incompetencia
345_p250,345,LibroVol345-1.md,sin_firma,sin_dispositivo,ok_sin_marcador_apertura,2,"Karlen, Alejandro Hernán c/ Estado Nacional, Poder Ejecutivo de la Nación s/ Ejecución de sentencia"
345_p276,345,LibroVol345-1.md,unanime,confirma,ok_sin_marcador_apertura,2,"Bustamante, María Vanesa c/ Pepsico de Argentina S.R.L. y Otro s/ Accidente - acción civil"
345_p282,345,LibroVol345-1.md,sin_firma,sin_dispositivo,ok_sin_marcador_apertura,1,"Brandt, María Claudia c/ Tribunal de Disciplina del Colegio de Abogados de Córdoba s/ Recurso de queja | Bureau Veritas Argentina S.A. y Otro c/ AGIP s/ Proceso de conocimiento"
345_p297,345,LibroVol345-1.md,sin_firma,sin_dispositivo,ok_sin_marcador_apertura,1,"L., A. E. en rep. de su hijo M. L. B. A. c/ Estado Nacional - Programa Federal de Salud - Dirección Nacional de Prestaciones Médicas y Otro s/ Amparo ley 16.986"
345_p379,345,LibroVol345-1.md,sin_firma,sin_dispositivo,ok_sin_marcador_apertura,1,"Díaz, Miriam c/ Celeri, Agustín s/ Incidente de incompetencia"
345_p380,345,LibroVol345-1.md,sin_firma,sin_dispositivo,ok_sin_marcador_apertura,1,"F., L. y Otro s/ Incidente de incompetencia"
345_p381,345,LibroVol345-1.md,sin_firma,sin_dispositivo,ok_sin_marcador_apertura,1,"De los Santos, Alcino y Otros s/ Incidente de incompetencia"
345_p383,345,LibroVol345-1.md,unanime,desestima,ok_sin_marcador_apertura,1,"Maceroni, Sergio Fabián y Otro s/ Incidente de incompetencia"
