tomo,archivo,pag,pag_sig,linea_md,n_contenido,muestra
335,LibroVol335.1.md,88,89,2787,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.1.md,105,106,3366,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.1.md,156,157,5182,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.1.md,251,252,8733,2,"arreglo a lo aquí expresado. Buenos Aires, 9 de noviembre de 2010. | Laura M. Monti. | FALLO DE LA CORTE SUPREMA"
335,LibroVol335.1.md,263,264,9142,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.1.md,293,294,10207,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.1.md,331,332,11648,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.1.md,354,355,12362,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.1.md,373,374,12946,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.1.md,525,526,18691,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.1.md,590,591,21255,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.1.md,594,595,21343,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.1.md,605,606,21731,2,"corresponda, dicte una nueva ajustada a derecho. Buenos Aires, 15 de | diciembre de 2009. Laura M. Monti. | FALLO DE LA "
335,LibroVol335.1.md,621,622,22246,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.1.md,714,715,25698,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.1.md,767,768,27654,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.1.md,774,775,27875,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.1.md,842,843,30397,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.1.md,883,884,31850,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.1.md,930,931,33577,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.1.md,958,959,34622,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.1.md,1007,1008,36457,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.1.md,1035,1036,37538,2,"arreglo a derecho. Buenos Aires, 21 de noviembre de 2011. Marta A. | Beiró de Gonçalvez. | FALLO DE LA CORTE SUPREMA"
335,LibroVol335.1.md,1037,1038,37580,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.1.md,1125,1126,41002,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.1.md,1179,1180,43126,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.1.md,1186,1187,43367,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.1.md,1196,1197,43718,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.2.md,1296,1297,3161,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.2.md,1302,1303,3340,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.2.md,1314,1315,3788,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.2.md,1324,1325,4134,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.2.md,1333,1334,4464,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.2.md,1423,1424,7789,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.2.md,1429,1430,7976,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.2.md,1431,1432,7996,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.2.md,1446,1447,8488,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.2.md,1466,1467,9202,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.2.md,1479,1480,9619,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.2.md,1506,1507,10545,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.2.md,1517,1518,10918,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.2.md,1555,1556,12080,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.2.md,1644,1645,15481,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.2.md,1654,1655,15799,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.2.md,1667,1668,16200,0,FALLO DE LA CORTE SUPREMA
335,LibroVol335.2.md,1683,1684,16759,0,FALLO DE LA CORTE SUPREMA
