subtabla,metrica,valor,pct,status_localizacion,n,status_fin,pista_fin
resumen,total_casos,5647.0,100.0,,,,
resumen,subset_limpio,5566.0,98.57,,,,
resumen,sin_fecha_extraida,416.0,7.37,,,,
resumen,bloque_gigante_>10k_lineas,30.0,0.53,,,,
resumen,anio_inconsistente_con_tomo,4.0,0.07,,,,
resumen,status_localizacion_raro,77.0,1.36,,,,
por_status_localizacion,,,92.83,ok,5242.0,,
por_status_localizacion,,,5.79,ok_sin_marcador_apertura,327.0,,
por_status_localizacion,,,0.69,pagina_fin_no_en_mapa,39.0,,
por_status_localizacion,,,0.34,fallo_cruza_archivos,19.0,,
por_status_localizacion,,,0.34,ultimo_del_tomo,19.0,,
por_status_localizacion,,,0.02,fallo_cruza_archivos_sin_marcador,1.0,,
por_status_fin,,,86.01,,4857.0,fin_extendido_pag_compartida,
por_status_fin,,,11.85,,669.0,fin_dentro_bloque,
por_status_fin,,,2.09,,118.0,fin_por_firma_actual,
por_status_fin,,,0.05,,3.0,fin_no_detectado,
por_pista_fin,,,84.93,,4796.0,,caratula_siguiente
por_pista_fin,,,10.2,,576.0,,sumario_siguiente
por_pista_fin,,,2.73,,154.0,,marcador_apertura_siguiente
por_pista_fin,,,2.09,,118.0,,firma_actual
por_pista_fin,,,0.05,,3.0,,fallback_catalogo
