subtabla,outcome,n,pct,anio,abstracto,competencia,confirma,desestima,desistimiento,hace_lugar,inadmisible_280,mal_concedido,nulidad,originaria,otro,procedente,revoca,sin_dispositivo,total,abstracto_pct,competencia_pct,confirma_pct,desestima_pct,desistimiento_pct,hace_lugar_pct,inadmisible_280_pct,mal_concedido_pct,nulidad_pct,originaria_pct,otro_pct,procedente_pct,revoca_pct,sin_dispositivo_pct
global,otro,1954.0,35.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global,hace_lugar,799.0,14.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global,desestima,786.0,14.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global,procedente,511.0,9.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global,competencia,492.0,8.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global,sin_dispositivo,294.0,5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global,confirma,208.0,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global,revoca,183.0,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global,originaria,111.0,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global,abstracto,79.0,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global,nulidad,67.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global,mal_concedido,40.0,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global,inadmisible_280,31.0,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global,desistimiento,11.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
por_anio_n,,,,2004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,
por_anio_n,,,,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,
por_anio_n,,,,2006,11.0,183.0,34.0,156.0,2.0,80.0,1.0,11.0,7.0,20.0,383.0,84.0,24.0,22.0,1018.0,,,,,,,,,,,,,,
por_anio_n,,,,2007,10.0,70.0,20.0,103.0,0.0,75.0,1.0,6.0,3.0,11.0,298.0,77.0,19.0,19.0,712.0,,,,,,,,,,,,,,
