subtabla,voting_pattern,n,pct,anio,disidencia,mixed,segun_su_voto,sin_firma,unanime,total,disidencia_pct,mixed_pct,segun_su_voto_pct,sin_firma_pct,unanime_pct,concurrencias_pct
global,unanime,4039.0,72.57,,,,,,,,,,,,,
global,sin_firma,567.0,10.19,,,,,,,,,,,,,
global,disidencia,485.0,8.71,,,,,,,,,,,,,
global,segun_su_voto,331.0,5.95,,,,,,,,,,,,,
global,mixed,144.0,2.59,,,,,,,,,,,,,
por_anio_n,,,,2004,1.0,0.0,1.0,0.0,0.0,2.0,,,,,,
por_anio_n,,,,2005,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,
por_anio_n,,,,2006,84.0,19.0,65.0,42.0,808.0,1018.0,,,,,,
por_anio_n,,,,2007,84.0,25.0,37.0,51.0,515.0,712.0,,,,,,
por_anio_n,,,,2008,45.0,10.0,21.0,14.0,243.0,333.0,,,,,,
por_anio_n,,,,2009,27.0,12.0,15.0,13.0,229.0,296.0,,,,,,
por_anio_n,,,,2010,30.0,8.0,13.0,9.0,158.0,218.0,,,,,,
por_anio_n,,,,2011,19.0,6.0,7.0,17.0,114.0,163.0,,,,,,
por_anio_n,,,,2013,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,
por_anio_n,,,,2014,15.0,2.0,6.0,22.0,67.0,112.0,,,,,,
por_anio_n,,,,2015,8.0,1.0,3.0,14.0,105.0,131.0,,,,,,
por_anio_n,,,,2016,2.0,3.0,7.0,20.0,263.0,295.0,,,,,,
por_anio_n,,,,2017,23.0,7.0,15.0,16.0,190.0,251.0,,,,,,
por_anio_n,,,,2018,22.0,5.0,18.0,13.0,160.0,218.0,,,,,,
por_anio_n,,,,2019,21.0,9.0,14.0,14.0,130.0,188.0,,,,,,
por_anio_n,,,,2020,19.0,8.0,16.0,16.0,155.0,214.0,,,,,,
por_anio_n,,,,2021,28.0,11.0,19.0,26.0,196.0,280.0,,,,,,
por_anio_n,,,,2022,15.0,2.0,17.0,19.0,93.0,146.0,,,,,,
por_anio_n,,,,2023,14.0,7.0,10.0,16.0,102.0,149.0,,,,,,
por_anio_n,,,,2024,15.0,5.0,22.0,21.0,134.0,197.0,,,,,,
por_anio_n,,,,2025,3.0,2.0,12.0,20.0,155.0,192.0,,,,,,
por_anio_n,,,,2026,1.0,0.0,5.0,0.0,27.0,33.0,,,,,,
por_anio_pct,,,,2004,,,,,,2.0,50.0,0.0,50.0,0.0,0.0,50.0
por_anio_pct,,,,2005,,,,,,1.0,100.0,0.0,0.0,0.0,0.0,0.0
por_anio_pct,,,,2006,,,,,,1018.0,8.25,1.87,6.39,4.13,79.37,8.26
por_anio_pct,,,,2007,,,,,,712.0,11.8,3.51,5.2,7.16,72.33,8.71
por_anio_pct,,,,2008,,,,,,333.0,13.51,3.0,6.31,4.2,72.97,9.31
por_anio_pct,,,,2009,,,,,,296.0,9.12,4.05,5.07,4.39,77.36,9.12
por_anio_pct,,,,2010,,,,,,218.0,13.76,3.67,5.96,4.13,72.48,9.63
por_anio_pct,,,,2011,,,,,,163.0,11.66,3.68,4.29,10.43,69.94,7.97
por_anio_pct,,,,2013,,,,,,1.0,0.0,0.0,0.0,100.0,0.0,0.0
por_anio_pct,,,,2014,,,,,,112.0,13.39,1.79,5.36,19.64,59.82,7.15
por_anio_pct,,,,2015,,,,,,131.0,6.11,0.76,2.29,10.69,80.15,3.05
por_anio_pct,,,,2016,,,,,,295.0,0.68,1.02,2.37,6.78,89.15,3.39
por_anio_pct,,,,2017,,,,,,251.0,9.16,2.79,5.98,6.37,75.7,8.77
por_anio_pct,,,,2018,,,,,,218.0,10.09,2.29,8.26,5.96,73.39,10.55
por_anio_pct,,,,2019,,,,,,188.0,11.17,4.79,7.45,7.45,69.15,12.24
por_anio_pct,,,,2020,,,,,,214.0,8.88,3.74,7.48,7.48,72.43,11.22
por_anio_pct,,,,2021,,,,,,280.0,10.0,3.93,6.79,9.29,70.0,10.72
por_anio_pct,,,,2022,,,,,,146.0,10.27,1.37,11.64,13.01,63.7,13.01
por_anio_pct,,,,2023,,,,,,149.0,9.4,4.7,6.71,10.74,68.46,11.41
por_anio_pct,,,,2024,,,,,,197.0,7.61,2.54,11.17,10.66,68.02,13.71
por_anio_pct,,,,2025,,,,,,192.0,1.56,1.04,6.25,10.42,80.73,7.29
por_anio_pct,,,,2026,,,,,,33.0,3.03,0.0,15.15,0.0,81.82,15.15
