subtabla,juez,n_total,n_mayoria,n_concurrencia,n_disidencia,wc_voto_mediana_cuando_separado,pct_concurrencia,pct_disidencia
por_juez,Maqueda,3755,3592,66,97,642,1.76,2.58
por_juez,Lorenzetti,3598,3387,95,116,724,2.64,3.22
por_juez,Highton de Nolasco,3353,3134,82,137,323,2.45,4.09
por_juez,Petracchi,1936,1824,38,74,352,1.96,3.82
por_juez,Argibay,1732,1403,120,209,300,6.93,12.07
por_juez,Zaffaroni,1584,1444,44,96,632,2.78,6.06
por_juez,Rosatti,1466,1293,78,95,814,5.32,6.48
por_juez,Fayt,1423,1314,44,65,639,3.09,4.57
por_juez,Rosenkrantz,1364,1171,106,87,694,7.77,6.38
por_juez,Belluscio,9,7,0,2,0,0.0,22.22
por_juez,Boggiano,9,8,0,1,273,0.0,11.11
por_juez,Otero (conjuez),7,3,4,0,236,57.14,0.0
por_juez,Cavallo (conjuez),3,3,0,0,0,0.0,0.0
por_juez,García Mansilla,3,3,0,0,0,0.0,0.0
por_juez,Vázquez,3,2,0,1,0,0.0,33.33
por_juez,López,2,2,0,0,0,0.0,0.0
por_juez,Rodríguez Basavilbaso (conjuez),2,2,0,0,0,0.0,0.0
por_juez,Leal de Ibarra (conjuez),1,0,1,0,0,100.0,0.0
