Desc Tipo Caso-value,Desc Tipo Caso-alias,REC(casos con fallos 2025.sav)-alias,DESC MATERIA SEC OK (casos con fallos 2025.sav)-value,DESC MATERIA SEC OK (casos con fallos 2025.sav)-alias,REC(DESC MATERIA SEC OK (casos con fallos 2025.sav))-alias
%all%,Todo,133,%all%,%all%,1
RECURSO ORDINARIO,RECURSO ORDINARIO,10,%all%,%all%,0.07518796992481203
REC. EXTRAORD. ,REC. EXTRAORD. ,35,%all%,%all%,0.2631578947368421
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,88,%all%,%all%,0.6616541353383458
%all%,Todo,1,Salud,Salud,0.0075187969924812035
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,1,Salud,Salud,0.0075187969924812035
%all%,Todo,5,Previsional,Previsional,0.03759398496240601
REC. EXTRAORD. ,REC. EXTRAORD. ,3,Previsional,Previsional,0.022556390977443608
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,2,Previsional,Previsional,0.015037593984962405
%all%,Todo,10,Laboral,Laboral,0.07518796992481203
REC. EXTRAORD. ,REC. EXTRAORD. ,2,Laboral,Laboral,0.015037593984962405
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,8,Laboral,Laboral,0.06015037593984962
%all%,Todo,15,Tributario - Bancario,Tributario - Bancario,0.11278195488721804
REC. EXTRAORD. ,REC. EXTRAORD. ,9,Tributario - Bancario,Tributario - Bancario,0.06766917293233082
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,6,Tributario - Bancario,Tributario - Bancario,0.045112781954887216
%all%,Todo,19,Penal,Penal,0.14285714285714285
RECURSO ORDINARIO,RECURSO ORDINARIO,10,Penal,Penal,0.07518796992481203
REC. EXTRAORD. ,REC. EXTRAORD. ,3,Penal,Penal,0.022556390977443608
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,6,Penal,Penal,0.045112781954887216
%all%,Todo,22,Administrativo,Administ.,0.16541353383458646
REC. EXTRAORD. ,REC. EXTRAORD. ,5,Administrativo,Administ.,0.03759398496240601
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,17,Administrativo,Administ.,0.12781954887218044
%all%,Todo,30,Civil - Comercial,Civil - Comercial,0.22556390977443608
REC. EXTRAORD. ,REC. EXTRAORD. ,1,Civil - Comercial,Civil - Comercial,0.0075187969924812035
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,29,Civil - Comercial,Civil - Comercial,0.21804511278195488
%all%,Todo,31,Consumo,Consumo,0.23308270676691728
REC. EXTRAORD. ,REC. EXTRAORD. ,12,Consumo,Consumo,0.09022556390977443
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,19,Consumo,Consumo,0.14285714285714285
