Cuestiónfederal (grupo)-value,Cuestiónfederal (grupo)-alias,REC(casos con fallos 2025.sav)-alias,DESC MATERIA SEC OK (casos con fallos 2025.sav)-value,DESC MATERIA SEC OK (casos con fallos 2025.sav)-alias
%all%,Todo,3767,%all%,%all%
SENTENCIA ARBITRARIA,SENTENCIA ARBITRARIA,1232,%all%,%all%
ARTÍCULO 14 DE LA LEY 48,ARTÍCULO 14 DE LA LEY 48,2535,%all%,%all%
%all%,Todo,1,Salud,Salud
ARTÍCULO 14 DE LA LEY 48,ARTÍCULO 14 DE LA LEY 48,1,Salud,Salud
%all%,Todo,2,DDHH- Institucional,DDHH- Institucional
ARTÍCULO 14 DE LA LEY 48,ARTÍCULO 14 DE LA LEY 48,2,DDHH- Institucional,DDHH- Institucional
%all%,Todo,53,Consumo,Consumo
SENTENCIA ARBITRARIA,SENTENCIA ARBITRARIA,17,Consumo,Consumo
ARTÍCULO 14 DE LA LEY 48,ARTÍCULO 14 DE LA LEY 48,36,Consumo,Consumo
%all%,Todo,76,Penal,Penal
SENTENCIA ARBITRARIA,SENTENCIA ARBITRARIA,49,Penal,Penal
ARTÍCULO 14 DE LA LEY 48,ARTÍCULO 14 DE LA LEY 48,27,Penal,Penal
%all%,Todo,110,Tributario - Bancario,Tributario - Bancario
SENTENCIA ARBITRARIA,SENTENCIA ARBITRARIA,25,Tributario - Bancario,Tributario - Bancario
ARTÍCULO 14 DE LA LEY 48,ARTÍCULO 14 DE LA LEY 48,85,Tributario - Bancario,Tributario - Bancario
%all%,Todo,139,Civil - Comercial,Civil - Comercial
SENTENCIA ARBITRARIA,SENTENCIA ARBITRARIA,124,Civil - Comercial,Civil - Comercial
ARTÍCULO 14 DE LA LEY 48,ARTÍCULO 14 DE LA LEY 48,15,Civil - Comercial,Civil - Comercial
%all%,Todo,268,Administrativo,Administ.
SENTENCIA ARBITRARIA,SENTENCIA ARBITRARIA,37,Administrativo,Administ.
ARTÍCULO 14 DE LA LEY 48,ARTÍCULO 14 DE LA LEY 48,231,Administrativo,Administ.
%all%,Todo,1124,Laboral,Laboral
SENTENCIA ARBITRARIA,SENTENCIA ARBITRARIA,921,Laboral,Laboral
ARTÍCULO 14 DE LA LEY 48,ARTÍCULO 14 DE LA LEY 48,203,Laboral,Laboral
%all%,Todo,1994,Previsional,Previsional
SENTENCIA ARBITRARIA,SENTENCIA ARBITRARIA,59,Previsional,Previsional
ARTÍCULO 14 DE LA LEY 48,ARTÍCULO 14 DE LA LEY 48,1935,Previsional,Previsional
