DESC MATERIA -value,DESC MATERIA -alias,Firmantes (casos con fallos 2025.sav) (grupo)-value,Firmantes (casos con fallos 2025.sav) (grupo)-alias,REC(casos con votos 2025.sav)-alias,Tipovotodescripcion-value,Tipovotodescripcion-alias
DDHH- Institucional,DDHH- Institucional,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,18,%all%,%all%
Salud,Salud,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,168,%all%,%all%
Originarios,Originarios,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,255,%all%,%all%
Ambiental,Ambiental,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,273,%all%,%all%
Tributario - Bancario,Tributario - Bancario,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,2462,%all%,%all%
Consumo,Consumo,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,3079,%all%,%all%
Civil - Comercial,Civil - Comercial,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,3656,%all%,%all%
Administrativo,Administrativo,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,3758,%all%,%all%
Laboral,Laboral,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,8894,%all%,%all%
Penal,Penal,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,13842,%all%,%all%
Previsional,Previsional,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,42932,%all%,%all%
Consumo,Consumo,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,1,DISIDENCIA PROPIA,DISIDENCIA PROPIA
DDHH- Institucional,DDHH- Institucional,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,3,VOTO PROPIO,VOTO PROPIO
Salud,Salud,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,20,VOTO PROPIO,VOTO PROPIO
Originarios,Originarios,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,3,VOTO PROPIO,VOTO PROPIO
Ambiental,Ambiental,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,33,VOTO PROPIO,VOTO PROPIO
Tributario - Bancario,Tributario - Bancario,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,673,VOTO PROPIO,VOTO PROPIO
Consumo,Consumo,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,368,VOTO PROPIO,VOTO PROPIO
Civil - Comercial,Civil - Comercial,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,429,VOTO PROPIO,VOTO PROPIO
Administrativo,Administrativo,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,487,VOTO PROPIO,VOTO PROPIO
Laboral,Laboral,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,1104,VOTO PROPIO,VOTO PROPIO
Penal,Penal,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,1976,VOTO PROPIO,VOTO PROPIO
Previsional,Previsional,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,8390,VOTO PROPIO,VOTO PROPIO
DDHH- Institucional,DDHH- Institucional,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,6,VOTO CONJUNTO,VOTO CONJUNTO
Salud,Salud,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,40,VOTO CONJUNTO,VOTO CONJUNTO
Originarios,Originarios,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,6,VOTO CONJUNTO,VOTO CONJUNTO
Ambiental,Ambiental,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,66,VOTO CONJUNTO,VOTO CONJUNTO
Tributario - Bancario,Tributario - Bancario,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,1336,VOTO CONJUNTO,VOTO CONJUNTO
Consumo,Consumo,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,736,VOTO CONJUNTO,VOTO CONJUNTO
Civil - Comercial,Civil - Comercial,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,859,VOTO CONJUNTO,VOTO CONJUNTO
Administrativo,Administrativo,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,915,VOTO CONJUNTO,VOTO CONJUNTO
Laboral,Laboral,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,2208,VOTO CONJUNTO,VOTO CONJUNTO
Penal,Penal,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,3991,VOTO CONJUNTO,VOTO CONJUNTO
Previsional,Previsional,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,16642,VOTO CONJUNTO,VOTO CONJUNTO
DDHH- Institucional,DDHH- Institucional,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,9,UNANIMIDAD,UNANIMIDAD
Salud,Salud,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,108,UNANIMIDAD,UNANIMIDAD
Originarios,Originarios,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,246,UNANIMIDAD,UNANIMIDAD
Ambiental,Ambiental,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,174,UNANIMIDAD,UNANIMIDAD
Tributario - Bancario,Tributario - Bancario,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,453,UNANIMIDAD,UNANIMIDAD
Consumo,Consumo,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,1974,UNANIMIDAD,UNANIMIDAD
Civil - Comercial,Civil - Comercial,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,2368,UNANIMIDAD,UNANIMIDAD
Administrativo,Administrativo,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,2356,UNANIMIDAD,UNANIMIDAD
Laboral,Laboral,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,5582,UNANIMIDAD,UNANIMIDAD
Penal,Penal,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,7875,UNANIMIDAD,UNANIMIDAD
Previsional,Previsional,CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,17900,UNANIMIDAD,UNANIMIDAD
Laboral,Laboral,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,4,%all%,%all%
Consumo,Consumo,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,5,%all%,%all%
Originarios,Originarios,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,15,%all%,%all%
Civil - Comercial,Civil - Comercial,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,18,%all%,%all%
Administrativo,Administrativo,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,41,%all%,%all%
Penal,Penal,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,240,%all%,%all%
Tributario - Bancario,Tributario - Bancario,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,268,%all%,%all%
Laboral,Laboral,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,1,DISIDENCIA PARCIAL PROPIA,DISIDENCIA PARCIAL PROPIA
Originarios,Originarios,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,4,DISIDENCIA CONJUNTA,DISIDENCIA CONJUNTA
Administrativo,Administrativo,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,4,DISIDENCIA CONJUNTA,DISIDENCIA CONJUNTA
Penal,Penal,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,14,DISIDENCIA CONJUNTA,DISIDENCIA CONJUNTA
Tributario - Bancario,Tributario - Bancario,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,2,DISIDENCIA CONJUNTA,DISIDENCIA CONJUNTA
Consumo,Consumo,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,1,DISIDENCIA PROPIA,DISIDENCIA PROPIA
Civil - Comercial,Civil - Comercial,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,1,DISIDENCIA PROPIA,DISIDENCIA PROPIA
Administrativo,Administrativo,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,4,DISIDENCIA PROPIA,DISIDENCIA PROPIA
Penal,Penal,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,21,DISIDENCIA PROPIA,DISIDENCIA PROPIA
Tributario - Bancario,Tributario - Bancario,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,62,DISIDENCIA PROPIA,DISIDENCIA PROPIA
Administrativo,Administrativo,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,7,VOTO PROPIO,VOTO PROPIO
Penal,Penal,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,29,VOTO PROPIO,VOTO PROPIO
Tributario - Bancario,Tributario - Bancario,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,2,VOTO PROPIO,VOTO PROPIO
Laboral,Laboral,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,3,VOTO CONJUNTO,VOTO CONJUNTO
Consumo,Consumo,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,4,VOTO CONJUNTO,VOTO CONJUNTO
Originarios,Originarios,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,6,VOTO CONJUNTO,VOTO CONJUNTO
Civil - Comercial,Civil - Comercial,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,4,VOTO CONJUNTO,VOTO CONJUNTO
Administrativo,Administrativo,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,26,VOTO CONJUNTO,VOTO CONJUNTO
Penal,Penal,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,121,VOTO CONJUNTO,VOTO CONJUNTO
Tributario - Bancario,Tributario - Bancario,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,183,VOTO CONJUNTO,VOTO CONJUNTO
Originarios,Originarios,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,5,UNANIMIDAD,UNANIMIDAD
Civil - Comercial,Civil - Comercial,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,13,UNANIMIDAD,UNANIMIDAD
Penal,Penal,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,55,UNANIMIDAD,UNANIMIDAD
Tributario - Bancario,Tributario - Bancario,CONFORMACIÓN MINISTROS Y CONJUECES,CONFORMACIÓN MINISTROS Y CONJUECES,19,UNANIMIDAD,UNANIMIDAD
%all%,Todo,%all%,Todo,79928,%all%,%all%
%all%,Todo,%all%,Todo,1,DISIDENCIA PARCIAL PROPIA,DISIDENCIA PARCIAL PROPIA
%all%,Todo,%all%,Todo,24,DISIDENCIA CONJUNTA,DISIDENCIA CONJUNTA
%all%,Todo,%all%,Todo,90,DISIDENCIA PROPIA,DISIDENCIA PROPIA
%all%,Todo,%all%,Todo,13524,VOTO PROPIO,VOTO PROPIO
%all%,Todo,%all%,Todo,27152,VOTO CONJUNTO,VOTO CONJUNTO
%all%,Todo,%all%,Todo,39137,UNANIMIDAD,UNANIMIDAD
