Formulasfinal (grupo) 1-alias,REC(casos con fallos 2025.sav)-alias,REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:6]-alias
TRIBUNAL SUPERIOR DE LA CAUSA,9,0.00043221437833165246
TRASLADO-ART.257 CPCCN-,17,0.0008164049368486769
SIN FÓRMULA,12,0.0005762858377755367
SALTO DE INSTANCIA,29,0.0013926907746242135
PROCEDIMIENTO,18,0.0008644287566633049
PRESENTACIONES VARIAS,5,0.00024011909907314027
N/C,9,0.00043221437833165246
MAL PRESENTADO,9,0.00043221437833165246
FUERA DE TÉRMINO,287,0.013782836286798252
FALTA DE SENTENCIA DEFINITIVA,1193,0.05729241703885126
FALTA DE RELACIÓN DIRECTA,1,4.802381981462806e-05
FALTA DE INTRODUCCIÓN OPORTUNA DE LA CUESTION FEDERAL,2,9.604763962925612e-05
FALTA DE FUNDAMENTACIÓN,590,0.028334053690630558
FALTA DE FIRMA,23,0.0011045478557364452
FALTA DE DENEGACION DEL RECURSO EXTRAORDINARIO,144,0.00691543005330644
DESISTIMIENTO,385,0.018489170628631806
DEPÓSITO PREVIO,467,0.0224271238534313
CUESTIÓN ABSTRACTA,411,0.01973778994381213
CADUCIDAD DE LA INSTANCIA,92,0.004418191422945781
AUTO DE CONCESIÓN- ART. 257 CPCCN-,25,0.0012005954953657014
ART. 280 CPCCN,12546,0.6025068433943236
ACORDADA 4/2007,4549,0.218460356336743
