TIPOS DE CASO-value,TIPOS DE CASO-alias,VIA DE ACCESO-value,VIA DE ACCESO-alias,REC(casos con fallos 2025.sav)-alias,SENTIDO RESOLUCION (casos con fallos 2025.sav)-value,SENTIDO RESOLUCION (casos con fallos 2025.sav)-alias,REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:2]-alias
PRESENTAC. VARIAS,PRESENTAC. VARIAS,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",5,%all%,%all%,1
QUEJA POR RETARDO DE JUSTICIA,QUEJA POR RETARDO DE JUSTICIA,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",31,%all%,%all%,1
DEMANDAS ORIGINARIAS,DEMANDAS ORIGINARIAS,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",73,%all%,%all%,1
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",1870,%all%,%all%,1
QUEJA POR RETARDO DE JUSTICIA,QUEJA POR RETARDO DE JUSTICIA,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",1,SE TIENE POR DESISTIDO,SE TIENE POR DESISTIDO,0.03225806451612903
DEMANDAS ORIGINARIAS,DEMANDAS ORIGINARIAS,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",1,RECHAZA LA DEMANDA,RECHAZA LA DEMANDA,0.0136986301369863
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",1,DEJA SIN EFECTO,DEJA SIN EFECTO,0.0005347593582887701
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",1,CONFIRMA,CONFIRMA,0.0005347593582887701
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",3,MODIFICA,MODIFICA,0.0016042780748663102
QUEJA POR RETARDO DE JUSTICIA,QUEJA POR RETARDO DE JUSTICIA,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",3,ADMITE,ADMITE,0.0967741935483871
DEMANDAS ORIGINARIAS,DEMANDAS ORIGINARIAS,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",1,ADMITE,ADMITE,0.0136986301369863
DEMANDAS ORIGINARIAS,DEMANDAS ORIGINARIAS,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",6,DECLARA CADUCIDAD,DECLARA CADUCIDAD,0.0821917808219178
DEMANDAS ORIGINARIAS,DEMANDAS ORIGINARIAS,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",9,RECHAZA,RECHAZA,0.1232876712328767
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",2,RECHAZA,RECHAZA,0.0010695187165775401
QUEJA POR RETARDO DE JUSTICIA,QUEJA POR RETARDO DE JUSTICIA,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",1,DECLARA ABSTRACTA LA CUESTION,DECLARA ABSTRACTA LA CUESTION,0.03225806451612903
