Nombres de campo de tabla dinámica-value,Nombres de campo de tabla dinámica-alias,SUMA(Valores de campo de tabla dinámica)-alias,SUMA(Valores de campo de tabla dinámica)-value,SUMA(Valores de campo de tabla dinámica)-[federated.0mjr7n71tl69fu13c0ei30j0rgjv].[sum:Valores de campo de tabla dinámica:qk]-alias,SUMA(Valores de campo de tabla dinámica)-[federated.0mjr7n71tl69fu13c0ei30j0rgjv].[pcdf:sum:Valores de campo de tabla dinámica:ok]-alias
2014,2014,16783,16783,16783,%null%
2015,2015,16023,16023,16023,-0.04528391825061073
2016,2016,15719,15719,15719,-0.018972726705361043
2017,2017,14800,14800,14800,-0.05846427889814874
2018,2018,28037,28037,28037,0.894391891891892
2019,2019,23665,23665,23665,-0.15593679780290332
2020,2020,15308,15308,15308,-0.353137544897528
2021,2021,24956,24956,24956,0.6302586882675725
2022,2022,31344,31344,31344,0.2559705080942459
2023,2023,32233,32233,32233,0.028362685043389485
2024,2024,45678,45678,45678,0.4171191015418981
2025,2025,58424,58424,58424,0.2790402381890626
