PRESENTANTE (casos con fallos 2025.sav) (grupo) 1-alias,REC(casos con fallos 2025.sav)-alias,REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:16]-alias
UNIVERSIDADES,7,0.04294478527607362
SINDICATOS/ASOCIACIONES DE TRABAJADORES,23,0.1411042944785276
PARTIDOS POLÍTICOS,8,0.049079754601226995
OTRAS ORGANIZACIONES,17,0.10429447852760736
OBRAS SOCIALES,16,0.09815950920245399
MUTUALES,21,0.12883435582822086
FUNDACIONES,4,0.024539877300613498
FEDERACIONES,5,0.03067484662576687
EMBAJADAS,2,0.012269938650306749
COOPERATIVAS,5,0.03067484662576687
COLEGIOS PROFESIONALES,10,0.06134969325153374
CLUBES,7,0.04294478527607362
ASOCIACIONES DE PRODUCTORES ,12,0.0736196319018405
ASOCIACIONES DE CONSUMIDORES,26,0.15950920245398773
