PRESENTANTE (casos con fallos 2025.sav) (grupo) 1-alias,REC(casos con fallos 2025.sav)-alias,REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:16]-alias
TURISMO Y HOTELERIA,7,0.0028466856445709637
TRANSPORTE DE PASAJEROS( Terrestre),106,0.04310695404636031
TARJETAS DE CRÉDITO,4,0.0016266775111834079
SUPERMERCADOS Y TIENDAS DE DEPARTAMENTO,13,0.005286701911346075
SERVICIOS FINANCIEROS,13,0.005286701911346075
SERVICIOS DE SALUD,25,0.010166734444896299
SEGUROS GENERALES,236,0.09597397315982105
OTROS SERVICIOS Y PRODUCTOS,237,0.09638064253761691
MANUFACTURAS,51,0.02074013826758845
LOGISTICA Y DISTRIBUCIÓN,13,0.005286701911346075
LINEAS AEREAS,13,0.005286701911346075
ENERGÍA/PETROLEO/GAS ,34,0.013826758845058969
CONSTRUCCIÓN,13,0.005286701911346075
CASINOS/JUEGOS DE AZAR,4,0.0016266775111834079
BANCOS,42,0.01708011386742578
AUTOMOTRICES/CONSECIONARIOS DE  AUTOMOVILES,16,0.0065067100447336315
AUDIOVISUALES/TELECOMUNICACIONES/BUSCADORES,82,0.03334688897925986
ART,1493,0.607157381049207
AGUA Y SANEAMIENTOS ,4,0.0016266775111834079
AGROINDUSTRIA,53,0.021553477023180154
