Firmantes (casos con fallos 2025.sav) (grupo)-value,Firmantes (casos con fallos 2025.sav) (grupo)-alias,REC(casos con votos 2025.sav)-alias,Nombrejuez-value,Nombrejuez-alias,Tipovotodescripcion-value,Tipovotodescripcion-alias
CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,79337,%all%,%all%,%all%,%all%
CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,208,GARCÍA-MANSILLA,GARCÍA-MANSILLA,%all%,%all%
CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,26363,ROSATTI,ROSATTI,%all%,%all%
CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,26379,LORENZETTI,LORENZETTI,%all%,%all%
CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,26387,ROSENKRANTZ,ROSENKRANTZ,%all%,%all%
CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,1,%all%,%all%,DISIDENCIA PROPIA,DISIDENCIA PROPIA
CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,1,ROSENKRANTZ,ROSENKRANTZ,DISIDENCIA PROPIA,DISIDENCIA PROPIA
CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,13486,%all%,%all%,VOTO PROPIO,VOTO PROPIO
CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,3,GARCÍA-MANSILLA,GARCÍA-MANSILLA,VOTO PROPIO,VOTO PROPIO
CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,67,ROSATTI,ROSATTI,VOTO PROPIO,VOTO PROPIO
CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,12899,LORENZETTI,LORENZETTI,VOTO PROPIO,VOTO PROPIO
CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,517,ROSENKRANTZ,ROSENKRANTZ,VOTO PROPIO,VOTO PROPIO
CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,26805,%all%,%all%,VOTO CONJUNTO,VOTO CONJUNTO
CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,54,GARCÍA-MANSILLA,GARCÍA-MANSILLA,VOTO CONJUNTO,VOTO CONJUNTO
CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,13345,ROSATTI,ROSATTI,VOTO CONJUNTO,VOTO CONJUNTO
CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,513,LORENZETTI,LORENZETTI,VOTO CONJUNTO,VOTO CONJUNTO
CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,12893,ROSENKRANTZ,ROSENKRANTZ,VOTO CONJUNTO,VOTO CONJUNTO
CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,39045,%all%,%all%,UNANIMIDAD,UNANIMIDAD
CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,151,GARCÍA-MANSILLA,GARCÍA-MANSILLA,UNANIMIDAD,UNANIMIDAD
CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,12951,ROSATTI,ROSATTI,UNANIMIDAD,UNANIMIDAD
CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,12967,LORENZETTI,LORENZETTI,UNANIMIDAD,UNANIMIDAD
CONFORMACIÓN MINISTROS,CONFORMACIÓN MINISTROS,12976,ROSENKRANTZ,ROSENKRANTZ,UNANIMIDAD,UNANIMIDAD
