Desc Tipo Caso-value,Desc Tipo Caso-alias,VIA DE ACCESO-value,VIA DE ACCESO-alias,REC(casos con fallos 2025.sav)-alias,Remisión1-value,Remisión1-alias
%all%,Todo,RECURSOS,RECURSOS,3589,%all%,%all%
RECURSO ORDINARIO,RECURSO ORDINARIO,RECURSOS,RECURSOS,6,%all%,%all%
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,1334,%all%,%all%
REC. EXTRAORD. ,REC. EXTRAORD. ,RECURSOS,RECURSOS,2249,%all%,%all%
%all%,Todo,RECURSOS,RECURSOS,23,PARCIAL AL DICTAMEN PGN,PARCIAL AL DICTAMEN PGN
RECURSO ORDINARIO,RECURSO ORDINARIO,RECURSOS,RECURSOS,6,PARCIAL AL DICTAMEN PGN,PARCIAL AL DICTAMEN PGN
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,10,PARCIAL AL DICTAMEN PGN,PARCIAL AL DICTAMEN PGN
REC. EXTRAORD. ,REC. EXTRAORD. ,RECURSOS,RECURSOS,7,PARCIAL AL DICTAMEN PGN,PARCIAL AL DICTAMEN PGN
%all%,Todo,RECURSOS,RECURSOS,55,TOTAL AL DICTAMEN PGN,TOTAL AL DICTAMEN PGN
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,33,TOTAL AL DICTAMEN PGN,TOTAL AL DICTAMEN PGN
REC. EXTRAORD. ,REC. EXTRAORD. ,RECURSOS,RECURSOS,22,TOTAL AL DICTAMEN PGN,TOTAL AL DICTAMEN PGN
%all%,Todo,RECURSOS,RECURSOS,3511,PRECEDENTES CSJN,PRECEDENTES CSJN
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,1291,PRECEDENTES CSJN,PRECEDENTES CSJN
REC. EXTRAORD. ,REC. EXTRAORD. ,RECURSOS,RECURSOS,2220,PRECEDENTES CSJN,PRECEDENTES CSJN
%all%,Todo,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",1725,%all%,%all%
ORIGINARIO ,ORIGINARIO ,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",32,%all%,%all%
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",1693,%all%,%all%
%all%,Todo,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",70,PARCIAL AL DICTAMEN PGN,PARCIAL AL DICTAMEN PGN
ORIGINARIO ,ORIGINARIO ,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",3,PARCIAL AL DICTAMEN PGN,PARCIAL AL DICTAMEN PGN
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",67,PARCIAL AL DICTAMEN PGN,PARCIAL AL DICTAMEN PGN
%all%,Todo,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",1308,TOTAL AL DICTAMEN PGN,TOTAL AL DICTAMEN PGN
ORIGINARIO ,ORIGINARIO ,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",6,TOTAL AL DICTAMEN PGN,TOTAL AL DICTAMEN PGN
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",1302,TOTAL AL DICTAMEN PGN,TOTAL AL DICTAMEN PGN
%all%,Todo,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",347,PRECEDENTES CSJN,PRECEDENTES CSJN
ORIGINARIO ,ORIGINARIO ,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",23,PRECEDENTES CSJN,PRECEDENTES CSJN
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,"DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS","DDAS. ORIGINARIAS, COMPETENCIAS Y OTROS",324,PRECEDENTES CSJN,PRECEDENTES CSJN
%all%,Todo,%all%,Todo,5314,%all%,%all%
%all%,Todo,%all%,Todo,93,PARCIAL AL DICTAMEN PGN,PARCIAL AL DICTAMEN PGN
%all%,Todo,%all%,Todo,1363,TOTAL AL DICTAMEN PGN,TOTAL AL DICTAMEN PGN
%all%,Todo,%all%,Todo,3858,PRECEDENTES CSJN,PRECEDENTES CSJN
