DESC MATERIA SEC OK (casos con fallos 2025.sav)-value,DESC MATERIA SEC OK (casos con fallos 2025.sav)-alias,Tipoderemisión-alias,REC(casos con fallos 2025.sav)-value,REC(casos con fallos 2025.sav)-alias
Penal,Penal,PRECEDENTES CSJN,0.2029102667744543,0.2029102667744543
Consumo,Consumo,PRECEDENTES CSJN,0.21181262729124237,0.21181262729124237
Ambiental,Ambiental,PRECEDENTES CSJN,0.3125,0.3125
DDHH- Institucional,DDHH- Institucional,PRECEDENTES CSJN,0.5,0.5
Salud,Salud,PRECEDENTES CSJN,0.5555555555555556,0.5555555555555556
Originarios,Originarios,PRECEDENTES CSJN,0.7441860465116278,0.7441860465116278
Tributario - Bancario,Tributario - Bancario,PRECEDENTES CSJN,0.8674698795180723,0.8674698795180723
Civil - Comercial,Civil - Comercial,PRECEDENTES CSJN,0.9444444444444445,0.9444444444444445
Administrativo,Administ.,PRECEDENTES CSJN,0.9525862068965517,0.9525862068965517
Laboral,Laboral,PRECEDENTES CSJN,0.9865470852017938,0.9865470852017938
Previsional,Previsional,PRECEDENTES CSJN,0.9954291518537328,0.9954291518537328
Penal,Penal,TOTAL AL DICTAMEN PGN,0.7728375101050929,0.7728375101050929
Consumo,Consumo,TOTAL AL DICTAMEN PGN,0.6945010183299389,0.6945010183299389
Ambiental,Ambiental,TOTAL AL DICTAMEN PGN,0.6875,0.6875
DDHH- Institucional,DDHH- Institucional,TOTAL AL DICTAMEN PGN,0.5,0.5
Salud,Salud,TOTAL AL DICTAMEN PGN,0.2222222222222222,0.2222222222222222
Originarios,Originarios,TOTAL AL DICTAMEN PGN,0.11627906976744186,0.11627906976744186
Tributario - Bancario,Tributario - Bancario,TOTAL AL DICTAMEN PGN,0.13253012048192772,0.13253012048192772
Civil - Comercial,Civil - Comercial,TOTAL AL DICTAMEN PGN,0.046296296296296294,0.046296296296296294
Administrativo,Administ.,TOTAL AL DICTAMEN PGN,0.034482758620689655,0.034482758620689655
Laboral,Laboral,TOTAL AL DICTAMEN PGN,0.010762331838565021,0.010762331838565021
Previsional,Previsional,TOTAL AL DICTAMEN PGN,0.0045708481462671405,0.0045708481462671405
Penal,Penal,PARCIAL AL DICTAMEN PGN,0.024252223120452707,0.024252223120452707
Consumo,Consumo,PARCIAL AL DICTAMEN PGN,0.09368635437881874,0.09368635437881874
Salud,Salud,PARCIAL AL DICTAMEN PGN,0.2222222222222222,0.2222222222222222
Originarios,Originarios,PARCIAL AL DICTAMEN PGN,0.13953488372093023,0.13953488372093023
Civil - Comercial,Civil - Comercial,PARCIAL AL DICTAMEN PGN,0.009259259259259259,0.009259259259259259
Administrativo,Administ.,PARCIAL AL DICTAMEN PGN,0.01293103448275862,0.01293103448275862
Laboral,Laboral,PARCIAL AL DICTAMEN PGN,0.0026905829596412557,0.0026905829596412557
