Remisión-value,Remisión-alias,REC(casos con fallos 2025.sav)-alias,Cuestiónfederal-value,Cuestiónfederal-alias,Remisión1-value,Remisión1-alias
CON REMISIÓN,CON REMISIÓN,17,%all%,%all%,PARCIAL AL DICTAMEN PGN,PARCIAL AL DICTAMEN PGN
CON REMISIÓN,CON REMISIÓN,61,%all%,%all%,TOTAL AL DICTAMEN PGN,TOTAL AL DICTAMEN PGN
CON REMISIÓN,CON REMISIÓN,3557,%all%,%all%,PRECEDENTES CSJN,PRECEDENTES CSJN
CON REMISIÓN,CON REMISIÓN,9,SENTENCIA ARBITRARIA,SENTENCIA ARBITRARIA,PARCIAL AL DICTAMEN PGN,PARCIAL AL DICTAMEN PGN
CON REMISIÓN,CON REMISIÓN,29,SENTENCIA ARBITRARIA,SENTENCIA ARBITRARIA,TOTAL AL DICTAMEN PGN,TOTAL AL DICTAMEN PGN
CON REMISIÓN,CON REMISIÓN,1124,SENTENCIA ARBITRARIA,SENTENCIA ARBITRARIA,PRECEDENTES CSJN,PRECEDENTES CSJN
CON REMISIÓN,CON REMISIÓN,8,ARTÍCULO 14 DE LA LEY 48,ART. 14 DE LA LEY 48,PARCIAL AL DICTAMEN PGN,PARCIAL AL DICTAMEN PGN
CON REMISIÓN,CON REMISIÓN,32,ARTÍCULO 14 DE LA LEY 48,ART. 14 DE LA LEY 48,TOTAL AL DICTAMEN PGN,TOTAL AL DICTAMEN PGN
CON REMISIÓN,CON REMISIÓN,2433,ARTÍCULO 14 DE LA LEY 48,ART. 14 DE LA LEY 48,PRECEDENTES CSJN,PRECEDENTES CSJN
SIN REMISIÓN,SIN REMISIÓN,132,%all%,%all%,%null%,N/A
SIN REMISIÓN,SIN REMISIÓN,70,SENTENCIA ARBITRARIA,SENTENCIA ARBITRARIA,%null%,N/A
SIN REMISIÓN,SIN REMISIÓN,62,ARTÍCULO 14 DE LA LEY 48,ART. 14 DE LA LEY 48,%null%,N/A
%all%,Todo,3767,%all%,%all%,%all%,%all%
%all%,Todo,1232,SENTENCIA ARBITRARIA,SENTENCIA ARBITRARIA,%all%,%all%
%all%,Todo,2535,ARTÍCULO 14 DE LA LEY 48,ART. 14 DE LA LEY 48,%all%,%all%
