Trib Sup de la Causa-value,Trib Sup de la Causa-alias,REC(casos con fallos 2025.sav)-value,REC(casos con fallos 2025.sav)-alias
S/D,S/D,0.002435064935064935,0.002435064935064935
CÁMARA FEDERAL DE APELACIONES DE BAHÍA BLANCA ,CÁMARA FEDERAL DE APELACIONES DE BAHÍA BLANCA ,0.0008116883116883116,0.0008116883116883116
CÁMARA NACIONAL DE APELACIONES EN LO CIVIL Y COMERCIAL FEDERAL,CÁMARA NACIONAL DE APELACIONES EN LO CIVIL Y COMERCIAL FEDERAL,0.0008116883116883116,0.0008116883116883116
TSJ CÓRDOBA,TSJ CÓRDOBA,0.0008116883116883116,0.0008116883116883116
TSJ CORRIENTES,TSJ CORRIENTES,0.0008116883116883116,0.0008116883116883116
TSJ FORMOSA,TSJ FORMOSA,0.0008116883116883116,0.0008116883116883116
TSJ LA PAMPA,TSJ LA PAMPA,0.0008116883116883116,0.0008116883116883116
TSJ LA RIOJA,TSJ LA RIOJA,0.0008116883116883116,0.0008116883116883116
TSJ MENDOZA,TSJ MENDOZA,0.0008116883116883116,0.0008116883116883116
TSJ RÍO NEGRO,TSJ RÍO NEGRO,0.0008116883116883116,0.0008116883116883116
TSJ SAN LUIS,TSJ SAN LUIS,0.0008116883116883116,0.0008116883116883116
TSJ SANTA FE,TSJ SANTA FE,0.0008116883116883116,0.0008116883116883116
TSJ SANTIAGO DEL ESTERO,TSJ SANTIAGO DEL ESTERO,0.0008116883116883116,0.0008116883116883116
CÁMARA FEDERAL DE APELACIONES DE POSADAS,CÁMARA FEDERAL DE APELACIONES DE POSADAS,0.0016233766233766235,0.0016233766233766235
CÁMARA FEDERAL DE APELACIONES DE SAN MARTÍN ,CÁMARA FEDERAL DE APELACIONES DE SAN MARTÍN ,0.0016233766233766235,0.0016233766233766235
CÁMARA NACIONAL DE CASACIÓN EN LO CRIMINAL Y CORRECCIONAL,CÁMARA NACIONAL DE CASACIÓN EN LO CRIMINAL Y CORRECCIONAL,0.0016233766233766235,0.0016233766233766235
TSJ CHACO,TSJ CHACO,0.0016233766233766235,0.0016233766233766235
TSJ ENTRE RÍOS,TSJ ENTRE RÍOS,0.0016233766233766235,0.0016233766233766235
CÁMARA FEDERAL DE APELACIONES DE MENDOZA ,CÁMARA FEDERAL DE APELACIONES DE MENDOZA ,0.002435064935064935,0.002435064935064935
CÁMARA FEDERAL DE APELACIONES DE ROSARIO ,CÁMARA FEDERAL DE APELACIONES DE ROSARIO ,0.002435064935064935,0.002435064935064935
CAMARA NACIONAL ELECTORAL ,CAMARA NACIONAL ELECTORAL ,0.002435064935064935,0.002435064935064935
CÁMARA NACIONAL EN LO PENAL ECONÓMICO ,CÁMARA NACIONAL EN LO PENAL ECONÓMICO ,0.002435064935064935,0.002435064935064935
TSJ MISIONES,TSJ MISIONES,0.002435064935064935,0.002435064935064935
CÁMARA FEDERAL DE APELACIONES DE CÓRDOBA,CÁMARA FEDERAL DE APELACIONES DE CÓRDOBA,0.003246753246753247,0.003246753246753247
CÁMARA FEDERAL DE APELACIONES DE LA PLATA ,CÁMARA FEDERAL DE APELACIONES DE LA PLATA ,0.003246753246753247,0.003246753246753247
CÁMARA FEDERAL DE APELACIONES DE TUCUMÁN,CÁMARA FEDERAL DE APELACIONES DE TUCUMÁN,0.003246753246753247,0.003246753246753247
CÁMARA FEDERAL DE APELACIONES DE PARANÁ ,CÁMARA FEDERAL DE APELACIONES DE PARANÁ ,0.004058441558441558,0.004058441558441558
TSJ TUCUMÁN,TSJ TUCUMÁN,0.004058441558441558,0.004058441558441558
CÁMARA FEDERAL DE APELACIONES DE MAR DEL PLATA ,CÁMARA FEDERAL DE APELACIONES DE MAR DEL PLATA ,0.00487012987012987,0.00487012987012987
CÁMARA NACIONAL DE APELACIONES EN LO COMERCIAL ,CÁMARA NACIONAL DE APELACIONES EN LO COMERCIAL ,0.008928571428571428,0.008928571428571428
TSJ BUENOS AIRES,TSJ BUENOS AIRES,0.012175324675324676,0.012175324675324676
CAMARA FEDERAL DE CASACION PENAL ,CAMARA FEDERAL DE CASACION PENAL ,0.01948051948051948,0.01948051948051948
CÁMARA NACIONAL DE APELACIONES EN LO CONTENCIOSO ADMINISTRATIVO FEDERAL   ,CÁMARA NACIONAL DE APELACIONES EN LO CONTENCIOSO ADMINISTRATIVO FEDERAL   ,0.021915584415584416,0.021915584415584416
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL ,CAMARA FEDERAL DE LA SEGURIDAD SOCIAL ,0.03896103896103896,0.03896103896103896
CÁMARA NACIONAL DE APELACIONES CIVIL,CÁMARA NACIONAL DE APELACIONES CIVIL,0.09415584415584416,0.09415584415584416
CÁMARA NACIONAL DE APELACIONES DEL TRABAJO,CÁMARA NACIONAL DE APELACIONES DEL TRABAJO,0.7491883116883117,0.7491883116883117
