DESC TIPO RECURSO OKfromFALLOS (grupo) 2-value,DESC TIPO RECURSO OKfromFALLOS (grupo) 2-alias,REC(casos con fallos 2025.sav)-alias,DESC MATERIA SEC OK (casos con fallos 2025.sav)-value,DESC MATERIA SEC OK (casos con fallos 2025.sav)-alias
%all%,Todo,1979,%all%,%all%
PRESENTAC. VARIAS,PRESENTAC. VARIAS,5,%all%,%all%
QUEJA POR RETARDO DE JUSTICIA,QUEJA POR RETARDO DE JUSTICIA,31,%all%,%all%
DEMANDAS ORIGINARIAS,DEMANDAS ORIGINARIAS,73,%all%,%all%
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,1870,%all%,%all%
%all%,Todo,3,Tributario - Bancario,Tributario - Bancario
QUEJA POR RETARDO DE JUSTICIA,QUEJA POR RETARDO DE JUSTICIA,1,Tributario - Bancario,Tributario - Bancario
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,2,Tributario - Bancario,Tributario - Bancario
%all%,Todo,5,Laboral,Laboral
QUEJA POR RETARDO DE JUSTICIA,QUEJA POR RETARDO DE JUSTICIA,4,Laboral,Laboral
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,1,Laboral,Laboral
%all%,Todo,6,Previsional,Previsional
QUEJA POR RETARDO DE JUSTICIA,QUEJA POR RETARDO DE JUSTICIA,6,Previsional,Previsional
%all%,Todo,8,Civil - Comercial,Civil - Comercial
QUEJA POR RETARDO DE JUSTICIA,QUEJA POR RETARDO DE JUSTICIA,5,Civil - Comercial,Civil - Comercial
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,3,Civil - Comercial,Civil - Comercial
%all%,Todo,14,Administrativo,Administ.
PRESENTAC. VARIAS,PRESENTAC. VARIAS,2,Administrativo,Administ.
QUEJA POR RETARDO DE JUSTICIA,QUEJA POR RETARDO DE JUSTICIA,8,Administrativo,Administ.
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,4,Administrativo,Administ.
%all%,Todo,21,Salud,Salud
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,21,Salud,Salud
%all%,Todo,25,Ambiental,Ambiental
QUEJA POR RETARDO DE JUSTICIA,QUEJA POR RETARDO DE JUSTICIA,2,Ambiental,Ambiental
DEMANDAS ORIGINARIAS,DEMANDAS ORIGINARIAS,8,Ambiental,Ambiental
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,15,Ambiental,Ambiental
%all%,Todo,88,Originarios,Originarios
DEMANDAS ORIGINARIAS,DEMANDAS ORIGINARIAS,65,Originarios,Originarios
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,23,Originarios,Originarios
%all%,Todo,513,Consumo,Consumo
PRESENTAC. VARIAS,PRESENTAC. VARIAS,1,Consumo,Consumo
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,512,Consumo,Consumo
%all%,Todo,1296,Penal,Penal
PRESENTAC. VARIAS,PRESENTAC. VARIAS,2,Penal,Penal
QUEJA POR RETARDO DE JUSTICIA,QUEJA POR RETARDO DE JUSTICIA,5,Penal,Penal
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,1289,Penal,Penal
