TIPO DE CASO-alias,DESC MATERIA SEC OK (casos con fallos 2025.sav)-value,DESC MATERIA SEC OK (casos con fallos 2025.sav)-alias,REC(casos con fallos 2025.sav)-value,REC(casos con fallos 2025.sav)-alias
CUESTIONES DE COMPETENCIA ,Laboral,Laboral,0.2,0.2
CUESTIONES DE COMPETENCIA ,Originarios,Originarios,0.26136363636363635,0.26136363636363635
CUESTIONES DE COMPETENCIA ,Administrativo,Administ.,0.2857142857142857,0.2857142857142857
CUESTIONES DE COMPETENCIA ,Civil - Comercial,Civil - Comercial,0.375,0.375
CUESTIONES DE COMPETENCIA ,Ambiental,Ambiental,0.6,0.6
CUESTIONES DE COMPETENCIA ,Tributario - Bancario,Tributario - Bancario,0.6666666666666666,0.6666666666666666
CUESTIONES DE COMPETENCIA ,Consumo,Consumo,0.9980506822612085,0.9980506822612085
CUESTIONES DE COMPETENCIA ,Penal,Penal,0.9945987654320987,0.9945987654320987
CUESTIONES DE COMPETENCIA ,Salud,Salud,1,1
QUEJA POR RETARDO DE JUSTICIA,Previsional,Previsional,1,1
QUEJA POR RETARDO DE JUSTICIA,Laboral,Laboral,0.8,0.8
QUEJA POR RETARDO DE JUSTICIA,Administrativo,Administ.,0.5714285714285714,0.5714285714285714
QUEJA POR RETARDO DE JUSTICIA,Civil - Comercial,Civil - Comercial,0.625,0.625
QUEJA POR RETARDO DE JUSTICIA,Ambiental,Ambiental,0.08,0.08
QUEJA POR RETARDO DE JUSTICIA,Tributario - Bancario,Tributario - Bancario,0.3333333333333333,0.3333333333333333
QUEJA POR RETARDO DE JUSTICIA,Penal,Penal,0.003858024691358025,0.003858024691358025
DEMANDA ORIGINARIA,Originarios,Originarios,0.7386363636363636,0.7386363636363636
DEMANDA ORIGINARIA,Ambiental,Ambiental,0.32,0.32
PRESENTACIONES VARIAS,Administrativo,Administ.,0.14285714285714285,0.14285714285714285
PRESENTACIONES VARIAS,Consumo,Consumo,0.001949317738791423,0.001949317738791423
PRESENTACIONES VARIAS,Penal,Penal,0.0015432098765432098,0.0015432098765432098
