SECRETARIA -alias,TIPOS DE CASO-alias,REC(casos con fallos 2025.sav)-alias,REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:10]-alias,REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:13]-alias,REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:2]-alias
Sec. de Juicios Ambientales,DEMANDAS ORIGINARIAS,9,0.1232876712328767,0.10344827586206896,0.0003393153370532348
Sec. de Juicios Ambientales,QUEJA REC. ORD. DENEGADO,1,0.021739130434782608,0.011494252873563218,3.770170411702609e-05
Sec. de Juicios Ambientales,REC. DE SALTO DE INSTANCIA,2,0.05555555555555555,0.022988505747126436,7.540340823405218e-05
Sec. de Juicios Ambientales,QUEJA POR RETARDO DE JUSTICIA,2,0.06451612903225806,0.022988505747126436,7.540340823405218e-05
Sec. de Juicios Ambientales,CUESTIONES DE COMPETENCIA,15,0.008021390374331552,0.1724137931034483,0.0005655255617553913
Sec. de Juicios Ambientales,REC. EXTRAORDINARIO,6,0.0014752889107450208,0.06896551724137931,0.00022621022470215653
Sec. de Juicios Ambientales,QUEJA REC. EXTRAORD. DENEGADO,52,0.002552397781377313,0.5977011494252874,0.0019604886140853566
Sec. Relac. de Consumo,QUEJA REC. ORD. DENEGADO,1,0.021739130434782608,0.0009596928982725527,3.770170411702609e-05
Sec. Relac. de Consumo,REC. DE SALTO DE INSTANCIA,2,0.05555555555555555,0.0019193857965451055,7.540340823405218e-05
Sec. Relac. de Consumo,PRESENTAC. VARIAS,1,0.2,0.0009596928982725527,3.770170411702609e-05
Sec. Relac. de Consumo,CUESTIONES DE COMPETENCIA,527,0.2818181818181818,0.5057581573896354,0.019868798069672754
Sec. Relac. de Consumo,REC. EXTRAORDINARIO,54,0.013277600196705187,0.05182341650671786,0.002035892022319409
Sec. Relac. de Consumo,QUEJA REC. EXTRAORD. DENEGADO,457,0.022431649732489074,0.43857965451055664,0.017229678781480923
Sec. Penal Especial,REC. DE SALTO DE INSTANCIA,1,0.027777777777777776,0.0006635700066357001,3.770170411702609e-05
