TIPO DE CASO-alias,DESC MATERIA SEC OK (casos con fallos 2025.sav)-value,DESC MATERIA SEC OK (casos con fallos 2025.sav)-alias,REC(casos con fallos 2025.sav)-value,REC(casos con fallos 2025.sav)-alias
REC. EXTRAORD. CONCEDIDO,Penal,Penal,0.07142857142857142,0.07142857142857142
REC. EXTRAORD. CONCEDIDO,Civil - Comercial,Civil - Comercial,0.08088235294117647,0.08088235294117647
REC. EXTRAORD. CONCEDIDO,Laboral,Laboral,0.2197508896797153,0.2197508896797153
REC. EXTRAORD. CONCEDIDO,Consumo,Consumo,0.4528301886792453,0.4528301886792453
REC. EXTRAORD. CONCEDIDO,Administrativo,Administ.,0.54,0.54
REC. EXTRAORD. CONCEDIDO,Tributario - Bancario,Tributario - Bancario,0.8367346938775511,0.8367346938775511
REC. EXTRAORD. CONCEDIDO,Previsional,Previsional,0.9012158054711247,0.9012158054711247
QUEJA REC. EXTRAORD. DENEGADO,Salud,Salud,1,1
QUEJA REC. EXTRAORD. DENEGADO,DDHH- Institucional,DDHH- Institucional,1,1
QUEJA REC. EXTRAORD. DENEGADO,Penal,Penal,0.738095238095238,0.738095238095238
QUEJA REC. EXTRAORD. DENEGADO,Civil - Comercial,Civil - Comercial,0.9191176470588235,0.9191176470588235
QUEJA REC. EXTRAORD. DENEGADO,Laboral,Laboral,0.7802491103202847,0.7802491103202847
QUEJA REC. EXTRAORD. DENEGADO,Consumo,Consumo,0.5471698113207547,0.5471698113207547
QUEJA REC. EXTRAORD. DENEGADO,Administrativo,Administ.,0.46,0.46
QUEJA REC. EXTRAORD. DENEGADO,Tributario - Bancario,Tributario - Bancario,0.16326530612244897,0.16326530612244897
QUEJA REC. EXTRAORD. DENEGADO,Previsional,Previsional,0.09878419452887538,0.09878419452887538
RECURSO ORDINARIO,Penal,Penal,0.1904761904761905,0.1904761904761905
