DESC MATERIA -value,DESC MATERIA -alias,DESC TIPO RECURSO OKfromFALLOS (grupo) 3-value,DESC TIPO RECURSO OKfromFALLOS (grupo) 3-alias,VIA DE ACCESO-value,VIA DE ACCESO-alias,REC(casos con fallos 2025.sav)-alias
%all%,Todo,RECURSO ORDINARIO,RECURSO ORDINARIO,RECURSOS,RECURSOS,23
%all%,Todo,REC. DE SALTO DE INSTANCIA,REC. DE SALTO DE INSTANCIA,RECURSOS,RECURSOS,36
%all%,Todo,QUEJA REC. ORD. DENEGADO,QUEJA REC. ORD. DENEGADO,RECURSOS,RECURSOS,46
%all%,Todo,REC. EXTRAORD.,REC. EXTRAORD.,RECURSOS,RECURSOS,4067
%all%,Todo,QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,20373
DDHH- Institucional,DDHH- Institucional,REC. EXTRAORD.,REC. EXTRAORD.,RECURSOS,RECURSOS,3
DDHH- Institucional,DDHH- Institucional,QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,3
Salud,Salud,REC. EXTRAORD.,REC. EXTRAORD.,RECURSOS,RECURSOS,12
Salud,Salud,QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,23
Ambiental,Ambiental,REC. DE SALTO DE INSTANCIA,REC. DE SALTO DE INSTANCIA,RECURSOS,RECURSOS,2
Ambiental,Ambiental,QUEJA REC. ORD. DENEGADO,QUEJA REC. ORD. DENEGADO,RECURSOS,RECURSOS,1
Ambiental,Ambiental,REC. EXTRAORD.,REC. EXTRAORD.,RECURSOS,RECURSOS,6
Ambiental,Ambiental,QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,57
Consumo,Consumo,REC. DE SALTO DE INSTANCIA,REC. DE SALTO DE INSTANCIA,RECURSOS,RECURSOS,2
Consumo,Consumo,QUEJA REC. ORD. DENEGADO,QUEJA REC. ORD. DENEGADO,RECURSOS,RECURSOS,1
Consumo,Consumo,REC. EXTRAORD.,REC. EXTRAORD.,RECURSOS,RECURSOS,52
Consumo,Consumo,QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,459
Tributario - Bancario,Tributario - Bancario,QUEJA REC. ORD. DENEGADO,QUEJA REC. ORD. DENEGADO,RECURSOS,RECURSOS,1
Tributario - Bancario,Tributario - Bancario,REC. EXTRAORD.,REC. EXTRAORD.,RECURSOS,RECURSOS,345
Tributario - Bancario,Tributario - Bancario,QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,536
Civil - Comercial,Civil - Comercial,REC. DE SALTO DE INSTANCIA,REC. DE SALTO DE INSTANCIA,RECURSOS,RECURSOS,9
Civil - Comercial,Civil - Comercial,QUEJA REC. ORD. DENEGADO,QUEJA REC. ORD. DENEGADO,RECURSOS,RECURSOS,17
Civil - Comercial,Civil - Comercial,REC. EXTRAORD.,REC. EXTRAORD.,RECURSOS,RECURSOS,70
Civil - Comercial,Civil - Comercial,QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,1103
Administrativo,Administrativo,REC. DE SALTO DE INSTANCIA,REC. DE SALTO DE INSTANCIA,RECURSOS,RECURSOS,7
Administrativo,Administrativo,QUEJA REC. ORD. DENEGADO,QUEJA REC. ORD. DENEGADO,RECURSOS,RECURSOS,7
Administrativo,Administrativo,REC. EXTRAORD.,REC. EXTRAORD.,RECURSOS,RECURSOS,249
Administrativo,Administrativo,QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,977
Laboral,Laboral,REC. DE SALTO DE INSTANCIA,REC. DE SALTO DE INSTANCIA,RECURSOS,RECURSOS,6
Laboral,Laboral,QUEJA REC. ORD. DENEGADO,QUEJA REC. ORD. DENEGADO,RECURSOS,RECURSOS,9
Laboral,Laboral,REC. EXTRAORD.,REC. EXTRAORD.,RECURSOS,RECURSOS,333
Laboral,Laboral,QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,2608
Penal,Penal,RECURSO ORDINARIO,RECURSO ORDINARIO,RECURSOS,RECURSOS,23
Penal,Penal,REC. DE SALTO DE INSTANCIA,REC. DE SALTO DE INSTANCIA,RECURSOS,RECURSOS,7
Penal,Penal,QUEJA REC. ORD. DENEGADO,QUEJA REC. ORD. DENEGADO,RECURSOS,RECURSOS,5
Penal,Penal,REC. EXTRAORD.,REC. EXTRAORD.,RECURSOS,RECURSOS,98
Penal,Penal,QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,3210
Previsional,Previsional,REC. DE SALTO DE INSTANCIA,REC. DE SALTO DE INSTANCIA,RECURSOS,RECURSOS,3
Previsional,Previsional,QUEJA REC. ORD. DENEGADO,QUEJA REC. ORD. DENEGADO,RECURSOS,RECURSOS,5
Previsional,Previsional,REC. EXTRAORD.,REC. EXTRAORD.,RECURSOS,RECURSOS,2899
Previsional,Previsional,QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,11397
%all%,Todo,%all%,Todo,%all%,Todo,24545
DDHH- Institucional,DDHH- Institucional,%all%,Todo,%all%,Todo,6
Salud,Salud,%all%,Todo,%all%,Todo,35
Ambiental,Ambiental,%all%,Todo,%all%,Todo,66
Consumo,Consumo,%all%,Todo,%all%,Todo,514
Tributario - Bancario,Tributario - Bancario,%all%,Todo,%all%,Todo,882
Civil - Comercial,Civil - Comercial,%all%,Todo,%all%,Todo,1199
Administrativo,Administrativo,%all%,Todo,%all%,Todo,1240
Laboral,Laboral,%all%,Todo,%all%,Todo,2956
Penal,Penal,%all%,Todo,%all%,Todo,3343
Previsional,Previsional,%all%,Todo,%all%,Todo,14304
