DESC MATERIA -value,DESC MATERIA -alias,REC(casos con fallos 2025.sav)-value,REC(casos con fallos 2025.sav)-alias
DDHH- Institucional,DDHH- Institucional,0.0002444489712772459,0.0002444489712772459
Salud,Salud,0.001425952332450601,0.001425952332450601
Ambiental,Ambiental,0.0026889386840497046,0.0026889386840497046
Consumo,Consumo,0.020941128539417396,0.020941128539417396
Tributario - Bancario,Tributario - Bancario,0.03593399877775515,0.03593399877775515
Civil - Comercial,Civil - Comercial,0.0488490527602363,0.0488490527602363
Administrativo,Administrativo,0.050519454063964145,0.050519454063964145
Laboral,Laboral,0.12043185984925649,0.12043185984925649
Penal,Penal,0.13619881849663884,0.13619881849663884
Previsional,Previsional,0.5827663475249542,0.5827663475249542
