DESC TIPO RECURSO OKfromFALLOS (grupo) 3-value,DESC TIPO RECURSO OKfromFALLOS (grupo) 3-alias,Formulasfinal (grupo)-value,Formulasfinal (grupo)-alias,REC(casos con fallos 2025.sav)-alias
%all%,Todo,%all%,Todo,20823
%all%,Todo,OTRAS CAUSALES,OTRAS CAUSALES,21
%all%,Todo,FALTA DE RELACIÓN DIRECTA,FALTA DE RELACIÓN DIRECTA,1
%all%,Todo,FALTA DE INTRODUCCIÓN OPORTUNA DE LA CUESTION FEDERAL,FALTA DE INTRODUCCIÓN OPORTUNA DE LA CUESTION FEDERAL,2
%all%,Todo,PRESENTACIONES VARIAS,PRESENTACIONES VARIAS,5
%all%,Todo,MAL PRESENTADO,MAL PRESENTADO,9
%all%,Todo,TRIBUNAL SUPERIOR DE LA CAUSA,TRIBUNAL SUPERIOR DE LA CAUSA,9
%all%,Todo,TRASLADO-ART.257 CPCCN-,TRASLADO-ART.257 CPCCN-,17
%all%,Todo,PROCEDIMIENTO,PROCEDIMIENTO,18
%all%,Todo,FALTA DE FIRMA,FALTA DE FIRMA,23
%all%,Todo,AUTO DE CONCESIÓN- ART. 257 CPCCN-,AUTO DE CONCESIÓN- ART. 257 CPCCN-,25
%all%,Todo,SALTO DE INSTANCIA,SALTO DE INSTANCIA,29
%all%,Todo,CADUCIDAD DE LA INSTANCIA,CADUCIDAD DE LA INSTANCIA,92
%all%,Todo,FALTA DENEGACION DEL REC. EXTRAORDINARIO,FALTA DENEGACION DEL REC. EXTRAORDINARIO,144
%all%,Todo,FUERA DE TÉRMINO,FUERA DE TÉRMINO,287
%all%,Todo,DESISTIMIENTO,DESISTIMIENTO,385
%all%,Todo,CUESTIÓN ABSTRACTA,CUESTIÓN ABSTRACTA,411
%all%,Todo,DEPÓSITO PREVIO,DEPÓSITO PREVIO,467
%all%,Todo,FALTA DE FUNDAMENTACIÓN,FALTA DE FUNDAMENTACIÓN,590
%all%,Todo,FALTA DE SENTENCIA DEFINITIVA ,FALTA DE SENTENCIA DEFINITIVA ,1193
%all%,Todo,ACORDADA 4/2007,ACORDADA 4/2007,4549
%all%,Todo,ART. 280 CPCCN ,ART. 280 CPCCN ,12546
RECURSO ORDINARIO,RECURSO ORDINARIO,%all%,Todo,7
RECURSO ORDINARIO,RECURSO ORDINARIO,OTRAS CAUSALES,OTRAS CAUSALES,1
RECURSO ORDINARIO,RECURSO ORDINARIO,DESISTIMIENTO,DESISTIMIENTO,6
REC. DE SALTO DE INSTANCIA,REC. DE SALTO DE INSTANCIA,%all%,Todo,36
REC. DE SALTO DE INSTANCIA,REC. DE SALTO DE INSTANCIA,MAL PRESENTADO,MAL PRESENTADO,1
REC. DE SALTO DE INSTANCIA,REC. DE SALTO DE INSTANCIA,SALTO DE INSTANCIA,SALTO DE INSTANCIA,29
REC. DE SALTO DE INSTANCIA,REC. DE SALTO DE INSTANCIA,CADUCIDAD DE LA INSTANCIA,CADUCIDAD DE LA INSTANCIA,2
REC. DE SALTO DE INSTANCIA,REC. DE SALTO DE INSTANCIA,FALTA DENEGACION DEL REC. EXTRAORDINARIO,FALTA DENEGACION DEL REC. EXTRAORDINARIO,1
REC. DE SALTO DE INSTANCIA,REC. DE SALTO DE INSTANCIA,FUERA DE TÉRMINO,FUERA DE TÉRMINO,1
REC. DE SALTO DE INSTANCIA,REC. DE SALTO DE INSTANCIA,DESISTIMIENTO,DESISTIMIENTO,1
REC. DE SALTO DE INSTANCIA,REC. DE SALTO DE INSTANCIA,CUESTIÓN ABSTRACTA,CUESTIÓN ABSTRACTA,1
QUEJA REC. ORD. DENEGADO,QUEJA REC. ORD. DENEGADO,%all%,Todo,46
QUEJA REC. ORD. DENEGADO,QUEJA REC. ORD. DENEGADO,OTRAS CAUSALES,OTRAS CAUSALES,6
QUEJA REC. ORD. DENEGADO,QUEJA REC. ORD. DENEGADO,MAL PRESENTADO,MAL PRESENTADO,1
