DESC TIPO RECURSO OKfromFALLOS (grupo) 3-value,DESC TIPO RECURSO OKfromFALLOS (grupo) 3-alias,REC(casos con fallos 2025.sav)-alias,Admisibilidad-value,Admisibilidad-alias,REC(DESC TIPO RECURSO OKfromFALLOS)-alias
%all%,Todo,24545,%all%,%all%,1
%all%,Todo,3722,ADMISIBLES,ADMISIBLES,0.15163984518231818
%all%,Todo,20823,INADMISIBLE,INADMISIBLE,0.8483601548176818
RECURSO ORDINARIO,RECURSO ORDINARIO,23,%all%,%all%,1
RECURSO ORDINARIO,RECURSO ORDINARIO,16,ADMISIBLES,ADMISIBLES,0.6956521739130435
RECURSO ORDINARIO,RECURSO ORDINARIO,7,INADMISIBLE,INADMISIBLE,0.30434782608695654
REC. DE SALTO DE INSTANCIA,REC. DE SALTO DE INSTANCIA,36,%all%,%all%,1
REC. DE SALTO DE INSTANCIA,REC. DE SALTO DE INSTANCIA,36,INADMISIBLE,INADMISIBLE,1
QUEJA REC. ORD. DENEGADO,QUEJA REC. ORD. DENEGADO,46,%all%,%all%,1
QUEJA REC. ORD. DENEGADO,QUEJA REC. ORD. DENEGADO,46,INADMISIBLE,INADMISIBLE,1
REC. EXTRAORD.,REC. EXTRAORD.,4067,%all%,%all%,1
REC. EXTRAORD.,REC. EXTRAORD.,2284,ADMISIBLES,ADMISIBLES,0.5615933120236046
REC. EXTRAORD.,REC. EXTRAORD.,1783,INADMISIBLE,INADMISIBLE,0.43840668797639537
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,20373,%all%,%all%,1
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,1422,ADMISIBLES,ADMISIBLES,0.06979826240612576
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,18951,INADMISIBLE,INADMISIBLE,0.9302017375938743
