TIPOS DE CASO-value,TIPOS DE CASO-alias,VIA DE ACCESO-value,VIA DE ACCESO-alias,REC(casos con fallos 2025.sav)-alias,SENTIDO RESOLUCION (casos con fallos 2025.sav)-value,SENTIDO RESOLUCION (casos con fallos 2025.sav)-alias
RECURSO ORDINARIO,RECURSO ORDINARIO,RECURSOS,RECURSOS,16,%all%,%all%
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,1422,%all%,%all%
REC. EXTRAORDINARIO,REC. EXTRAORDINARIO,RECURSOS,RECURSOS,2284,%all%,%all%
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,1,RECHAZA LA DEMANDA,RECHAZA LA DEMANDA
REC. EXTRAORDINARIO,REC. EXTRAORDINARIO,RECURSOS,RECURSOS,1,MODIFICA,MODIFICA
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,1,DESESTIMA,DESESTIMA
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,1,DECLARA INOFICIOSO,DECLARA INOFICIOSO
REC. EXTRAORDINARIO,REC. EXTRAORDINARIO,RECURSOS,RECURSOS,1,DECLARA INADMISIBLE,DECLARA INADMISIBLE
RECURSO ORDINARIO,RECURSO ORDINARIO,RECURSOS,RECURSOS,1,DECLARA IMPROCEDENTE,DECLARA IMPROCEDENTE
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,2,RECHAZA,RECHAZA
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,2,DECLARA INEXISTENCIA,DECLARA INEXISTENCIA
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,4,DECLARA NULIDAD,DECLARA NULIDAD
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,20,DECLARA COMPETENCIA,DECLARA COMPETENCIA
REC. EXTRAORDINARIO,REC. EXTRAORDINARIO,RECURSOS,RECURSOS,15,DECLARA COMPETENCIA,DECLARA COMPETENCIA
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,5,REVOCA PARCIALMENTE,REVOCA PARCIALMENTE
REC. EXTRAORDINARIO,REC. EXTRAORDINARIO,RECURSOS,RECURSOS,33,REVOCA PARCIALMENTE,REVOCA PARCIALMENTE
RECURSO ORDINARIO,RECURSO ORDINARIO,RECURSOS,RECURSOS,13,CONFIRMA,CONFIRMA
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,40,CONFIRMA,CONFIRMA
REC. EXTRAORDINARIO,REC. EXTRAORDINARIO,RECURSOS,RECURSOS,309,CONFIRMA,CONFIRMA
RECURSO ORDINARIO,RECURSO ORDINARIO,RECURSOS,RECURSOS,1,DEJA SIN EFECTO,DEJA SIN EFECTO
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,1067,DEJA SIN EFECTO,DEJA SIN EFECTO
REC. EXTRAORDINARIO,REC. EXTRAORDINARIO,RECURSOS,RECURSOS,284,DEJA SIN EFECTO,DEJA SIN EFECTO
RECURSO ORDINARIO,RECURSO ORDINARIO,RECURSOS,RECURSOS,1,REVOCA,REVOCA
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,279,REVOCA,REVOCA
REC. EXTRAORDINARIO,REC. EXTRAORDINARIO,RECURSOS,RECURSOS,1641,REVOCA,REVOCA
%all%,Todo,%all%,Todo,3722,%all%,%all%
%all%,Todo,%all%,Todo,1,RECHAZA LA DEMANDA,RECHAZA LA DEMANDA
%all%,Todo,%all%,Todo,1,MODIFICA,MODIFICA
%all%,Todo,%all%,Todo,1,DESESTIMA,DESESTIMA
%all%,Todo,%all%,Todo,1,DECLARA INOFICIOSO,DECLARA INOFICIOSO
%all%,Todo,%all%,Todo,1,DECLARA INADMISIBLE,DECLARA INADMISIBLE
%all%,Todo,%all%,Todo,1,DECLARA IMPROCEDENTE,DECLARA IMPROCEDENTE
%all%,Todo,%all%,Todo,2,RECHAZA,RECHAZA
%all%,Todo,%all%,Todo,2,DECLARA INEXISTENCIA,DECLARA INEXISTENCIA
%all%,Todo,%all%,Todo,4,DECLARA NULIDAD,DECLARA NULIDAD
%all%,Todo,%all%,Todo,35,DECLARA COMPETENCIA,DECLARA COMPETENCIA
%all%,Todo,%all%,Todo,38,REVOCA PARCIALMENTE,REVOCA PARCIALMENTE
%all%,Todo,%all%,Todo,362,CONFIRMA,CONFIRMA
%all%,Todo,%all%,Todo,1352,DEJA SIN EFECTO,DEJA SIN EFECTO
%all%,Todo,%all%,Todo,1921,REVOCA,REVOCA
