TIPOS DE CASO-value,TIPOS DE CASO-alias,VIA DE ACCESO-value,VIA DE ACCESO-alias,REC(casos con fallos 2025.sav)-alias,VALORACION -value,VALORACION -alias
RECURSO ORDINARIO,RECURSO ORDINARIO,RECURSOS,RECURSOS,16,%all%,%all%
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,1422,%all%,%all%
REC. EXTRAORDINARIO,REC. EXTRAORDINARIO,RECURSOS,RECURSOS,2284,%all%,%all%
RECURSO ORDINARIO,RECURSO ORDINARIO,RECURSOS,RECURSOS,14,❌,❌
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,45,❌,❌
REC. EXTRAORDINARIO,REC. EXTRAORDINARIO,RECURSOS,RECURSOS,310,❌,❌
RECURSO ORDINARIO,RECURSO ORDINARIO,RECURSOS,RECURSOS,2,✅,✅
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,RECURSOS,RECURSOS,1377,✅,✅
REC. EXTRAORDINARIO,REC. EXTRAORDINARIO,RECURSOS,RECURSOS,1974,✅,✅
%all%,Todo,%all%,Todo,3722,%all%,%all%
%all%,Todo,%all%,Todo,369,❌,❌
%all%,Todo,%all%,Todo,3353,✅,✅
