DENTRO/FUERA(Secretarías conjunto)-alias,Nombres de campo de tabla dinámica (Crear tabla dinámica1)-value,Nombres de campo de tabla dinámica (Crear tabla dinámica1)-alias,SUMA(Valores de campo de tabla dinámica (Crear tabla dinámica1))-alias,SUMA(Valores de campo de tabla dinámica (Crear tabla dinámica1))-value,SUMA(Valores de campo de tabla dinámica (Crear tabla dinámica1))-[federated.0mjr7n71tl69fu13c0ei30j0rgjv].[sum:Valores de campo de tabla dinámica (Crear tabla dinámica1):qk]-alias,SUMA(Valores de campo de tabla dinámica (Crear tabla dinámica1))-[federated.0mjr7n71tl69fu13c0ei30j0rgjv].[pcdf:sum:Valores de campo de tabla dinámica (Crear tabla dinámica1):ok]-alias
Dentro,2014 (Resueltas),2014 ,23803,23803,23803,%null%
Dentro,2015 (Resueltas),2015 ,17708,17708,17708,-0.2560601604839726
Dentro,2016 (Resueltas),2016 ,13272,13272,13272,-0.25050824486107975
Dentro,2017 (Resueltas),2017,9583,9583,9583,-0.2779535864978903
Dentro,2018 (Resueltas),2018,7278,7278,7278,-0.24053010539497027
Dentro,2019 (Resueltas),2019,26608,26608,26608,2.6559494366584224
Dentro,2020 (Resueltas),2020,11090,11090,11090,-0.5832080577269994
Dentro,2021 (Resueltas),2021 ,19545,19545,19545,0.7623985572587917
Dentro,2022 (Resueltas),2022,20427,20427,20427,0.04512663085188027
Dentro,2023 (Resueltas),2023,16889,16889,16889,-0.1732021344299212
Dentro,2024 (Resueltas),2024 ,19056,19056,19056,0.12830836639232637
Dentro,2025 (Resueltas),2025,26524,26524,26524,0.3918975650713686
