Nombres de campo de tabla dinámica (Crear tabla dinámica2)-value,Nombres de campo de tabla dinámica (Crear tabla dinámica2)-alias,SUMA(Valores de campo de tabla dinámica (Crear tabla dinámica2))-alias,SUMA(Valores de campo de tabla dinámica (Crear tabla dinámica2))-value,SUMA(Valores de campo de tabla dinámica (Crear tabla dinámica2))-[federated.0mjr7n71tl69fu13c0ei30j0rgjv].[sum:Valores de campo de tabla dinámica (Crear tabla dinámica2):qk]-alias
2014 (Stock),2014,-7020,-7020,-7020
2015 (Stock),2015 ,-1685,-1685,-1685
2016 (Stock),2016 ,2447,2447,2447
2017 (Stock),2017 ,5217,5217,5217
2018 (Stock),2018,20759,20759,20759
2019 (Stock),2019 ,-2943,-2943,-2943
2020 (Stock),2020 ,4218,4218,4218
2021 (Stock),2021 ,5411,5411,5411
2022 (Stock),2022,10917,10917,10917
2023 (Stock),2023 ,15344,15344,15344
2024 (Stock),2024 ,26622,26622,26622
2025 (Stock),2025,31900,31900,31900
