historia,hoja,filas,columnas
Series históricas,Casos Ingresados,12,Nombres de campo de tabla dinámica-value | Nombres de campo de tabla dinámica-alias | SUMA(Valores de campo de tabla dinámica)-alias | SUMA(Valores de campo de tabla dinámica)-value | SUMA(Valores de campo de tabla dinámica)-[federated.0mjr7n71tl69fu13c0ei30j0rgjv].[sum:Valores de campo de tabla dinámica:qk]-alias | SUMA(Valores de campo de tabla dinámica)-[federated.0mjr7n71tl69fu13c0ei30j0rgjv].[pcdf:sum:Valores de campo de tabla dinámica:ok]-alias
Series históricas,Casos Resueltos,12,DENTRO/FUERA(Secretarías conjunto)-alias | Nombres de campo de tabla dinámica (Crear tabla dinámica1)-value | Nombres de campo de tabla dinámica (Crear tabla dinámica1)-alias | SUMA(Valores de campo de tabla dinámica (Crear tabla dinámica1))-alias | SUMA(Valores de campo de tabla dinámica (Crear tabla dinámica1))-value | SUMA(Valores de campo de tabla dinámica (Crear tabla dinámica1))-[federated.0mjr7n71tl69fu13c0ei30j0rgjv].[sum:Valores de campo de tabla dinámica (Crear tabla dinámica1):qk]-alias | SUMA(Valores de campo de tabla dinámica (Crear tabla dinámica1))-[federated.0mjr7n71tl69fu13c0ei30j0rgjv].[pcdf:sum:Valores de campo de tabla dinámica (Crear tabla dinámica1):ok]-alias
Series históricas,Casos de stock,12,Nombres de campo de tabla dinámica (Crear tabla dinámica2)-value | Nombres de campo de tabla dinámica (Crear tabla dinámica2)-alias | SUMA(Valores de campo de tabla dinámica (Crear tabla dinámica2))-alias | SUMA(Valores de campo de tabla dinámica (Crear tabla dinámica2))-value | SUMA(Valores de campo de tabla dinámica (Crear tabla dinámica2))-[federated.0mjr7n71tl69fu13c0ei30j0rgjv].[sum:Valores de campo de tabla dinámica (Crear tabla dinámica2):qk]-alias
Acuerdos  año 2025,Hoja 56,1,REC(ACUERDOS)-alias
Acuerdos  año 2025,Acuerdos (4),44,SUMA(Cantidad Sentencias)-value | SUMA(Cantidad Sentencias)-alias | SEMANA(Fecha)-value | SEMANA(Fecha)-alias
Casos con fallos dictados,total casos resueltos,1,REC(casos con fallos 2025.sav)-alias
Casos con fallos dictados,DECIS HORIZ,3,REC(casos con fallos 2025.sav)-alias | Tipo Decisión-value | Tipo Decisión-alias
Casos con fallos dictados,fallos dictados orig (2),1,REC(FALLOS_CSJN)-alias
Casos con fallos dictados,casos impactados orig (2),1,REC(casos con fallos 2025.sav)-alias
Casos con decisiones de trámite,tram,10,Tipo Tramite (casos con fallos 2025.sav) (grupo) 1-value | Tipo Tramite (casos con fallos 2025.sav) (grupo) 1-alias | REC(casos con fallos 2025.sav)-alias
Casos con decisiones de trámite,tram (3),9,Tipo Tramite (casos con fallos 2025.sav) (grupo)-alias | REC(casos con fallos 2025.sav)-value | REC(casos con fallos 2025.sav)-alias
Porcentajes de Casos  resueltos por Secretaría de radicación,casos x tipo y sec (2),10,REC(casos con fallos 2025.sav)-alias | DESC SECRETARIA (casos con fallos 2025.sav)-value | DESC SECRETARIA (casos con fallos 2025.sav)-alias | REC(casos con fallos 2025.sav)-value | REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[__tableau_internal_object_id__].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk]-alias
Distribución de los tipos de casos según secretaría de radicación,Sankey sec tipo caso,55,SECRETARIA -alias | TIPOS DE CASO-alias | REC(casos con fallos 2025.sav)-alias | REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:10]-alias | REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:13]-alias | REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:2]-alias
Casos resueltos según vía de acceso,VIA DE ACCESO,3,VIA DE ACCESO-value | VIA DE ACCESO-alias | REC(casos con fallos 2025.sav)-alias
Casos resueltos según vía de acceso,VIA DE ACCESO (4),5,TIPOS DE CASO-value | TIPOS DE CASO-alias | REC(casos con fallos 2025.sav)-alias
Casos resueltos según vía de acceso,VIA DE ACCESO (5),6,DESC TIPO RECURSO OKfromFALLOS (grupo) 3-value | DESC TIPO RECURSO OKfromFALLOS (grupo) 3-alias | REC(casos con fallos 2025.sav)-alias
Casos resueltos según vía de acceso,VIA DE ACCESO (6),2,VIA DE ACCESO-alias | REC(casos con fallos 2025.sav)-alias
Recursos resueltos según materia,Casos resueltos x Materia (3),10,DESC MATERIA -value | DESC MATERIA -alias | REC(casos con fallos 2025.sav)-value | REC(casos con fallos 2025.sav)-alias
Recursos resueltos por  materia y tipo de recurso,Hoja 60,5,TIPO DE CASO-alias | REC(casos con fallos 2025.sav)-alias
Recursos resueltos por  materia y tipo de recurso,Casos resueltos x Materia (2),52,DESC MATERIA -value | DESC MATERIA -alias | DESC TIPO RECURSO OKfromFALLOS (grupo) 3-value | DESC TIPO RECURSO OKfromFALLOS (grupo) 3-alias | VIA DE ACCESO-value | VIA DE ACCESO-alias | REC(casos con fallos 2025.sav)-alias
Recursos resueltos según presentante,PRESENTANTES GRA (3),32,TIPOS DE CASO-value | TIPOS DE CASO-alias | PRESENTANTE (casos con fallos 2025.sav) (grupo)-value | PRESENTANTE (casos con fallos 2025.sav) (grupo)-alias | REC(casos con fallos 2025.sav)-alias
Recursos resueltos según presentante,PRESENTANTES GRA (4),5,PRESENTANTE (casos con fallos 2025.sav) (grupo)-alias | REC(casos con fallos 2025.sav)-alias
Subtipos de presentantes,presentantes/org,27,PRESENTANTE (casos con fallos 2025.sav) (grupo) 1-alias | REC(casos con fallos 2025.sav)-alias | REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:16]-alias
Subtipos de presentantes,presentantes/civil,14,PRESENTANTE (casos con fallos 2025.sav) (grupo) 1-alias | REC(casos con fallos 2025.sav)-alias | REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:16]-alias
Subtipos de presentantes,presentantes/empres,20,PRESENTANTE (casos con fallos 2025.sav) (grupo) 1-alias | REC(casos con fallos 2025.sav)-alias | REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:16]-alias
Recursos según cumplimiento de requisitos,causa inad,83,DESC TIPO RECURSO OKfromFALLOS (grupo) 3-value | DESC TIPO RECURSO OKfromFALLOS (grupo) 3-alias | Formulasfinal (grupo)-value | Formulasfinal (grupo)-alias | REC(casos con fallos 2025.sav)-alias
Recursos según cumplimiento de requisitos,causa inad (3),22,Formulasfinal (grupo) 1-alias | REC(casos con fallos 2025.sav)-alias | REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:6]-alias
