Firmantes (casos con fallos 2025.sav) (grupo)-value,Firmantes (casos con fallos 2025.sav) (grupo)-alias,REC(casos con votos 2025.sav)-alias,Nombrejuez-value,Nombrejuez-alias,Tipovotodescripcion-value,Tipovotodescripcion-alias
0.0,0.0,26359.0,0.0,0.0,0.0,0.0
0.0,0.0,12947.0,0.0,0.0,0.0,0.0
0.0,0.0,12947.0,0.0,0.0,0.0,0.0
0.0,0.0,12963.0,0.0,0.0,0.0,0.0
0.0,0.0,12972.0,0.0,0.0,0.0,0.0
0.0,0.0,587.0,0.0,0.0,0.0,0.0
0.0,0.0,68.0,0.0,0.0,0.0,0.0
0.0,0.0,113.0,0.0,0.0,0.0,0.0
0.0,0.0,88.0,0.0,0.0,0.0,0.0
0.0,0.0,344.0,0.0,0.0,0.0,0.0
0.0,0.0,79912.0,0.0,0.0,0.0,0.0
0.0,0.0,27149.0,0.0,0.0,0.0,0.0
0.0,0.0,39125.0,0.0,0.0,0.0,0.0
0.0,0.0,13527.0,0.0,0.0,0.0,0.0
0.0,0.0,12947.0,0.0,0.0,0.0,0.0
0.0,0.0,12947.0,0.0,0.0,0.0,0.0
0.0,0.0,12947.0,0.0,0.0,0.0,0.0
0.0,0.0,12972.0,0.0,0.0,0.0,0.0
0.0,0.0,12972.0,0.0,0.0,0.0,0.0
0.0,0.0,12972.0,0.0,0.0,0.0,0.0
0.0,0.0,12947.0,0.0,0.0,0.0,0.0
0.0,0.0,12947.0,0.0,0.0,0.0,0.0
0.0,0.0,12972.0,0.0,0.0,0.0,0.0
0.0,0.0,12947.0,0.0,0.0,0.0,0.0
0.0,0.0,12972.0,0.0,0.0,0.0,0.0
0.0,0.0,12947.0,0.0,0.0,0.0,0.0
0.0,0.0,12947.0,0.0,0.0,0.0,0.0
0.0,0.0,12947.0,0.0,0.0,0.0,0.0
0.0,0.0,12947.0,0.0,0.0,0.0,0.0
0.0,0.0,12947.0,0.0,0.0,0.0,0.0
0.0,0.0,12947.0,0.0,0.0,0.0,0.0
0.0,0.0,12947.0,0.0,0.0,0.0,0.0
0.0,0.0,12972.0,0.0,0.0,0.0,0.0
0.0,0.0,12972.0,0.0,0.0,0.0,0.0
0.0,0.0,12972.0,0.0,0.0,0.0,0.0
0.0,0.0,12947.0,0.0,0.0,0.0,0.0
0.0,0.0,12972.0,0.0,0.0,0.0,0.0
0.0,0.0,12972.0,0.0,0.0,0.0,0.0
0.0,0.0,12947.0,0.0,0.0,0.0,0.0
0.0,0.0,12947.0,0.0,0.0,0.0,0.0
0.0,0.0,12947.0,0.0,0.0,0.0,0.0
0.0,0.0,12947.0,0.0,0.0,0.0,0.0
0.0,0.0,12947.0,0.0,0.0,0.0,0.0
