Firmantes (casos con fallos 2025.sav) (grupo)-value,Firmantes (casos con fallos 2025.sav) (grupo)-alias,REC(casos con votos 2025.sav)-alias,Nombrejuez-value,Nombrejuez-alias,Tipovotodescripcion-value,Tipovotodescripcion-alias
0.0,0.0,26294.0,0.0,0.0,0.0,0.0
0.0,0.0,65.0,0.0,0.0,0.0,0.0
0.0,0.0,65.0,0.0,0.0,0.0,0.0
0.0,0.0,26799.0,0.0,0.0,0.0,0.0
0.0,0.0,510.0,0.0,0.0,0.0,0.0
0.0,0.0,12885.0,0.0,0.0,0.0,0.0
0.0,0.0,66.0,0.0,0.0,0.0,0.0
0.0,0.0,65.0,0.0,0.0,0.0,0.0
0.0,0.0,65.0,0.0,0.0,0.0,0.0
0.0,0.0,65.0,0.0,0.0,0.0,0.0
0.0,0.0,87.0,0.0,0.0,0.0,0.0
0.0,0.0,87.0,0.0,0.0,0.0,0.0
0.0,0.0,26799.0,0.0,0.0,0.0,0.0
0.0,0.0,26799.0,0.0,0.0,0.0,0.0
0.0,0.0,26799.0,0.0,0.0,0.0,0.0
0.0,0.0,26799.0,0.0,0.0,0.0,0.0
0.0,0.0,13521.0,0.0,0.0,0.0,0.0
0.0,0.0,13521.0,0.0,0.0,0.0,0.0
0.0,0.0,27140.0,0.0,0.0,0.0,0.0
0.0,0.0,27140.0,0.0,0.0,0.0,0.0
0.0,0.0,27140.0,0.0,0.0,0.0,0.0
0.0,0.0,27140.0,0.0,0.0,0.0,0.0
0.0,0.0,38934.0,0.0,0.0,0.0,0.0
0.0,0.0,38934.0,0.0,0.0,0.0,0.0
0.0,0.0,26452.0,0.0,0.0,0.0,0.0
0.0,0.0,12929.0,0.0,0.0,0.0,0.0
0.0,0.0,65.0,0.0,0.0,0.0,0.0
0.0,0.0,65.0,0.0,0.0,0.0,0.0
0.0,0.0,26799.0,0.0,0.0,0.0,0.0
0.0,0.0,65.0,0.0,0.0,0.0,0.0
0.0,0.0,79706.0,0.0,0.0,0.0,0.0
0.0,0.0,87.0,0.0,0.0,0.0,0.0
0.0,0.0,79706.0,0.0,0.0,0.0,0.0
0.0,0.0,87.0,0.0,0.0,0.0,0.0
0.0,0.0,79706.0,0.0,0.0,0.0,0.0
0.0,0.0,65.0,0.0,0.0,0.0,0.0
0.0,0.0,65.0,0.0,0.0,0.0,0.0
0.0,0.0,65.0,0.0,0.0,0.0,0.0
0.0,0.0,65.0,0.0,0.0,0.0,0.0
0.0,0.0,65.0,0.0,0.0,0.0,0.0
0.0,0.0,65.0,0.0,0.0,0.0,0.0
0.0,0.0,87.0,0.0,0.0,0.0,0.0
0.0,0.0,65.0,0.0,0.0,0.0,0.0
0.0,0.0,26799.0,0.0,0.0,0.0,0.0
0.0,0.0,87.0,0.0,0.0,0.0,0.0
0.0,0.0,13521.0,0.0,0.0,0.0,0.0
0.0,0.0,13521.0,0.0,0.0,0.0,0.0
0.0,0.0,65.0,0.0,0.0,0.0,0.0
0.0,0.0,26799.0,0.0,0.0,0.0,0.0
0.0,0.0,65.0,0.0,0.0,0.0,0.0
0.0,0.0,26799.0,0.0,0.0,0.0,0.0
0.0,0.0,79706.0,0.0,0.0,0.0,0.0
0.0,0.0,38934.0,0.0,0.0,0.0,0.0
0.0,0.0,65.0,0.0,0.0,0.0,0.0
0.0,0.0,65.0,0.0,0.0,0.0,0.0
0.0,0.0,87.0,0.0,0.0,0.0,0.0
0.0,0.0,13521.0,0.0,0.0,0.0,0.0
0.0,0.0,13521.0,0.0,0.0,0.0,0.0
0.0,0.0,79706.0,0.0,0.0,0.0,0.0
0.0,0.0,79706.0,0.0,0.0,0.0,0.0
0.0,0.0,65.0,0.0,0.0,0.0,0.0
0.0,0.0,13523.0,0.0,0.0,0.0,0.0
0.0,0.0,27140.0,0.0,0.0,0.0,0.0
0.0,0.0,38934.0,0.0,0.0,0.0,0.0
0.0,0.0,65.0,0.0,0.0,0.0,0.0
