Firmantes (casos con fallos 2025.sav) (grupo)-value,Firmantes (casos con fallos 2025.sav) (grupo)-alias,REC(casos con votos 2025.sav)-alias,Nombrejuez-value,Nombrejuez-alias,Tipovotodescripcion-value,Tipovotodescripcion-alias
0.0,0.0,428.0,0.0,0.0,0.0,0.0
0.0,0.0,428.0,0.0,0.0,0.0,0.0
0.0,0.0,428.0,0.0,0.0,0.0,0.0
0.0,0.0,428.0,0.0,0.0,0.0,0.0
0.0,0.0,428.0,0.0,0.0,0.0,0.0
0.0,0.0,428.0,0.0,0.0,0.0,0.0
0.0,0.0,857.0,0.0,0.0,0.0,0.0
0.0,0.0,857.0,0.0,0.0,0.0,0.0
0.0,0.0,428.0,0.0,0.0,0.0,0.0
0.0,0.0,428.0,0.0,0.0,0.0,0.0
0.0,0.0,428.0,0.0,0.0,0.0,0.0
0.0,0.0,428.0,0.0,0.0,0.0,0.0
0.0,0.0,428.0,0.0,0.0,0.0,0.0
0.0,0.0,428.0,0.0,0.0,0.0,0.0
0.0,0.0,428.0,0.0,0.0,0.0,0.0
0.0,0.0,428.0,0.0,0.0,0.0,0.0
0.0,0.0,428.0,0.0,0.0,0.0,0.0
0.0,0.0,428.0,0.0,0.0,0.0,0.0
0.0,0.0,428.0,0.0,0.0,0.0,0.0
0.0,0.0,428.0,0.0,0.0,0.0,0.0
0.0,0.0,428.0,0.0,0.0,0.0,0.0
