subtabla,anio,n_fallos,wc_mediana,wc_promedio,n_unanime,n_disidencia,n_segun_su_voto,n_mixed,tomo,anio_esperado
por_anio,2004,2,2374,2374,0.0,1.0,1.0,0.0,,
por_anio,2005,1,1031,1031,0.0,1.0,0.0,0.0,,
por_anio,2006,1018,776,1431,808.0,84.0,65.0,19.0,,
por_anio,2007,712,932,1844,515.0,84.0,37.0,25.0,,
por_anio,2008,333,1249,2089,243.0,45.0,21.0,10.0,,
por_anio,2009,296,1339,2136,229.0,27.0,15.0,12.0,,
por_anio,2010,218,1261,2364,158.0,30.0,13.0,8.0,,
por_anio,2011,163,1517,2584,114.0,19.0,7.0,6.0,,
por_anio,2013,1,1681,1681,0.0,0.0,0.0,0.0,,
por_anio,2014,112,2632,3321,67.0,15.0,6.0,2.0,,
por_anio,2015,131,1563,2512,105.0,8.0,3.0,1.0,,
por_anio,2016,295,705,1278,263.0,2.0,7.0,3.0,,
por_anio,2017,251,675,1930,190.0,23.0,15.0,7.0,,
por_anio,2018,218,1182,2309,160.0,22.0,18.0,5.0,,
por_anio,2019,188,1692,3570,130.0,21.0,14.0,9.0,,
por_anio,2020,214,1749,2715,155.0,19.0,16.0,8.0,,
por_anio,2021,280,1750,3230,196.0,28.0,19.0,11.0,,
por_anio,2022,146,1446,2541,93.0,15.0,17.0,2.0,,
por_anio,2023,149,1643,2471,102.0,14.0,10.0,7.0,,
por_anio,2024,197,1956,3159,134.0,15.0,22.0,5.0,,
por_anio,2025,192,1258,2408,155.0,3.0,12.0,2.0,,
por_anio,2026,33,1533,2671,27.0,1.0,5.0,0.0,,
por_tomo,,1058,753,,,,,,329.0,2006
por_tomo,,747,896,,,,,,330.0,2007
por_tomo,,354,1200,,,,,,331.0,2008
por_tomo,,308,1277,,,,,,332.0,2009
por_tomo,,230,1214,,,,,,333.0,2010
por_tomo,,178,1434,,,,,,334.0,2011
por_tomo,,116,2564,,,,,,337.0,2014
por_tomo,,151,1443,,,,,,338.0,2015
por_tomo,,311,679,,,,,,339.0,2016
por_tomo,,263,673,,,,,,340.0,2017
por_tomo,,226,1178,,,,,,341.0,2018
por_tomo,,202,1636,,,,,,342.0,2019
por_tomo,,223,1694,,,,,,343.0,2020
por_tomo,,304,1716,,,,,,344.0,2021
por_tomo,,207,912,,,,,,345.0,2022
por_tomo,,191,1249,,,,,,346.0,2023
por_tomo,,226,1834,,,,,,347.0,2024
por_tomo,,236,1058,,,,,,348.0,2025
por_tomo,,35,1505,,,,,,349.0,2026
