subtabla,anio,n_fallos,n_jueces_mediana,n_jueces_moda,pct_unanime,pct_disidencia,pct_concurrencia,n_jueces_oficial,jueces_oficial
por_anio,2004,2,7.0,6,0.0,50.0,50.0,,
por_anio,2005,1,8.0,8,0.0,100.0,0.0,,
por_anio,2006,1018,5.0,5,79.37,8.25,8.25,9.0,Petracchi|Belluscio|Boggiano|Maqueda|Highton de Nolasco|Fayt|Zaffaroni|Lorenzetti|Argibay
por_anio,2007,712,4.0,4,72.33,11.8,8.71,7.0,Petracchi|Highton de Nolasco|Fayt|Zaffaroni|Lorenzetti|Argibay|Maqueda
por_anio,2008,333,5.0,6,72.97,13.51,9.31,7.0,Petracchi|Highton de Nolasco|Fayt|Zaffaroni|Lorenzetti|Argibay|Maqueda
por_anio,2009,296,5.0,6,77.36,9.12,9.12,7.0,Petracchi|Highton de Nolasco|Fayt|Zaffaroni|Lorenzetti|Argibay|Maqueda
por_anio,2010,218,5.0,6,72.48,13.76,9.63,7.0,Petracchi|Highton de Nolasco|Fayt|Zaffaroni|Lorenzetti|Argibay|Maqueda
por_anio,2011,163,5.0,5,69.94,11.66,7.98,7.0,Petracchi|Highton de Nolasco|Fayt|Zaffaroni|Lorenzetti|Argibay|Maqueda
por_anio,2013,1,0.0,0,0.0,0.0,0.0,,
por_anio,2014,112,4.0,4,59.82,13.39,7.14,7.0,Petracchi|Highton de Nolasco|Fayt|Zaffaroni|Lorenzetti|Argibay|Maqueda
por_anio,2015,131,3.0,3,80.15,6.11,3.05,4.0,Highton de Nolasco|Fayt|Lorenzetti|Maqueda
por_anio,2016,295,3.0,3,89.15,0.68,3.39,5.0,Highton de Nolasco|Lorenzetti|Maqueda|Rosatti|Rosenkrantz
por_anio,2017,251,4.0,5,75.7,9.16,8.76,5.0,Highton de Nolasco|Lorenzetti|Maqueda|Rosatti|Rosenkrantz
por_anio,2018,218,4.0,5,73.39,10.09,10.55,5.0,Highton de Nolasco|Lorenzetti|Maqueda|Rosatti|Rosenkrantz
por_anio,2019,188,4.0,5,69.15,11.17,12.23,5.0,Highton de Nolasco|Lorenzetti|Maqueda|Rosatti|Rosenkrantz
por_anio,2020,214,4.0,5,72.43,8.88,11.21,5.0,Highton de Nolasco|Lorenzetti|Maqueda|Rosatti|Rosenkrantz
por_anio,2021,280,4.0,5,70.0,10.0,10.71,4.0,Lorenzetti|Maqueda|Rosatti|Rosenkrantz
por_anio,2022,146,4.0,4,63.7,10.27,13.01,4.0,Lorenzetti|Maqueda|Rosatti|Rosenkrantz
por_anio,2023,149,4.0,4,68.46,9.4,11.41,4.0,Lorenzetti|Maqueda|Rosatti|Rosenkrantz
por_anio,2024,197,3.0,4,68.02,7.61,13.71,4.0,Lorenzetti|Maqueda|Rosatti|Rosenkrantz
por_anio,2025,192,3.0,3,80.73,1.56,7.29,3.0,Lorenzetti|Rosatti|Rosenkrantz
por_anio,2026,33,3.0,3,81.82,3.03,15.15,3.0,Lorenzetti|Rosatti|Rosenkrantz
