subtabla,juez_a,juez_b,n_casos_compartidos,n_misma_posicion,n_distinta_posicion,pct_misma_posicion
pares,Lorenzetti,Maqueda,3117,2857,260,91.66
pares,Highton de Nolasco,Maqueda,3002,2693,309,89.71
pares,Highton de Nolasco,Lorenzetti,2727,2437,290,89.37
pares,Maqueda,Petracchi,1768,1621,147,91.69
pares,Highton de Nolasco,Petracchi,1735,1546,189,89.11
pares,Lorenzetti,Petracchi,1468,1286,182,87.6
pares,Maqueda,Zaffaroni,1430,1280,150,89.51
pares,Highton de Nolasco,Zaffaroni,1381,1175,206,85.08
pares,Argibay,Highton de Nolasco,1347,1052,295,78.1
pares,Argibay,Maqueda,1329,995,334,74.87
pares,Petracchi,Zaffaroni,1260,1061,199,84.21
pares,Fayt,Maqueda,1259,1109,150,88.09
pares,Argibay,Petracchi,1248,965,283,77.32
pares,Fayt,Highton de Nolasco,1243,1046,197,84.15
pares,Lorenzetti,Zaffaroni,1229,1057,172,86.0
pares,Lorenzetti,Rosatti,1206,1009,197,83.67
pares,Argibay,Lorenzetti,1199,899,300,74.98
pares,Rosatti,Rosenkrantz,1130,853,277,75.49
pares,Fayt,Petracchi,1113,969,144,87.06
pares,Maqueda,Rosatti,1107,955,152,86.27
pares,Lorenzetti,Rosenkrantz,1105,901,204,81.54
pares,Argibay,Zaffaroni,1064,730,334,68.61
pares,Fayt,Lorenzetti,1048,896,152,85.5
pares,Maqueda,Rosenkrantz,979,755,224,77.12
pares,Fayt,Zaffaroni,869,738,131,84.93
pares,Argibay,Fayt,832,567,265,68.15
pares,Highton de Nolasco,Rosatti,655,505,150,77.1
pares,Highton de Nolasco,Rosenkrantz,625,522,103,83.52
pares,Lorenzetti,Lorenzetti,19,17,2,89.47
pares,Argibay,Argibay,12,6,6,50.0
pares,Maqueda,Maqueda,9,9,0,100.0
pares,Fayt,Fayt,8,7,1,87.5
pares,Zaffaroni,Zaffaroni,8,7,1,87.5
pares,Argibay,Otero (conjuez),6,4,2,66.67
pares,Belluscio,Boggiano,6,3,3,50.0
pares,Belluscio,Petracchi,5,4,1,80.0
pares,Boggiano,Petracchi,5,1,4,20.0
pares,Belluscio,Maqueda,5,1,4,20.0
pares,Belluscio,Highton de Nolasco,5,2,3,40.0
pares,Highton de Nolasco,Otero (conjuez),4,1,3,25.0
pares,Boggiano,Maqueda,4,2,2,50.0
pares,Boggiano,Highton de Nolasco,4,3,1,75.0
pares,Rosenkrantz,Rosenkrantz,4,3,1,75.0
pares,Belluscio,Fayt,3,2,1,66.67
pares,Boggiano,Fayt,3,3,0,100.0
pares,Cavallo (conjuez),Maqueda,3,2,1,66.67
pares,Lorenzetti,Otero (conjuez),3,2,1,66.67
pares,Argibay,Cavallo (conjuez),3,2,1,66.67
pares,Belluscio,Zaffaroni,3,1,2,33.33
pares,Boggiano,Zaffaroni,3,3,0,100.0
pares,Belluscio,Vázquez,3,3,0,100.0
pares,Boggiano,Vázquez,3,1,2,33.33
pares,Belluscio,Lorenzetti,3,3,0,100.0
pares,Petracchi,Petracchi,3,3,0,100.0
pares,García Mansilla,Lorenzetti,3,3,0,100.0
pares,García Mansilla,Highton de Nolasco,3,3,0,100.0
pares,Fayt,García Mansilla,3,3,0,100.0
pares,García Mansilla,Maqueda,3,3,0,100.0
pares,García Mansilla,García Mansilla,3,3,0,100.0
pares,Otero (conjuez),Petracchi,2,0,2,0.0
pares,Fayt,Otero (conjuez),2,0,2,0.0
pares,Maqueda,Otero (conjuez),2,0,2,0.0
pares,Otero (conjuez),Zaffaroni,2,1,1,50.0
pares,Belluscio,López,2,2,0,100.0
pares,Petracchi,Vázquez,2,2,0,100.0
pares,Boggiano,López,2,1,1,50.0
pares,López,Vázquez,2,2,0,100.0
pares,Highton de Nolasco,Highton de Nolasco,2,2,0,100.0
pares,Fayt,Rosenkrantz,2,2,0,100.0
pares,Petracchi,Rosenkrantz,2,2,0,100.0
pares,Rosenkrantz,Zaffaroni,2,2,0,100.0
pares,Petracchi,Rodríguez Basavilbaso (conjuez),1,0,1,0.0
pares,Highton de Nolasco,Rodríguez Basavilbaso (conjuez),1,1,0,100.0
pares,Fayt,Rodríguez Basavilbaso (conjuez),1,1,0,100.0
pares,Maqueda,Rodríguez Basavilbaso (conjuez),1,1,0,100.0
pares,Rodríguez Basavilbaso (conjuez),Zaffaroni,1,0,1,0.0
pares,Lorenzetti,Rodríguez Basavilbaso (conjuez),1,1,0,100.0
pares,Argibay,Rodríguez Basavilbaso (conjuez),1,0,1,0.0
pares,Cavallo (conjuez),Petracchi,1,1,0,100.0
pares,Cavallo (conjuez),Highton de Nolasco,1,0,1,0.0
pares,Cavallo (conjuez),Fayt,1,0,1,0.0
pares,Cavallo (conjuez),Zaffaroni,1,0,1,0.0
pares,Cavallo (conjuez),Lorenzetti,1,0,1,0.0
pares,Cavallo (conjuez),Otero (conjuez),1,0,1,0.0
pares,López,Petracchi,1,1,0,100.0
pares,Fayt,Vázquez,1,0,1,0.0
pares,Maqueda,Vázquez,1,0,1,0.0
pares,Vázquez,Zaffaroni,1,0,1,0.0
pares,Highton de Nolasco,Vázquez,1,0,1,0.0
pares,Argibay,Belluscio,1,0,1,0.0
pares,Boggiano,Lorenzetti,1,0,1,0.0
pares,Argibay,Boggiano,1,1,0,100.0
pares,Rosatti,Zaffaroni,1,1,0,100.0
pares,Belluscio,Rosenkrantz,1,1,0,100.0
pares,Belluscio,Rosatti,1,1,0,100.0
