subtabla,categoria,n_fallos,wc_mediana,pct_unanime,pct_disidencia,pct_concurrencia,anio,n
global,apelada,5198.0,1032,72.57,8.89,8.89,,
global,originaria,368.0,1400,72.55,6.25,3.53,,
por_anio_y_categoria,apelada,,,0.0,,,2004,2.0
por_anio_y_categoria,apelada,,,0.0,,,2005,1.0
por_anio_y_categoria,apelada,,,78.97,,,2006,932.0
por_anio_y_categoria,originaria,,,83.72,,,2006,86.0
por_anio_y_categoria,apelada,,,71.45,,,2007,662.0
por_anio_y_categoria,originaria,,,84.0,,,2007,50.0
por_anio_y_categoria,apelada,,,72.91,,,2008,299.0
por_anio_y_categoria,originaria,,,73.53,,,2008,34.0
por_anio_y_categoria,apelada,,,77.17,,,2009,276.0
por_anio_y_categoria,originaria,,,80.0,,,2009,20.0
por_anio_y_categoria,apelada,,,72.17,,,2010,212.0
por_anio_y_categoria,originaria,,,83.33,,,2010,6.0
por_anio_y_categoria,apelada,,,69.74,,,2011,152.0
por_anio_y_categoria,originaria,,,72.73,,,2011,11.0
por_anio_y_categoria,apelada,,,0.0,,,2013,1.0
por_anio_y_categoria,apelada,,,58.88,,,2014,107.0
por_anio_y_categoria,originaria,,,80.0,,,2014,5.0
por_anio_y_categoria,apelada,,,80.33,,,2015,122.0
por_anio_y_categoria,originaria,,,77.78,,,2015,9.0
por_anio_y_categoria,apelada,,,88.97,,,2016,281.0
por_anio_y_categoria,originaria,,,92.86,,,2016,14.0
por_anio_y_categoria,apelada,,,76.45,,,2017,242.0
por_anio_y_categoria,originaria,,,55.56,,,2017,9.0
por_anio_y_categoria,apelada,,,73.36,,,2018,214.0
por_anio_y_categoria,originaria,,,75.0,,,2018,4.0
por_anio_y_categoria,apelada,,,70.0,,,2019,180.0
por_anio_y_categoria,originaria,,,50.0,,,2019,8.0
por_anio_y_categoria,apelada,,,72.0,,,2020,200.0
por_anio_y_categoria,originaria,,,78.57,,,2020,14.0
por_anio_y_categoria,apelada,,,70.54,,,2021,258.0
por_anio_y_categoria,originaria,,,63.64,,,2021,22.0
por_anio_y_categoria,apelada,,,64.23,,,2022,137.0
por_anio_y_categoria,originaria,,,55.56,,,2022,9.0
por_anio_y_categoria,apelada,,,69.29,,,2023,127.0
por_anio_y_categoria,originaria,,,63.64,,,2023,22.0
por_anio_y_categoria,apelada,,,67.88,,,2024,193.0
por_anio_y_categoria,originaria,,,75.0,,,2024,4.0
por_anio_y_categoria,apelada,,,81.72,,,2025,186.0
por_anio_y_categoria,originaria,,,50.0,,,2025,6.0
por_anio_y_categoria,apelada,,,80.65,,,2026,31.0
por_anio_y_categoria,originaria,,,100.0,,,2026,2.0
