caso_id,tomo,date,date_dt,composicion,outcome,voting_pattern,n_titulares,is_merit_decision,dictamen_presente,wc_mayoria,wc_votos,log_wc_mayoria,is_fragmented,is_dissent,is_concurrence,jueces_conocidos,tribunal_origen,quarter
329_p5,329,7 de febrero de 2006,2006-02-07,banco_de_7,procedente,unanime,5,1,1,338,0,5.82600010738045,0,0,0,Petracchi | Highton de Nolasco | Maqueda | Zaffaroni | Lorenzetti,Cámara Federal de Apelaciones de Paraná,2006Q1
329_p9,329,7 de febrero de 2006,2006-02-07,banco_de_7,desestima,unanime,5,0,0,912,0,6.816735880594968,0,0,0,Petracchi | Highton de Nolasco | Maqueda | Zaffaroni | Argibay,Cámara Nacional de Apelaciones en lo Civil y Comercial,2006Q1
329_p12,329,7 de febrero de 2006,2006-02-07,banco_de_7,desestima,segun_su_voto,7,0,0,893,95,6.795705775173514,1,0,1,Petracchi | Highton de Nolasco | Fayt | Maqueda | Zaffaroni | Lorenzetti | Argibay,Corte de Justicia de San Juan,2006Q1
329_p15,329,7 de febrero de 2006,2006-02-07,banco_de_7,revoca,unanime,6,1,1,475,0,6.16541785423142,0,0,0,Petracchi | Highton de Nolasco | Maqueda | Zaffaroni | Argibay | Lorenzetti,Cámara Nacional de Apelaciones en lo Comercial Sala A,2006Q1
329_p19,329,7 de febrero de 2006,2006-02-07,banco_de_7,desestima,unanime,5,0,0,270,0,5.602118820879701,0,0,0,Petracchi | Highton de Nolasco | Maqueda | Zaffaroni | Lorenzetti,Sala I de la Suprema Corte de Justicia de la Provincia de,2006Q1
329_p20,329,7 de febrero de 2006,2006-02-07,banco_de_7,procedente,segun_su_voto,7,1,1,990,191,6.898714534329988,1,0,1,Petracchi | Highton de Nolasco | Fayt | Maqueda | Zaffaroni | Lorenzetti | Argibay,Sala I de la Cámara Nacional de Apelaciones en lo Civil,2006Q1
329_p28,329,7 de febrero de 2006,2006-02-07,banco_de_7,otro,mixed,7,0,1,1077,1609,6.982862751468942,1,1,0,Petracchi | Highton de Nolasco | Fayt | Maqueda | Zaffaroni | Lorenzetti | Argibay,SIN_TRIBUNAL_ORIGEN,2006Q1
329_p59,329,7 de febrero de 2006,2006-02-07,banco_de_7,otro,unanime,6,0,1,4898,0,8.496786381638575,0,0,0,Petracchi | Highton de Nolasco | Fayt | Maqueda | Zaffaroni | Argibay,SIN_TRIBUNAL_ORIGEN,2006Q1
329_p80,329,7 de febrero de 2006,2006-02-07,banco_de_7,competencia,unanime,5,0,1,307,0,5.730099782973574,0,0,0,Petracchi | Highton de Nolasco | Fayt | Maqueda | Zaffaroni,SIN_TRIBUNAL_ORIGEN,2006Q1
329_p83,329,7 de febrero de 2006,2006-02-07,banco_de_7,competencia,unanime,6,0,1,194,0,5.272999558563747,0,0,0,Petracchi | Highton de Nolasco | Fayt | Maqueda | Zaffaroni | Lorenzetti,SIN_TRIBUNAL_ORIGEN,2006Q1
