caso_id_canonico,cod_materia
329_p1033,contencioso_administrativo
329_p1045,tributario
329_p1336,penal
329_p1447,penal
329_p1473,contencioso_administrativo
329_p1487,contencioso_administrativo
329_p1541,penal
329_p1626,AMBIGUO
329_p167,civil_comercial
329_p1693,salud
329_p171,penal
329_p1762,AMBIGUO
329_p1767,AMBIGUO
329_p184,contencioso_administrativo
329_p1862,contencioso_administrativo
329_p187,electoral
329_p1908,penal
329_p1917,penal
329_p1936,civil_comercial
329_p1963,penal
329_p2111,contencioso_administrativo
329_p2265,penal
329_p2356,electoral
329_p2358,ambiental
329_p239,previsional
329_p2496,ambiental
329_p2569,penal
329_p2588,laboral
329_p2645,AMBIGUO
329_p2856,previsional
329_p2911,AMBIGUO
329_p3129,penal
329_p3203,previsional
329_p3213,previsional
329_p3388,contencioso_administrativo
329_p3445,ambiental
329_p3528,ambiental
329_p3757,civil_comercial
329_p381,previsional
329_p3834,AMBIGUO
329_p3846,civil_comercial
329_p3931,tributario
329_p3956,contencioso_administrativo
329_p4007,tributario
329_p4094,AMBIGUO
329_p4150,AMBIGUO
329_p4161,tributario
329_p4178,tributario
329_p4337,penal
329_p4342,penal
329_p4352,civil_comercial
329_p4355,civil_comercial
329_p4356,civil_comercial
329_p4403,civil_comercial
329_p4447,penal
329_p4481,penal
329_p4503,previsional
329_p4524,contencioso_administrativo
329_p4535,contencioso_administrativo
329_p4717,penal
329_p472,AMBIGUO
329_p473,laboral
329_p4741,salud
329_p4762,contencioso_administrativo
329_p4822,contencioso_administrativo
329_p4843,AMBIGUO
329_p4845,contencioso_administrativo
329_p4902,civil_comercial
329_p4944,AMBIGUO
329_p4990,AMBIGUO
329_p5007,previsional
329_p5064,civil_comercial
329_p5115,penal
329_p5198,civil_comercial
329_p5227,contencioso_administrativo
329_p5234,civil_comercial
329_p53,contencioso_administrativo
329_p5310,penal
329_p5336,contencioso_administrativo
329_p5361,civil_comercial
329_p5368,contencioso_administrativo
329_p5670,contencioso_administrativo
329_p5728,penal
329_p5789,AMBIGUO
329_p5848,penal
329_p5871,penal
329_p5994,penal
329_p6050,penal
329_p6068,previsional
329_p963,tributario
330_p1043,penal
330_p1179,penal
330_p1303,civil_comercial
330_p1465,penal
330_p182,contencioso_administrativo
330_p1907,civil_comercial
330_p2014,contencioso_administrativo
330_p2081,AMBIGUO
330_p2345,civil_comercial
330_p238,civil_comercial
330_p24,contencioso_administrativo
330_p2445,AMBIGUO
330_p246,civil_comercial
330_p2470,contencioso_administrativo
330_p2478,tributario
330_p2520,contencioso_administrativo
330_p2746,AMBIGUO
330_p2849,contencioso_administrativo
330_p2900,AMBIGUO
330_p2915,civil_comercial
330_p304,contencioso_administrativo
330_p3098,AMBIGUO
330_p3160,constitucional
330_p3519,AMBIGUO
330_p3565,contencioso_administrativo
330_p3609,contencioso_administrativo
330_p3764,AMBIGUO
330_p3777,AMBIGUO
330_p4211,AMBIGUO
330_p4252,AMBIGUO
330_p4526,AMBIGUO
330_p4564,contencioso_administrativo
330_p4587,electoral
330_p4592,contencioso_administrativo
330_p4632,AMBIGUO
330_p4690,previsional
330_p4797,electoral
330_p50,contencioso_administrativo
330_p5010,salud
330_p5064,contencioso_administrativo
330_p5131,AMBIGUO
330_p5197,previsional
330_p5435,laboral
330_p610,contencioso_administrativo
