voto_id,caso_id_canonico,juez,marco,origen_b,doble_cod,parser_posicion,parser_tipo_voto_sep,parser_fragmenta_ratio,parser_punto_divergencia
329_p1019::0,329_p1019,Petracchi,B,posicion=mayoria|tipo_voto_sep=VACIO|fragmenta_ratio=VACIO|punto_divergencia=VACIO,0,mayoria,,,
329_p1019::1,329_p1019,Highton de Nolasco,B,,0,mayoria,,,
329_p1019::2,329_p1019,Fayt,B,,0,mayoria,,,
329_p1019::3,329_p1019,Maqueda,B,,0,mayoria,,,
329_p1019::4,329_p1019,Zaffaroni,B,,0,mayoria,,,
329_p1019::5,329_p1019,Lorenzetti,B,,0,mayoria,,,
329_p1019::6,329_p1019,Argibay,B,,0,mayoria,,,
329_p1053::0,329_p1053,Petracchi,B,,0,mayoria,,,
329_p1053::1,329_p1053,Highton de Nolasco,B,,0,mayoria,,,
329_p1053::2,329_p1053,Fayt,B,tipo_voto_sep=E|fragmenta_ratio=parcial|punto_divergencia=dispositivo,0,según su voto,E,parcial,dispositivo
329_p1053::3,329_p1053,Maqueda,B,,0,mayoria,,,
329_p1053::4,329_p1053,Zaffaroni,B,,0,mayoria,,,
329_p1053::5,329_p1053,Lorenzetti,B,,0,mayoria,,,
329_p1053::6,329_p1053,Argibay,B,tipo_voto_sep=E|fragmenta_ratio=parcial|punto_divergencia=dispositivo,0,según su voto,E,parcial,dispositivo
329_p1066::0,329_p1066,Petracchi,B,,0,mayoria,D,True,dispositivo
329_p1066::1,329_p1066,Highton de Nolasco,B,,0,en disidencia,B,False,
329_p1066::2,329_p1066,Fayt,B,posicion=por su voto|tipo_voto_sep=indeterminado|fragmenta_ratio=False|punto_divergencia=VACIO,0,por su voto,indeterminado,False,
329_p1066::3,329_p1066,Maqueda,B,posicion=por su voto|tipo_voto_sep=indeterminado|fragmenta_ratio=False|punto_divergencia=VACIO,0,por su voto,indeterminado,False,
329_p1066::4,329_p1066,Zaffaroni,B,,0,mayoria,,,
329_p1066::5,329_p1066,Lorenzetti,B,,0,mayoria,,,
329_p1066::6,329_p1066,Argibay,B,,0,en disidencia,,,
329_p120::0,329_p120,Petracchi,A,,0,mayoria,,,
329_p120::1,329_p120,Highton de Nolasco,A,,0,mayoria,,,
329_p120::2,329_p120,Fayt,A,,0,mayoria,,,
329_p120::3,329_p120,Maqueda,A,,0,mayoria,,,
329_p120::4,329_p120,Lorenzetti,A,,0,mayoria,,,
329_p1226::0,329_p1226,Petracchi,B,,0,mayoria,,,
329_p1226::1,329_p1226,Highton de Nolasco,B,,0,mayoria,,,
329_p1226::2,329_p1226,Fayt,B,,0,mayoria,,,
329_p1226::3,329_p1226,Maqueda,B,tipo_voto_sep=C|fragmenta_ratio=parcial|punto_divergencia=considerando 2,0,según su voto,C,parcial,considerando 2
329_p1226::4,329_p1226,Zaffaroni,B,,0,según su voto,indeterminado,False,
329_p1226::5,329_p1226,Lorenzetti,B,,0,según su voto,,,
329_p1226::6,329_p1226,Argibay,B,,0,según su voto,,,
329_p1336::0,329_p1336,Petracchi,A,,0,mayoria,,,
329_p1336::1,329_p1336,Highton de Nolasco,A,,0,mayoria,,,
329_p1336::2,329_p1336,Fayt,A,,0,mayoria,,,
329_p1336::3,329_p1336,Maqueda,A,,0,mayoria,,,
329_p1336::4,329_p1336,Lorenzetti,A,,0,mayoria,,,
329_p1336::5,329_p1336,Argibay,A,,0,mayoria,,,
329_p1447::0,329_p1447,Petracchi,A,,0,según su voto,D,True,dispositivo
329_p1447::1,329_p1447,Highton de Nolasco,A,,0,en disidencia,indeterminado,False,
329_p1447::2,329_p1447,Fayt,A,,0,mayoria,,,
329_p1447::3,329_p1447,Maqueda,A,,0,mayoria,,,
329_p1447::4,329_p1447,Zaffaroni,A,,0,mayoria,,,
329_p1447::5,329_p1447,Lorenzetti,A,,0,mayoria,,,
329_p1447::6,329_p1447,Argibay,A,,0,en disidencia,D,True,dispositivo
329_p1447::7,329_p1447,Pereyra González (conjuez),A,,0,en disidencia,,,
329_p1447::8,329_p1447,Najurieta (conjuez),A,,0,en disidencia,,,
329_p1473::0,329_p1473,Petracchi,A,,0,mayoria,,,
329_p1473::1,329_p1473,Highton de Nolasco,A,,0,mayoria,,,
329_p1473::2,329_p1473,Maqueda,A,,0,mayoria,,,
329_p1473::3,329_p1473,Lorenzetti,A,,0,mayoria,,,
329_p1473::4,329_p1473,Argibay,A,,0,mayoria,,,
329_p1487::0,329_p1487,Highton de Nolasco,A,,0,mayoria,,,
329_p1487::1,329_p1487,Maqueda,A,,0,mayoria,,,
329_p1487::2,329_p1487,Zaffaroni,A,,0,mayoria,,,
329_p1487::3,329_p1487,Lorenzetti,A,,0,mayoria,,,
329_p1487::4,329_p1487,Argibay,A,posicion=mayoria|tipo_voto_sep=VACIO|fragmenta_ratio=VACIO|punto_divergencia=VACIO,0,mayoria,,,
329_p149::0,329_p149,Petracchi,B,,0,mayoria,,,
329_p149::1,329_p149,Highton de Nolasco,B,,0,según su voto,E,parcial,dispositivo
329_p149::2,329_p149,Fayt,B,,0,según su voto,indeterminado,False,
329_p149::3,329_p149,Maqueda,B,,0,mayoria,,,
329_p149::4,329_p149,Zaffaroni,B,,0,según su voto,indeterminado,False,
