voto_id,caso_id_canonico,tomo,date,juez,source_file,linea_inicio,linea_fin_real,primera_del_caso,doble_cod,cod_juez_ok,cod_posicion,cod_tipo_voto_sep,cod_fragmenta_ratio,cod_punto_divergencia,cod_completitud_caso,notas
329_p1019::0,329_p1019,329,4 de abril de 2006,Petracchi,LibroVol329.1.md,38461,38568,1,0,,,,,,,
329_p1019::1,329_p1019,329,4 de abril de 2006,Highton de Nolasco,LibroVol329.1.md,38461,38568,0,0,,,,,,,
329_p1019::2,329_p1019,329,4 de abril de 2006,Fayt,LibroVol329.1.md,38461,38568,0,0,,,,,,,
329_p1019::3,329_p1019,329,4 de abril de 2006,Maqueda,LibroVol329.1.md,38461,38568,0,0,,,,,,,
329_p1019::4,329_p1019,329,4 de abril de 2006,Zaffaroni,LibroVol329.1.md,38461,38568,0,0,,,,,,,
329_p1019::5,329_p1019,329,4 de abril de 2006,Lorenzetti,LibroVol329.1.md,38461,38568,0,0,,,,,,,
329_p1019::6,329_p1019,329,4 de abril de 2006,Argibay,LibroVol329.1.md,38461,38568,0,0,,,,,,,
329_p1053::0,329_p1053,329,11 de abril de 2006,Petracchi,LibroVol329.1.md,39676,40191,1,0,,,,,,,
329_p1053::1,329_p1053,329,11 de abril de 2006,Highton de Nolasco,LibroVol329.1.md,39676,40191,0,0,,,,,,,
329_p1053::2,329_p1053,329,11 de abril de 2006,Fayt,LibroVol329.1.md,39676,40191,0,0,,,,,,,
329_p1053::3,329_p1053,329,11 de abril de 2006,Maqueda,LibroVol329.1.md,39676,40191,0,0,,,,,,,
329_p1053::4,329_p1053,329,11 de abril de 2006,Zaffaroni,LibroVol329.1.md,39676,40191,0,0,,,,,,,
329_p1053::5,329_p1053,329,11 de abril de 2006,Lorenzetti,LibroVol329.1.md,39676,40191,0,0,,,,,,,
329_p1053::6,329_p1053,329,11 de abril de 2006,Argibay,LibroVol329.1.md,39676,40191,0,0,,,,,,,
329_p1066::0,329_p1066,329,11 de abril de 2006,Petracchi,LibroVol329.1.md,40192,41189,1,0,,,,,,,
329_p1066::1,329_p1066,329,11 de abril de 2006,Highton de Nolasco,LibroVol329.1.md,40192,41189,0,0,,,,,,,
329_p1066::2,329_p1066,329,11 de abril de 2006,Fayt,LibroVol329.1.md,40192,41189,0,0,,,,,,,
329_p1066::3,329_p1066,329,11 de abril de 2006,Maqueda,LibroVol329.1.md,40192,41189,0,0,,,,,,,
329_p1066::4,329_p1066,329,11 de abril de 2006,Zaffaroni,LibroVol329.1.md,40192,41189,0,0,,,,,,,
