caso_id_canonico,marco,origen_b,doble_cod,materia_capa,materia_fuente,parser_materia
329_p1033,B,materia=cambiario,0,capa2,parte(1),cambiario
329_p1045,B,materia=constitucional,0,capa2,objeto(1),constitucional
329_p1336,A,,0,pendiente_capa2,sin_ancla,
329_p1447,A,,0,capa2,objeto(1),penal
329_p1473,A,,0,capa1,regla:contencioso administrativo,contencioso_administrativo
329_p1487,A,,0,pendiente_capa2,sin_ancla,
329_p1541,A,,0,capa1,regla:casacion penal,penal
329_p1626,A,,0,pendiente_capa2,sin_ancla,
329_p167,A,,0,capa2,kw+objeto(2),civil_comercial
329_p1693,A,,0,pendiente_capa2,sin_ancla,
329_p171,A,,0,capa2,kw(1),penal
329_p1762,B,materia=cambiario,0,capa2,parte(1),cambiario
329_p1767,B,materia=cambiario,0,capa2,parte(1),cambiario
329_p184,B,materia=constitucional,0,capa2,objeto(1),constitucional
329_p1862,A,,1,capa2,kw(1),penal
329_p187,B,materia=electoral,0,capa1,regla:electoral,electoral
329_p1908,A,,0,pendiente_capa2,sin_ancla,
329_p1917,A,,0,pendiente_capa2,sin_ancla,
329_p1936,A,,0,capa1,regla:\ben lo comercial\b,civil_comercial
329_p1963,A,,1,pendiente_capa2,sin_ancla,
329_p2111,A,,0,originaria,originaria,
329_p2265,A,,0,capa1,regla:casacion penal,penal
329_p2356,B,materia=electoral,0,capa1,regla:electoral,electoral
329_p2358,B,materia=ambiental,0,capa2,norma:24051(1),ambiental
329_p239,A,,0,capa1,regla:seguridad social,previsional
329_p2496,B,materia=ambiental,0,capa2,norma:24051(1),ambiental
329_p2569,A,,0,capa1,regla:casacion penal,penal
329_p2588,A,,0,capa1,regla:\bdel trabajo\b,laboral
329_p2645,A,,0,pendiente_capa2,sin_ancla,
329_p2856,A,,0,capa1,regla:seguridad social,previsional
329_p2911,A,,0,originaria,originaria,
329_p3129,A,,0,capa2,objeto(1),penal
329_p3203,A,,0,capa1,regla:seguridad social,previsional
329_p3213,A,,0,capa1,regla:seguridad social,previsional
329_p3388,A,,1,capa1,regla:contencioso administrativo,contencioso_administrativo
329_p3445,B,materia=ambiental,0,capa2,kw+norma:25675(2),ambiental
329_p3528,B,materia=ambiental,0,capa2,kw+norma:25675(2),ambiental
329_p3757,A,,0,capa1,regla:\ben lo comercial\b,civil_comercial
329_p381,A,,0,capa1,regla:seguridad social,previsional
329_p3834,A,,0,originaria,originaria,
329_p3846,A,,0,capa2,objeto(1),civil_comercial
329_p3931,A,,0,capa2,kw+norma:24522(2),civil_comercial
