subtabla,anio,n_fallos,n_con_dictamen,pct_con_dictamen
por_anio,2004,2,0,0.0
por_anio,2005,1,0,0.0
por_anio,2006,1018,673,66.11
por_anio,2007,712,496,69.66
por_anio,2008,333,235,70.57
por_anio,2009,296,215,72.64
por_anio,2010,218,174,79.82
por_anio,2011,163,126,77.3
por_anio,2013,1,0,0.0
por_anio,2014,112,89,79.46
por_anio,2015,131,98,74.81
por_anio,2016,295,156,52.88
por_anio,2017,251,159,63.35
por_anio,2018,218,107,49.08
por_anio,2019,188,89,47.34
por_anio,2020,214,114,53.27
por_anio,2021,280,160,57.14
por_anio,2022,146,58,39.73
por_anio,2023,149,54,36.24
por_anio,2024,197,75,38.07
por_anio,2025,192,67,34.9
por_anio,2026,33,11,33.33
