caso_id,tomo,outcome_actual,vp_antes,vp_despues,n_jueces,jueces,firma_raw_corta,firma_idx_rel,linea_abs,motivo,span
329_p991,329,sin_dispositivo,sin_firma,unanime,5,"Highton de Nolasco, Maqueda, Zaffaroni, Lorenzetti, Argibay",ELENA I. HIGHTON DE NOLASCO — JUAN CARLOS MAQUEDA — E. RAÚL ZAFFARONI — RICARDO LUIS LORENZETTI — CARMEN M. ARGIBAY.,30,37464,ok,40
329_p3444,329,sin_dispositivo,sin_firma,unanime,2,"Petracchi, Highton de Nolasco",ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN,45,18922,ok,46
329_p4590,329,sin_dispositivo,sin_firma,unanime,2,"Petracchi, Highton de Nolasco",ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN,86,62582,ok,87
330_p22,330,sin_dispositivo,sin_firma,unanime,7,"Lorenzetti, Highton de Nolasco, Fayt, Petracchi, Maqueda, Zaffaroni, Argibay",RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE SANTIAGO PETRACCHI — JUAN CARLOS MAQUED,42,762,ok,48
330_p1172,330,sin_dispositivo,sin_firma,unanime,2,"Highton de Nolasco, Petracchi",ELENA I. HIGHTON DE NOLASCO — ENRIQUE SANTIAGO PETRACCHI — JUAN,85,44935,ok,86
330_p1971,330,sin_dispositivo,sin_firma,unanime,6,"Lorenzetti, Highton de Nolasco, Fayt, Petracchi, Maqueda, Argibay",RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE SANTIAGO PETRACCHI — JUAN CARLOS MAQUED,168,24824,ok,173
330_p2794,330,sin_dispositivo,sin_firma,unanime,4,"Nazareno, Belluscio, Petracchi, Vázquez",JULIO S. NAZARENO — EDUARDO MOLINÉ O’CONNOR — AUGUSTO CÉSAR BELLUSCIO — ENRIQUE SANTIAGO PETRACCHI — GUSTAVO A. BOSSERT ,16,56340,ok,21
330_p4590,330,sin_dispositivo,sin_firma,unanime,4,"Lorenzetti, Fayt, Petracchi, Maqueda",RICARDO LUIS LORENZETTI — CARLOS S. FAYT — ENRIQUE SANTIAGO PETRACCHI — JUAN CARLOS MAQUEDA.,79,10456,ok,83
331_p548,331,sin_dispositivo,sin_firma,unanime,5,"Lorenzetti, Highton de Nolasco, Fayt, Petracchi, Maqueda",Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Enrique Santiago Petracchi — Juan Carlos Maqued,26,20499,ok,28
331_p1013,331,sin_dispositivo,sin_firma,unanime,5,"Lorenzetti, Highton de Nolasco, Fayt, Petracchi, Maqueda",Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Enrique Santiago Petracchi — Juan Carlos Maqued,205,512,ok,207
331_p2363,331,sin_dispositivo,sin_firma,unanime,7,"Lorenzetti, Highton de Nolasco, Fayt, Petracchi, Maqueda, Zaffaroni, Argibay",Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Enrique Santiago Petracchi — Juan Carlos Maqued,88,14630,ok,97
332_p2418,332,sin_dispositivo,sin_firma,unanime,1,Argibay,Carmen M. Argibay.,255,15550,ok,266
333_p1140,333,sin_dispositivo,sin_firma,unanime,4,"Highton de Nolasco, Petracchi, Maqueda, Argibay",Elena I. Highton de Nolasco — Enrique Santiago Petracchi — Juan Carlos Maqueda — Carmen M. Argibay.,85,14548,ok,93
