caso_id_canonico,tomo,voting_pattern,bl_voting_pattern,n_votos_baseline,bl_n_votos,n_disid_baseline,bl_n_disid,n_votos_total_a,n_disid_total_a,n_nuevos_ampliado,firma_end,firma_lines_count,por_ello_idx,inicio_votos_indiv
329_p5,329,unanime,unanime,0,0,0,0,0,0,0,131,2,125,
329_p9,329,unanime,unanime,0,0,0,0,0,0,0,88,2,86,
329_p12,329,segun_su_voto,segun_su_voto,1,1,0,0,1,0,0,95,5,91,96
329_p15,329,unanime,unanime,0,0,0,0,0,0,0,136,2,130,
329_p19,329,unanime,unanime,0,0,0,0,0,0,0,22,2,19,
329_p20,329,segun_su_voto,segun_su_voto,1,1,0,0,1,0,0,286,5,278,288
329_p28,329,mixed,mixed,1,1,1,1,1,1,0,286,11,278,285
329_p40,329,unanime,unanime,0,0,0,0,0,0,0,255,3,250,
329_p47,329,unanime,unanime,0,0,0,0,0,0,0,78,3,73,
329_p49,329,unanime,unanime,0,0,0,0,0,0,0,112,2,108,
329_p53,329,sin_firma,sin_firma,0,0,0,0,0,0,0,,0,7,
329_p59,329,unanime,unanime,0,0,0,0,0,0,0,745,2,736,
329_p78,329,unanime,unanime,0,0,0,0,0,0,0,73,2,64,
329_p80,329,unanime,unanime,0,0,0,0,0,0,0,98,2,90,
329_p83,329,unanime,unanime,0,0,0,0,0,0,0,83,2,75,
329_p85,329,unanime,unanime,0,0,0,0,0,0,0,89,2,81,
329_p88,329,disidencia,disidencia,0,0,1,1,0,1,0,185,4,175,184
329_p94,329,mixed,mixed,3,3,2,2,3,2,0,403,25,393,402
329_p117,329,segun_su_voto,segun_su_voto,2,2,0,0,2,0,0,71,9,64,70
329_p120,329,sin_firma,sin_firma,0,0,0,0,0,0,0,,0,,
329_p123,329,segun_su_voto,segun_su_voto,1,1,0,0,1,0,0,436,6,431,437
329_p134,329,unanime,unanime,0,0,0,0,0,0,0,41,2,38,
329_p135,329,disidencia,disidencia,0,0,1,1,0,1,0,184,7,176,183
329_p142,329,unanime,unanime,0,0,0,0,0,0,0,180,2,169,
329_p147,329,segun_su_voto,segun_su_voto,1,1,0,0,1,0,0,39,6,32,37
329_p149,329,segun_su_voto,segun_su_voto,5,5,0,0,5,0,0,126,15,116,125
329_p158,329,unanime,unanime,0,0,0,0,0,0,0,150,2,146,
329_p163,329,unanime,unanime,0,0,0,0,0,0,0,89,2,83,
329_p165,329,unanime,unanime,0,0,0,0,0,0,0,71,2,64,
329_p167,329,unanime,unanime,0,0,0,0,0,0,0,116,2,108,
329_p171,329,unanime,unanime,0,0,0,0,0,0,0,144,3,135,
329_p175,329,unanime,unanime,0,0,0,0,0,0,0,90,2,83,
329_p177,329,unanime,unanime,0,0,0,0,0,0,0,171,2,159,
329_p182,329,segun_su_voto,segun_su_voto,1,1,0,0,1,0,0,35,6,30,34
329_p184,329,unanime,unanime,0,0,0,0,0,0,0,109,2,103,
329_p187,329,unanime,unanime,0,0,0,0,0,0,0,549,2,546,
329_p201,329,sin_firma,sin_firma,0,0,0,0,0,0,0,,0,,
329_p206,329,unanime,unanime,0,0,0,0,0,0,0,203,2,200,
329_p212,329,unanime,unanime,0,0,0,0,0,0,0,125,2,118,
329_p215,329,unanime,unanime,0,0,0,0,0,0,0,95,2,91,
329_p218,329,unanime,unanime,0,0,0,0,0,0,0,125,2,118,
329_p222,329,unanime,unanime,0,0,0,0,0,0,0,73,2,61,
329_p224,329,unanime,unanime,0,0,0,0,0,0,0,168,2,164,
329_p229,329,unanime,unanime,0,0,0,0,0,0,0,90,2,83,
329_p231,329,unanime,unanime,0,0,0,0,0,0,0,83,2,71,
329_p234,329,unanime,unanime,0,0,0,0,0,0,0,95,2,88,
329_p237,329,sin_firma,sin_firma,0,0,0,0,0,0,0,,0,,
329_p239,329,unanime,unanime,0,0,0,0,0,0,0,69,2,65,
329_p241,329,unanime,unanime,0,0,0,0,0,0,0,83,2,77,
329_p243,329,unanime,unanime,0,0,0,0,0,0,0,10,2,4,
329_p244,329,mixed,mixed,1,1,0,0,1,0,0,1880,11,1875,1881
329_p292,329,segun_su_voto,segun_su_voto,1,1,0,0,1,0,0,161,4,157,162
329_p297,329,disidencia,disidencia,0,0,1,1,0,1,0,78,6,72,77
329_p300,329,unanime,unanime,0,0,0,0,0,0,0,128,3,122,
329_p304,329,unanime,unanime,0,0,0,0,0,0,0,208,2,203,
329_p309,329,segun_su_voto,segun_su_voto,1,1,0,0,1,0,0,41,7,37,46
329_p314,329,disidencia,disidencia,0,0,1,1,0,1,0,95,5,86,94
329_p317,329,sin_firma,sin_firma,0,0,0,0,0,0,0,,2,,
329_p318,329,mixed,mixed,3,3,1,1,3,1,0,132,8,121,131
329_p324,329,sin_firma,sin_firma,0,0,0,0,0,0,0,,0,,
329_p326,329,segun_su_voto,segun_su_voto,1,1,0,0,1,0,0,87,6,83,88
329_p329,329,unanime,unanime,0,0,0,0,0,0,0,18,3,14,
329_p330,329,disidencia,disidencia,0,0,1,1,0,1,0,55,7,51,56
329_p335,329,mixed,mixed,1,1,1,1,1,1,0,188,11,181,194
329_p342,329,disidencia,disidencia,0,0,1,1,0,1,0,140,9,134,142
329_p349,329,segun_su_voto,segun_su_voto,1,1,0,0,1,0,0,121,2,117,123
329_p353,329,segun_su_voto,segun_su_voto,1,1,0,0,1,0,0,159,5,154,160
329_p358,329,unanime,unanime,0,0,0,0,0,0,0,460,4,451,
329_p370,329,unanime,unanime,0,0,0,0,0,0,0,110,2,103,
329_p373,329,unanime,unanime,0,0,0,0,0,0,0,317,3,308,
