caso_id,tipo,vp_base,vp_new,lfr_base,lfr_new,n_jueces_new,firma_new
329_p1012,lfr_cambio,disidencia,disidencia,38460,38437,7,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO (en disidencia) — CARLO
329_p1019,lfr_cambio,unanime,unanime,38568,38569,7,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
329_p1033,lfr_cambio,unanime,unanime,39030,39031,6,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN CARLOS MAQUEDA —
329_p1045,lfr_cambio,disidencia,disidencia,39541,39542,7,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
329_p1053,lfr_cambio,segun_su_voto,segun_su_voto,40191,40162,7,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT (según
329_p1066,lfr_cambio,mixed,mixed,41189,41190,7,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO (en disidencia) — CARLO
329_p1180,lfr_cambio,segun_su_voto,segun_su_voto,45247,45248,7,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT (según
329_p1191,lfr_cambio,segun_su_voto,segun_su_voto,45940,45941,6,ENRIQUE SANTIAGO PETRACCHI — CARLOS S. FAYT (según su voto) — JUAN CARLOS MAQUED
329_p1209,lfr_cambio,disidencia,disidencia,46342,46343,7,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
329_p1219,lfr_cambio,disidencia,disidencia,46516,46518,7,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
329_p1224,lfr_cambio,unanime,unanime,46607,46609,6,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN CARLOS MAQUEDA —
329_p123,lfr_cambio,segun_su_voto,segun_su_voto,4943,4944,7,ENRIQUE SANTIAGO PETRACCHI (según su voto) — ELENA I. HIGHTON DE NOLASCO — CARLO
329_p1236,lfr_cambio,segun_su_voto,segun_su_voto,47161,47162,7,ENRIQUE SANTIAGO PETRACCHI (según su voto) — ELENA I. HIGHTON DE NOLASCO — CARLO
329_p1243,lfr_cambio,unanime,unanime,47316,47317,6,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
329_p1303,lfr_cambio,unanime,unanime,49683,49680,1,"de la Cámara Federal de Apelaciones de La Plata, doctor Antonio Pacilio (fs. 98/"
329_p1305,REGRESION,unanime,sin_firma,49720,49684,0,
329_p1309,lfr_cambio,unanime,unanime,49875,49849,6,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN CARLOS MAQUEDA —
329_p1310,lfr_cambio,unanime,unanime,49886,49849,6,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN CARLOS MAQUEDA —
329_p1317,lfr_cambio,unanime,unanime,50401,50402,7,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
329_p1328,lfr_cambio,unanime,unanime,50602,50603,5,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
329_p1332,lfr_cambio,unanime,unanime,50824,50825,6,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
329_p1336,lfr_cambio,unanime,unanime,50897,50898,6,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
329_p1338,lfr_cambio,unanime,unanime,50982,50983,6,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
329_p134,REGRESION,unanime,sin_firma,4990,4949,0,
329_p1348,lfr_cambio,unanime,unanime,51316,51317,5,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
329_p135,lfr_cambio,disidencia,disidencia,5236,5237,7,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
329_p1375,lfr_cambio,unanime,unanime,116,117,5,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN CARLOS MAQUEDA —
329_p1383,lfr_cambio,unanime,unanime,422,421,5,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
329_p1389,lfr_cambio,unanime,unanime,634,635,5,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
329_p142,lfr_cambio,unanime,unanime,5421,5422,6,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
329_p1436,lfr_cambio,disidencia,disidencia,2531,2532,7,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
329_p1447,lfr_cambio,mixed,mixed,3858,3859,9,ENRIQUE SANTIAGO PETRACCHI (según su voto) — ELENA I. HIGHTON DE NOLASCO (en dis
329_p1488,lfr_cambio,segun_su_voto,segun_su_voto,4468,4452,4,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO (según su voto) — JUAN 
