caso_id,tipo,vp_base,vp_new,lfr_base,lfr_new,n_jueces_new
329_p1309,lfr_cambio,unanime,unanime,49875,49849,6
329_p1311,MEJORA,sin_firma,unanime,50096,50104,6
329_p1541,lfr_cambio,mixed,mixed,6897,6894,7
329_p1554,MEJORA,sin_firma,unanime,7440,7454,5
329_p1568,MEJORA,sin_firma,unanime,8147,8163,5
329_p1661,lfr_cambio,disidencia,disidencia,11361,11332,7
329_p1672,lfr_cambio,sin_firma,sin_firma,11439,11417,0
329_p1684,lfr_cambio,unanime,unanime,12116,12089,6
329_p1696,lfr_cambio,unanime,unanime,12449,12422,5
329_p1762,lfr_cambio,disidencia,disidencia,15053,15057,6
329_p1843,lfr_cambio,unanime,unanime,18125,18098,5
329_p1853,lfr_cambio,unanime,unanime,18475,18461,7
329_p1859,MEJORA,sin_firma,unanime,18653,18667,5
329_p1862,lfr_cambio,segun_su_voto,segun_su_voto,19177,19184,7
329_p1908,lfr_cambio,unanime,unanime,20569,20542,5
329_p1917,lfr_cambio,unanime,unanime,20966,20936,6
329_p1928,lfr_cambio,sin_firma,sin_firma,21259,21237,0
329_p2088,lfr_cambio,mixed,mixed,27911,27927,7
329_p2105,lfr_cambio,unanime,unanime,28154,28130,5
329_p2115,lfr_cambio,disidencia,disidencia,28497,28500,7
329_p2121,MEJORA,sin_firma,unanime,28640,28665,5
329_p2139,lfr_cambio,unanime,unanime,29250,29232,6
329_p2174,MEJORA,sin_firma,disidencia,30535,30556,6
329_p2194,lfr_cambio,disidencia,disidencia,31182,31205,6
329_p2217,lfr_cambio,segun_su_voto,segun_su_voto,31991,31985,6
329_p2223,lfr_cambio,unanime,unanime,32167,32172,5
329_p2355,lfr_cambio,unanime,unanime,37159,37140,5
329_p2485,MEJORA,sin_firma,unanime,42413,42433,5
329_p2631,lfr_cambio,mixed,mixed,48145,48154,7
329_p2731,lfr_cambio,segun_su_voto,segun_su_voto,51508,51455,5
329_p2737,lfr_cambio,unanime,unanime,51956,51924,6
329_p2745,lfr_cambio,unanime,unanime,52269,52254,5
329_p2757,MEJORA,sin_firma,unanime,52447,52460,5
329_p2764,lfr_cambio,disidencia,disidencia,53234,53241,7
329_p2829,MEJORA,sin_firma,unanime,54994,55006,5
329_p2856,lfr_cambio,unanime,unanime,56136,56098,5
329_p2860,lfr_cambio,segun_su_voto,segun_su_voto,56295,56268,7
329_p2922,lfr_cambio,unanime,unanime,58560,58534,5
329_p2941,lfr_cambio,unanime,unanime,59269,59252,5
329_p3021,lfr_cambio,segun_su_voto,segun_su_voto,2413,2416,6
329_p3034,lfr_cambio,segun_su_voto,segun_su_voto,3175,3180,6
329_p3089,lfr_cambio,unanime,unanime,5229,5234,7
329_p3162,lfr_cambio,unanime,unanime,7660,7625,5
329_p3168,lfr_cambio,unanime,unanime,8062,8052,7
329_p317,REGRESION,unanime,sin_firma,11942,11886,0
329_p3211,lfr_cambio,unanime,unanime,9423,9427,6
329_p326,cambio_vp,segun_su_voto,unanime,12303,12236,4
329_p335,lfr_cambio,mixed,mixed,12813,12788,7
329_p3470,lfr_cambio,unanime,unanime,20160,20154,6
329_p349,lfr_cambio,segun_su_voto,segun_su_voto,13203,13214,5
329_p353,lfr_cambio,segun_su_voto,segun_su_voto,13392,13404,7
329_p3564,lfr_cambio,sin_firma,sin_firma,23585,23588,0
329_p3843,lfr_cambio,unanime,unanime,34485,34462,5
329_p3848,MEJORA,sin_firma,unanime,34652,34665,7
329_p3872,MEJORA,sin_firma,unanime,35724,35749,6
329_p3890,MEJORA,sin_firma,unanime,36300,36308,6
329_p3925,lfr_cambio,unanime,unanime,37578,37561,5
329_p4032,lfr_cambio,unanime,unanime,41849,41814,5
329_p4134,lfr_cambio,unanime,unanime,45466,45471,5
329_p4135,lfr_cambio,sin_firma,sin_firma,45641,45644,0
329_p4168,MEJORA,sin_firma,unanime,46777,46786,5
329_p4170,MEJORA,sin_firma,unanime,46839,46860,5
329_p4172,MEJORA,sin_firma,unanime,46999,47007,5
329_p4176,lfr_cambio,sin_firma,sin_firma,47062,47079,0
329_p4194,lfr_cambio,unanime,unanime,47742,47721,5
329_p4396,lfr_cambio,unanime,unanime,55470,55423,5
329_p4409,lfr_cambio,unanime,unanime,55758,55755,5
329_p4438,lfr_cambio,unanime,unanime,57009,56995,6
