caso_id,tipo,campo,base,nuevo
329_p1092,MEJORA_JUECES,n_jueces,5,9
329_p1092,CAMBIO,jueces,Argibay | Pereyra González (conjuez) | Poclava Lafuente (conjuez) | Ferro (conjuez) | Rosatti,Argibay | Chausovsky (conjuez) | Pereyra González (conjuez) | Poclava Lafuente (conjuez) | Ferro (conjuez) | Schiffrin (conjuez) | García Lema (conjuez) | Rosatti | Méndez (conjuez)
329_p1092,CAMBIO,jueces_conocidos,Argibay | Pereyra González (conjuez) | Poclava Lafuente (conjuez) | Ferro (conjuez) | Rosatti,Argibay | Chausovsky (conjuez) | Pereyra González (conjuez) | Poclava Lafuente (conjuez) | Ferro (conjuez) | Schiffrin (conjuez) | García Lema (conjuez) | Rosatti | Méndez (conjuez)
329_p1092,LFR_CAMBIO,linea_fin_real,44789,44799
329_p2037,REGRESION,n_jueces,14,9
329_p2037,CAMBIO,jueces,Petracchi | Highton de Nolasco | Fayt | Maqueda | Zaffaroni | Lorenzetti | Argibay | Rodríguez Basavilbaso (conjuez) | Maqueda | Lorenzetti | Argibay | Maqueda | Lorenzetti | Argibay,Petracchi | Highton de Nolasco | Fayt | Maqueda | Zaffaroni | Lorenzetti | Argibay | Rodríguez Basavilbaso (conjuez) | Aguilar (conjuez)
329_p2037,CAMBIO,jueces_conocidos,Petracchi | Highton de Nolasco | Fayt | Maqueda | Zaffaroni | Lorenzetti | Argibay | Rodríguez Basavilbaso (conjuez) | Maqueda | Lorenzetti | Argibay | Maqueda | Lorenzetti | Argibay,Petracchi | Highton de Nolasco | Fayt | Maqueda | Zaffaroni | Lorenzetti | Argibay | Rodríguez Basavilbaso (conjuez) | Aguilar (conjuez)
329_p2037,CAMBIO,firma_raw,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN CARLOS MAQUEDA (en disidencia) — E. RAÚL ZAFFARONI — RICARDO LUIS LORENZETTI (en disidencia) — CARMEN M. ARGIBAY (en di,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN CARLOS MAQUEDA (en disidencia) — E. RAÚL ZAFFARONI — RICARDO LUIS LORENZETTI (en disidencia) — CARMEN M. ARGIBAY (en di
329_p3388,MEJORA_JUECES,n_jueces,7,8
329_p3388,CAMBIO,jueces,Petracchi | Highton de Nolasco | Fayt | Maqueda | Zaffaroni | Argibay | Pereyra González (conjuez),Petracchi | Highton de Nolasco | Fayt | Maqueda | Zaffaroni | Argibay | Pereyra González (conjuez) | Aguilar (conjuez)
329_p3388,CAMBIO,jueces_conocidos,Petracchi | Highton de Nolasco | Fayt | Maqueda | Zaffaroni | Argibay | Pereyra González (conjuez),Petracchi | Highton de Nolasco | Fayt | Maqueda | Zaffaroni | Argibay | Pereyra González (conjuez) | Aguilar (conjuez)
329_p5261,MEJORA_JUECES,n_jueces,6,7
329_p5261,CAMBIO,jueces,Highton de Nolasco | Lorenzetti | Argibay | Pacilio (conjuez) | Argañaraz (conjuez) | Otero (conjuez),Highton de Nolasco | Lorenzetti | Argibay | Pacilio (conjuez) | Argañaraz (conjuez) | Otero (conjuez) | Chausovsky (conjuez)
329_p5261,CAMBIO,jueces_conocidos,Highton de Nolasco | Lorenzetti | Argibay | Pacilio (conjuez) | Argañaraz (conjuez) | Otero (conjuez),Highton de Nolasco | Lorenzetti | Argibay | Pacilio (conjuez) | Argañaraz (conjuez) | Otero (conjuez) | Chausovsky (conjuez)
330_p1642,MEJORA_JUECES,n_jueces,4,7
330_p1642,CAMBIO,jueces,Lorenzetti | Maqueda | Zaffaroni | Tyden de Skanata (conjuez),Lorenzetti | Maqueda | Zaffaroni | Pérez Petit (conjuez) | Romano (conjuez) | Tyden de Skanata (conjuez) | Petra Fernández (conjuez)
330_p1642,CAMBIO,jueces_conocidos,Lorenzetti | Maqueda | Zaffaroni | Tyden de Skanata (conjuez),Lorenzetti | Maqueda | Zaffaroni | Pérez Petit (conjuez) | Romano (conjuez) | Tyden de Skanata (conjuez) | Petra Fernández (conjuez)
330_p2799,MEJORA_JUECES,n_jueces,3,5
330_p2799,CAMBIO,jueces,Lorenzetti | Zaffaroni | Tyden de Skanata (conjuez),Lorenzetti | Zaffaroni | Tyden de Skanata (conjuez) | Petra Fernández (conjuez) | Romano (conjuez)
330_p2799,CAMBIO,jueces_conocidos,Lorenzetti | Zaffaroni | Tyden de Skanata (conjuez),Lorenzetti | Zaffaroni | Tyden de Skanata (conjuez) | Petra Fernández (conjuez) | Romano (conjuez)
337_p1052,MEJORA_JUECES,n_jueces,3,4
337_p1052,CAMBIO,jueces,Fayt | Maqueda | Morán (conjuez),Fayt | Maqueda | Morán (conjuez) | Fernández Gómez (conjuez)
