caso_id,tipo,campo,base,nuevo
329_p2063,CAMBIO,firma_raw,,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN CARLOS MAQUEDA — E. RAÚL ZAFFARONI — RICARDO LUIS LORENZETTI.
329_p2063,CAMBIO,jueces,,Petracchi | Highton de Nolasco | Maqueda | Zaffaroni | Lorenzetti
329_p2063,CAMBIO,jueces_conocidos,,Petracchi | Highton de Nolasco | Maqueda | Zaffaroni | Lorenzetti
329_p2063,LFR_CAMBIO,linea_fin_real,26325,26348
329_p2063,MEJORA,n_jueces,0,5
329_p2063,MEJORA,voting_pattern,sin_firma,unanime
329_p2218,CAMBIO,firma_raw,CARMEN M. ARGIBAY.,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN CARLOS MAQUEDA — RICARDO LUIS LORENZETTI — CARMEN M. ARGIBAY.
329_p2218,CAMBIO,jueces,Argibay,Petracchi | Highton de Nolasco | Fayt | Maqueda | Lorenzetti | Argibay
329_p2218,CAMBIO,jueces_conocidos,Argibay,Petracchi | Highton de Nolasco | Fayt | Maqueda | Lorenzetti | Argibay
329_p2218,LFR_CAMBIO,linea_fin_real,31985,32010
329_p2218,MEJORA_JUECES,n_jueces,1,6
329_p2784,CAMBIO,firma_raw,,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN CARLOS MAQUEDA — E. RAÚL ZAFFARONI — RICARDO LUIS LORENZETTI.
329_p2784,CAMBIO,jueces,,Petracchi | Highton de Nolasco | Maqueda | Zaffaroni | Lorenzetti
329_p2784,CAMBIO,jueces_conocidos,,Petracchi | Highton de Nolasco | Maqueda | Zaffaroni | Lorenzetti
329_p2784,LFR_CAMBIO,linea_fin_real,53453,53516
329_p2784,MEJORA,n_jueces,0,5
329_p2784,MEJORA,voting_pattern,sin_firma,unanime
329_p4243,CAMBIO,firma_raw,,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN CARLOS MAQUEDA — E. RAÚL ZAFFARONI.
329_p4243,CAMBIO,jueces,,Petracchi | Highton de Nolasco | Fayt | Maqueda | Zaffaroni
329_p4243,CAMBIO,jueces_conocidos,,Petracchi | Highton de Nolasco | Fayt | Maqueda | Zaffaroni
329_p4243,LFR_CAMBIO,linea_fin_real,49443,49482
329_p4243,MEJORA,n_jueces,0,5
329_p4243,MEJORA,voting_pattern,sin_firma,unanime
329_p472,CAMBIO,firma_raw,,ELENA I. HIGHTON DE NOLASCO — JUAN CARLOS MAQUEDA — E. RAÚL ZAFFARONI — RICARDO LUIS LORENZETTI — CARMEN M. ARGIBAY.
329_p472,CAMBIO,jueces,,Highton de Nolasco | Maqueda | Zaffaroni | Lorenzetti | Argibay
329_p472,CAMBIO,jueces_conocidos,,Highton de Nolasco | Maqueda | Zaffaroni | Lorenzetti | Argibay
329_p472,LFR_CAMBIO,linea_fin_real,17820,17848
