caso,zona,wc_pre,wc_post,delta_wc
329_p1024,firma,62,116,54
329_p1024,sumario,139,166,27
329_p1024,residuo_caso_anterior,11,0,-11
329_p1024,dispositivo,116,166,50
329_p1053,firma,605,49,-556
329_p1053,cuerpo,213,139,-74
329_p1053,epilogo,45,51,6
329_p1053,sumario,617,1187,570
329_p1053,dispositivo,171,138,-33
329_p1066,firma,168,112,-56
329_p1066,cuerpo,2607,2581,-26
329_p1066,sumario,873,907,34
329_p1066,residuo_caso_anterior,281,74,-207
329_p1066,voto_separado,55,50,-5
329_p1066,epilogo,1402,1667,265
329_p1066,dispositivo,2103,2145,42
329_p1092,firma,408,111,-297
329_p1092,cuerpo,9400,9426,26
329_p1092,sumario,4218,4533,315
329_p1092,residuo_caso_anterior,5,0,-5
329_p1092,voto_separado,45,50,5
329_p1092,epilogo,6215,6285,70
329_p1092,dispositivo,14693,14708,15
329_p117,firma,68,40,-28
329_p117,voto_separado,14,10,-4
329_p117,sumario,148,165,17
329_p117,cuerpo,353,298,-55
329_p117,epilogo,147,187,40
329_p117,residuo_caso_anterior,2,152,150
329_p1180,firma,87,32,-55
329_p1180,sumario,435,481,46
329_p1180,header_pagina,78,77,-1
329_p1180,epilogo,54,0,-54
329_p1180,dispositivo,52,29,-23
329_p1191,firma,90,48,-42
329_p1191,sumario,797,845,48
329_p1191,residuo_caso_anterior,7,0,-7
329_p1191,epilogo,872,933,61
329_p1191,dispositivo,502,493,-9
329_p1209,firma,74,33,-41
329_p1209,sumario,279,320,41
329_p1209,cuerpo,533,505,-28
329_p1209,epilogo,30,0,-30
329_p1209,residuo_caso_anterior,3,0,-3
329_p1209,dispositivo,155,116,-39
329_p1226,firma,69,64,-5
329_p1226,sumario,757,779,22
329_p1226,cuerpo,2582,2464,-118
329_p1226,epilogo,77,63,-14
329_p1226,residuo_caso_anterior,13,169,156
329_p1226,dispositivo,96,106,10
329_p123,firma,45,26,-19
329_p123,sumario,565,581,16
329_p123,epilogo,67,0,-67
329_p123,dispositivo,54,27,-27
329_p1303,firma,740,518,-222
329_p1303,sumario,154,135,-19
329_p1303,dispositivo,14,0,-14
329_p1305,firma,9,0,-9
329_p1305,residuo_caso_anterior,0,217,217
329_p1305,cuerpo,204,0,-204
329_p1305,apertura,5,0,-5
329_p1305,sumario,96,103,7
329_p1305,dispositivo,17,14,-3
329_p135,firma,56,54,-2
329_p135,sumario,229,200,-29
329_p135,residuo_caso_anterior,17,199,182
329_p135,epilogo,100,136,36
329_p135,dispositivo,52,66,14
329_p1350,firma,29583,1103,-28480
329_p1350,cuerpo,730,740,10
329_p1350,sumario,40668,66340,25672
329_p1350,residuo_caso_anterior,3,0,-3
329_p1350,header_pagina,105,148,43
329_p1350,epilogo,10380,17937,7557
329_p1350,apertura,5,10,5
329_p1350,dispositivo,1244,1310,66
329_p1399,firma,147,35,-112
329_p1399,sumario,860,972,112
329_p1399,residuo_caso_anterior,10,108,98
329_p1425,firma,64,33,-31
329_p1425,sumario,591,622,31
329_p1425,epilogo,29,0,-29
329_p1447,firma,285,85,-200
329_p1447,sumario,1538,1743,205
329_p1447,epilogo,1255,1103,-152
329_p1447,dispositivo,785,760,-25
329_p149,firma,137,59,-78
329_p149,voto_separado,1450,1316,-134
329_p149,sumario,890,991,101
329_p149,epilogo,201,119,-82
329_p149,dispositivo,327,269,-58
329_p1501,firma,73,44,-29
329_p1501,cuerpo,97,67,-30
329_p1501,sumario,412,429,17
329_p1501,residuo_caso_anterior,4,34,30
329_p1501,voto_separado,15,0,-15
329_p1501,epilogo,44,78,34
329_p1501,dispositivo,92,28,-64
329_p1506,firma,64,33,-31
329_p1506,header_pagina,57,56,-1
