caso,tomo,firma_nueva,lfr_viejo,lfr_nuevo,pista_nueva,tipo
329_p53,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — E. R,1838,2059,sumario_siguiente,MEJORA
329_p120,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN,4459,4486,caratula_siguiente,MEJORA
329_p201,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN,7480,7621,caratula_siguiente,MEJORA
329_p237,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN,8748,8791,caratula_siguiente,MEJORA
329_p937,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN,35545,35583,caratula_siguiente,MEJORA
329_p1541,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT (según,6408,6897,caratula_siguiente,MEJORA
329_p1762,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN CARLOS MAQUEDA —,15010,15053,caratula_siguiente,MEJORA
329_p2088,329,ENRIQUE SANTIAGO PETRACCHI (en disidencia parcial) — ELENA I. HIGHTON DE NOLASCO,27844,27911,caratula_siguiente,MEJORA
329_p2191,329,ENRIQUE SANTIAGO PETRACCHI (según su voto) — ELENA I. HIGHTON DE NOLASCO — CARLO,31002,31093,caratula_siguiente,MEJORA
329_p2194,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN,31147,31182,caratula_siguiente,MEJORA
329_p2206,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN CARLOS MAQUEDA —,31554,31752,caratula_siguiente,MEJORA
329_p2218,329,CARMEN M. ARGIBAY.,31985,31985,sumario_siguiente,MEJORA
329_p2351,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN,36964,37108,caratula_siguiente,MEJORA
329_p2467,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — E. RAÚL ZAFFARONI — R,41476,41522,sumario_siguiente,MEJORA
329_p2827,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN,54897,54971,caratula_siguiente,MEJORA
329_p2830,329,ENRIQUE SANTIAGO PETRACCHI (en disidencia) — ELENA I. HIGHTON DE NOLASCO (en dis,55055,55162,caratula_siguiente,MEJORA
329_p2937,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN CARLOS MAQUEDA —,59001,59057,caratula_siguiente,MEJORA
329_p3006,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN CARLOS MAQUEDA —,1923,2109,caratula_siguiente,MEJORA
329_p3184,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN,8516,8583,caratula_siguiente,MEJORA
329_p3203,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN,9089,9193,caratula_siguiente,MEJORA
329_p3207,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN,9302,9333,caratula_siguiente,MEJORA
329_p3211,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN,9349,9423,caratula_siguiente,MEJORA
329_p3373,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN,16327,16631,caratula_siguiente,MEJORA
329_p3666,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT (según,27535,27631,caratula_siguiente,MEJORA
329_p3863,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN,35316,35360,caratula_siguiente,MEJORA
329_p3925,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN,37509,37578,caratula_siguiente,MEJORA
329_p4111,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT (en di,45150,45378,caratula_siguiente,MEJORA
329_p4148,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN,45967,46015,caratula_siguiente,MEJORA
329_p4158,329,ENRIQUE SANTIAGO PETRACCHI — CARLOS S. FAYT — JUAN CARLOS MAQUEDA — E. RAÚL ZAFF,46336,46424,caratula_siguiente,MEJORA
329_p4622,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN CARLOS MAQUEDA —,63842,63995,caratula_siguiente,MEJORA
329_p4688,329,ENRIQUE SANTIAGO PETRACCHI (en disidencia parcial) — ELENA I. HIGHTON DE NOLASCO,66872,67295,sumario_siguiente,MEJORA
329_p4755,329,ENRIQUE SANTIAGO PETRACCHI (según su voto) — ELENA I. HIGHTON DE NOLASCO (en dis,68996,69099,caratula_siguiente,MEJORA
329_p5010,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN,4753,4789,caratula_siguiente,MEJORA
329_p5317,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN CARLOS MAQUEDA —,16441,16496,caratula_siguiente,MEJORA
329_p5410,329,ENRIQUE SANTIAGO PETRACCHI — CARLOS S. FAYT (según su voto) — JUAN CARLOS MAQUED,20359,20483,sumario_siguiente,MEJORA
329_p5702,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN,30768,30881,sumario_siguiente,MEJORA
329_p5950,329,ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN CARLOS MAQUEDA — RICARDO LUI,40266,40547,caratula_siguiente,MEJORA
329_p6064,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN,44348,44390,caratula_siguiente,MEJORA
329_p6081,329,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN,45049,45090,caratula_siguiente,MEJORA
330_p88,330,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — ENRIQUE SANTIAGO PETRACC,3273,3491,caratula_siguiente,MEJORA
