caso_id,cat,outcome_actual,tomo,n_matches,apertura_rel,ventana,len_bloque,idx_actual,var_actual,firma_actual,ctx_actual,idx_A,var_A,firma_A,ctx_A,idx_C,var_C,ctx_C,idx_Cref,var_Cref,firma_Cref,A_distinto,C_distinto,Cref_distinto,ultimo_tiene_firma
329_p1092,A2,abstracto,329,2,537,537-772,3600,680,en_consecuencia,False,"En consecuencia, revisar la doctrina jurisprudencial que funda el",757,por_ello,True,"Por ello, y oído el señor Procurador Fiscal, se declara improceden-",757,por_ello,"Por ello, y oído el señor Procurador Fiscal, se declara improceden-",757,por_ello,True,True,True,True,True
329_p53,A3,otro,329,1,1,1-8,8,7,por_ello,False,"Por ello, se resuelve: Declarar que la presente causa es ajena a la",7,por_ello,False,"Por ello, se resuelve: Declarar que la presente causa es ajena a la",,,,7,por_ello,False,False,sin_match_C,False,False
329_p1305,A3,otro,329,1,12,12-37,37,32,por_ello,False,Por ello se resuelve ordenar la integración del Tribunal según el,32,por_ello,False,Por ello se resuelve ordenar la integración del Tribunal según el,,,,32,por_ello,False,False,sin_match_C,False,False
329_p792,A3,otro,329,1,172,172-423,423,418,por_ello,False,"Por ello, y lo dictaminado en lo pertinente por el señor Procurador",418,por_ello,False,"Por ello, y lo dictaminado en lo pertinente por el señor Procurador",,,,418,por_ello,False,False,sin_match_C,False,False
329_p1191,A1,otro,329,2,247,247-406,693,362,por_ello,False,"Por ello, como regla, carece de sentido señalar que los profesionales",400,por_ello,True,"Por ello, oído el señor Procurador Fiscal, se desestima la queja.",400,por_ello,"Por ello, oído el señor Procurador Fiscal, se desestima la queja.",362,por_ello,False,True,True,False,True
329_p584,A1,otro,329,2,195,195-437,437,360,en_consecuencia,False,"En consecuencia, como lo expresó el Tribunal al examinar la “com-",431,por_ello,True,"Por ello, habiendo dictaminado el señor Procurador General, se",431,por_ello,"Por ello, habiendo dictaminado el señor Procurador General, se",431,por_ello,True,True,True,True,True
329_p1066,A1,otro,329,2,335,335-597,998,457,por_ello,False,"Por ello, como regla, carece de sentido señalar que los profesionales",586,por_ello,True,"Por ello, y lo dictaminado por el señor Procurador Fiscal, se hace",586,por_ello,"Por ello, y lo dictaminado por el señor Procurador Fiscal, se hace",457,por_ello,False,True,True,False,True
329_p94,A3,otro,329,2,227,227-402,829,274,por_lo_expuesto,False,"Por lo expuesto esta ejecución fiscal, tal como lo disponen los",393,por_ello,True,"Por ello, se resuelve: I. Declarar procedente el recurso ordinario de",393,por_ello,"Por ello, se resuelve: I. Declarar procedente el recurso ordinario de",393,por_ello,True,True,True,True,True
329_p1317,A1,otro,329,2,57,57-305,305,178,en_consecuencia,False,"En consecuencia, la controversia se circunscribe a determinar los",284,por_ello,True,"Por ello, se decide: Hacer lugar a la demanda y condenar al Estado",284,por_ello,"Por ello, se decide: Hacer lugar a la demanda y condenar al Estado",284,por_ello,True,True,True,True,True
329_p385,A3,otro,329,2,424,424-668,1820,453,de_conformidad,False,"de conformidad con el régimen de las leyes citadas, y había autorizado",661,por_ello,True,"Por ello, oído el señor Procurador Fiscal subrogante, se declara",661,por_ello,"Por ello, oído el señor Procurador Fiscal subrogante, se declara",661,por_ello,True,True,True,True,True
