caso_id,tomo,linea_abs,zona,fuente,clasificacion,texto
329_p88,329,3375,atras,solo_parser,firma_calificador,ARGIBAY (en disidencia).
329_p723,329,27520,atras,solo_parser,firma_calificador,ARGIBAY (según su voto).
329_p1245,329,48906,atras,solo_parser,firma_juez,LORENZETTI (en disidencia parcial) — CARMEN M. ARGIBAY (según su voto).
329_p1440,329,2767,atras,solo_parser,firma_calificador,ARGIBAY (en disidencia).
329_p1938,329,21893,atras,solo_parser,otro,"EXTRADICION” que corre por cuerda, en adelante “CUADERNO”)."
329_p2413,329,39619,atras,solo_parser,firma_calificador,ARGIBAY (en disidencia).
329_p2429,329,40142,atras,solo_parser,firma_calificador,ARGIBAY (en disidencia).
329_p2450,329,41128,atras,solo_parser,firma_calificador,ARGIBAY (en disidencia).
329_p2498,329,42800,atras,solo_parser,firma_calificador,ARGIBAY (en disidencia).
329_p2563,329,45242,atras,solo_parser,posible_caratula,SAICA y/o Estado Nacional s/ demanda laboral”.
329_p2667,329,49139,atras,solo_parser,firma_calificador,ARGIBAY (en disidencia).
329_p2784,329,53454,atras,solo_parser,otro,"OSECAC, en un sitio acorde a su patología."
329_p3034,329,3118,atras,solo_parser,firma_calificador,ARGIBAY (según su voto).
329_p3059,329,3860,atras,solo_parser,firma_calificador,ARGIBAY (en disidencia).
329_p3373,329,16484,atras,solo_parser,otro,"FONAVI, al disponerse su transferencia automática a las provincias."
329_p3986,329,40535,atras,solo_parser,firma_calificador,ARGIBAY (según su voto).
329_p4044,329,42264,atras,solo_parser,firma_calificador,ARGIBAY (según su voto).
329_p4106,329,44464,atras,solo_parser,firma_calificador,ARGIBAY (en disidencia).
329_p4783,329,70066,adelante,solo_parser,firma_calificador,ARGIBAY (según su voto).
329_p4944,329,2877,atras,solo_parser,firma_juez,CARMEN M. ARGIBAY (en disidencia parcial).
329_p5078,329,7365,atras,solo_parser,firma_calificador,LORENZETTI (según su voto).
329_p5094,329,7901,atras,solo_parser,posible_caratula,XXXVIII. Bear Service S.A. c/ Cervecería Modelo S.A. de C.V. –Fallos:
329_p5103,329,8283,atras,solo_parser,firma_calificador,ARGIBAY (en disidencia).
329_p5615,329,27733,adelante,solo_parser,firma_calificador,ARGIBAY (según su voto).
329_p5619,329,27733,atras,solo_parser,firma_calificador,ARGIBAY (según su voto).
329_p5861,329,36879,atras,solo_parser,firma_calificador,ARGIBAY (en disidencia).
329_p5879,329,37609,atras,solo_parser,firma_calificador,ARGIBAY (en disidencia).
329_p5950,329,40268,atras,solo_parser,otro,"SACIMI y A.”, para decidir sobre su procedencia."
329_p6087,329,46194,adelante,solo_parser,posible_caratula,AKAPOL S.A.C.I.F.I.A. c/ Nación Argentina y otros:
330_p240,330,8796,atras,solo_parser,firma_calificador,ARGIBAY (en disidencia).
330_p289,330,10625,atras,solo_parser,firma_calificador,ARGIBAY (según su voto).
330_p393,330,14766,atras,solo_parser,firma_calificador,ARGIBAY (en disidencia).
330_p704,330,26888,atras,solo_parser,firma_calificador,ARGIBAY (en disidencia).
330_p971,330,38205,atras,solo_parser,firma_calificador,ARGIBAY (según su voto).
330_p1008,330,38748,atras,solo_parser,firma_calificador,ARGIBAY (en disidencia).
330_p1016,330,39208,atras,solo_parser,firma_calificador,ARGIBAY (en disidencia).
330_p1649,330,12692,atras,solo_parser,otro,ETOSS y afirman los jueces que resolvieron el caso.
330_p1649,330,12733,atras,solo_parser,otro,ETOSS 115/94 que impugna la actora.
330_p1989,330,26154,atras,solo_parser,firma_juez,MAQUEDA (según su voto) — CARMEN M. ARGIBAY (según su voto).
330_p2255,330,35829,atras,solo_parser,firma_calificador,ARGIBAY (según su voto).
330_p2361,330,40899,atras,solo_parser,otro,"XXXIV, pág. 198, respectivamente)."
330_p2836,330,58395,atras,solo_parser,firma_calificador,ARGIBAY (en disidencia).
330_p3673,330,31725,adelante,solo_parser,otro,DAÑOS Y PERJUICIOS. Responsabilidad del Estado. Casos varios.
330_p4103,330,48667,atras,solo_parser,firma_calificador,ARGIBAY (en disidencia).
330_p4435,330,4808,atras,solo_parser,firma_calificador,ARGIBAY (según su voto).
