caso_id,tomo,fin_orig,pista_orig,fin_patch,pista_patch,delta_lineas,firma_antes
329_p9,329,272,sumario_siguiente,285,sumario_siguiente,13,si
329_p94,329,4223,sumario_siguiente,4308,sumario_siguiente,85,si
329_p163,329,6087,sumario_siguiente,6089,sumario_siguiente,2,si
329_p182,329,6767,sumario_siguiente,6774,sumario_siguiente,7,si
329_p239,329,8860,sumario_siguiente,8873,sumario_siguiente,13,si
329_p241,329,8947,sumario_siguiente,8952,sumario_siguiente,5,si
329_p292,329,11103,sumario_siguiente,11122,sumario_siguiente,19,si
329_p431,329,16338,sumario_siguiente,16346,sumario_siguiente,8,si
329_p432,329,16507,sumario_siguiente,16523,sumario_siguiente,16,si
329_p440,329,16751,sumario_siguiente,16794,sumario_siguiente,43,si
329_p445,329,17304,sumario_siguiente,17501,sumario_siguiente,197,si
329_p584,329,22406,sumario_siguiente,22433,sumario_siguiente,27,si
329_p629,329,23898,sumario_siguiente,23906,sumario_siguiente,8,si
329_p646,329,25248,sumario_siguiente,25267,sumario_siguiente,19,si
329_p679,329,26004,sumario_siguiente,26018,sumario_siguiente,14,si
329_p689,329,26211,sumario_siguiente,26251,sumario_siguiente,40,si
329_p723,329,27519,sumario_siguiente,27567,sumario_siguiente,48,si
329_p752,329,28367,sumario_siguiente,28375,sumario_siguiente,8,si
329_p783,329,29775,sumario_siguiente,29781,sumario_siguiente,6,si
329_p789,329,29892,sumario_siguiente,29899,sumario_siguiente,7,si
329_p840,329,31869,sumario_siguiente,31935,sumario_siguiente,66,si
329_p868,329,32896,sumario_siguiente,32909,sumario_siguiente,13,si
329_p972,329,36871,sumario_siguiente,36879,sumario_siguiente,8,si
329_p1307,329,49791,sumario_siguiente,49764,sumario_siguiente,-27,si
329_p1341,329,51064,sumario_siguiente,51066,sumario_siguiente,2,si
329_p1343,329,51227,sumario_siguiente,51232,sumario_siguiente,5,si
329_p1377,329,235,sumario_siguiente,238,sumario_siguiente,3,si
329_p1487,329,4375,sumario_siguiente,4380,sumario_siguiente,5,si
329_p1506,329,5367,sumario_siguiente,5375,sumario_siguiente,8,si
329_p1522,329,6305,sumario_siguiente,6313,sumario_siguiente,8,si
329_p1603,329,9048,sumario_siguiente,9055,sumario_siguiente,7,si
329_p1628,329,9875,sumario_siguiente,9877,sumario_siguiente,2,si
329_p1655,329,11028,sumario_siguiente,11035,sumario_siguiente,7,si
329_p1756,329,14752,sumario_siguiente,14768,sumario_siguiente,16,si
329_p1787,329,16067,sumario_siguiente,16088,sumario_siguiente,21,si
329_p1831,329,17602,sumario_siguiente,17607,sumario_siguiente,5,si
329_p1857,329,18549,sumario_siguiente,18556,sumario_siguiente,7,si
329_p1921,329,21050,sumario_siguiente,21052,sumario_siguiente,2,si
329_p1936,329,21562,sumario_siguiente,21571,sumario_siguiente,9,si
329_p1951,329,22513,sumario_siguiente,22552,sumario_siguiente,39,si
329_p1974,329,23163,sumario_siguiente,23330,sumario_siguiente,167,si
329_p1998,329,24133,sumario_siguiente,24144,sumario_siguiente,11,si
329_p2030,329,25373,sumario_siguiente,25382,sumario_siguiente,9,si
329_p2130,329,28948,sumario_siguiente,28950,sumario_siguiente,2,si
329_p2173,329,30365,sumario_siguiente,30368,sumario_siguiente,3,si
329_p2179,329,30808,sumario_siguiente,30815,sumario_siguiente,7,si
329_p2186,329,30876,sumario_siguiente,30878,sumario_siguiente,2,si
329_p2219,329,32051,sumario_siguiente,32061,sumario_siguiente,10,si
329_p2224,329,32222,sumario_siguiente,32234,sumario_siguiente,12,si
329_p2226,329,32362,sumario_siguiente,32440,sumario_siguiente,78,si
329_p2253,329,33358,sumario_siguiente,33360,sumario_siguiente,2,si
329_p2293,329,34834,sumario_siguiente,34836,sumario_siguiente,2,si
329_p2296,329,35461,sumario_siguiente,35467,sumario_siguiente,6,si
329_p2356,329,37193,sumario_siguiente,37202,sumario_siguiente,9,si
329_p2429,329,40141,sumario_siguiente,40162,sumario_siguiente,21,si
329_p2433,329,40396,sumario_siguiente,40407,sumario_siguiente,11,si
329_p2440,329,40791,sumario_siguiente,40816,sumario_siguiente,25,si
329_p2492,329,42570,sumario_siguiente,42577,sumario_siguiente,7,si
329_p2511,329,43615,sumario_siguiente,43624,sumario_siguiente,9,si
329_p2591,329,46327,sumario_siguiente,46343,sumario_siguiente,16,si
329_p2596,329,46444,sumario_siguiente,46468,sumario_siguiente,24,no
329_p2601,329,46685,sumario_siguiente,46690,sumario_siguiente,5,si
329_p2659,329,48901,sumario_siguiente,48975,sumario_siguiente,74,si
329_p2674,329,49401,sumario_siguiente,49449,sumario_siguiente,48,si
329_p2808,329,54321,sumario_siguiente,54324,sumario_siguiente,3,si
329_p2815,329,54557,sumario_siguiente,54559,sumario_siguiente,2,si
