caso_id_canonico,materia,materia_capa,materia_fuente
329_p5,contencioso_administrativo,capa2,provincia:ca
329_p9,civil_comercial,capa1,regla:civil y comercial federal
329_p12,,pendiente_capa2,sin_ancla
329_p15,civil_comercial,capa1,regla:\ben lo comercial\b
329_p19,,pendiente_capa2,sin_ancla
329_p20,civil_comercial,capa1,regla:\ben lo civil\b
329_p28,contencioso_administrativo,capa2,provincia:ca
329_p40,,originaria,originaria
329_p47,,originaria,originaria
329_p49,,originaria,originaria
329_p53,,originaria,originaria
329_p59,,originaria,originaria
329_p78,,originaria,originaria
329_p80,,pendiente_capa2,sin_ancla
329_p83,,pendiente_capa2,sin_ancla
329_p85,,pendiente_capa2,sin_ancla
329_p88,previsional,capa1,regla:seguridad social
329_p94,tributario,capa2,norma:11683+objeto(2)
329_p117,penal,capa1,regla:oral en lo criminal
329_p120,civil_comercial,capa1,regla:\ben lo comercial\b
329_p123,contencioso_administrativo,capa2,provincia:ca
329_p134,civil_comercial,capa1,regla:\ben lo civil\b
329_p135,civil_comercial,capa1,regla:\ben lo civil\b
329_p142,,pendiente_capa2,sin_ancla
329_p147,civil_comercial,capa1,regla:\ben lo civil\b
329_p149,penal,capa1,regla:casacion penal
329_p158,civil_comercial,capa1,regla:\ben lo comercial\b
329_p163,,originaria,originaria
329_p165,,originaria,originaria
329_p167,civil_comercial,capa2,kw+objeto(2)
329_p171,penal,capa2,kw(1)
329_p175,,pendiente_capa2,sin_ancla
329_p177,previsional,capa1,regla:seguridad social
329_p182,previsional,capa1,regla:seguridad social
329_p184,constitucional,capa2,objeto(1)
329_p187,electoral,capa1,regla:electoral
329_p201,penal,capa1,regla:penal economico
329_p206,civil_comercial,capa1,regla:\ben lo comercial\b
329_p212,,originaria,originaria
329_p215,contencioso_administrativo,capa2,provincia:ca
329_p218,civil_comercial,capa1,regla:civil y comercial federal
329_p222,contencioso_administrativo,capa2,provincia:ca
329_p224,,originaria,originaria
329_p229,,pendiente_capa2,sin_ancla
329_p231,penal,capa2,kw+objeto(2)
