caso_id_canonico,tipo,norma,ambito,n_menciones
329_p9,ley,1285,considerando,2
329_p9,ley,14467,considerando,1
329_p9,ley,21708,considerando,1
329_p40,ley,16986,considerando,1
329_p40,ley,25326,considerando,2
329_p59,ley,12156,considerando,1
329_p59,ley,12778,considerando,1
329_p59,ley,20091,considerando,1
329_p59,ley,22315,considerando,1
329_p59,ley,24241,considerando,8
329_p59,ley,24347,considerando,1
329_p59,ley,25299,considerando,1
329_p59,ley,5368,considerando,1
329_p59,ley,6009,considerando,2
329_p88,ley,19549,considerando,2
329_p88,ley,25344,considerando,2
329_p94,ley,11683,considerando,6
329_p94,ley,1285,considerando,1
329_p94,ley,18820,considerando,1
329_p94,ley,21708,considerando,1
329_p94,ley,21839,considerando,2
329_p94,ley,24432,considerando,3
329_p94,ley,11683,voto,9
329_p94,ley,1285,voto,4
329_p94,ley,18820,voto,2
329_p94,ley,21839,voto,10
329_p94,ley,23658,voto,1
329_p94,ley,24432,voto,6
329_p117,ley,23737,caratula,1
329_p120,ley,12607,considerando,1
329_p142,ley,24521,caratula,1
329_p149,ley,23737,caratula,1
329_p163,ley,23737,considerando,1
329_p171,ley,20661,considerando,1
329_p171,ley,25742,considerando,2
329_p175,ley,23696,considerando,1
329_p177,ley,1285,considerando,1
329_p177,ley,18345,considerando,1
329_p177,ley,23637,considerando,1
329_p177,ley,24557,considerando,1
329_p201,ley,16463,caratula,1
329_p212,ley,24051,considerando,1
329_p222,ley,23660,considerando,1
329_p224,ley,1285,considerando,1
329_p234,ley,18345,considerando,1
329_p234,ley,23551,considerando,1
329_p234,ley,24588,considerando,1
329_p237,ley,24241,considerando,1
329_p237,ley,24655,considerando,1
329_p239,ley,23570,considerando,1
329_p239,ley,2393,considerando,1
329_p239,ley,24463,considerando,1
329_p244,ley,14616,considerando,1
329_p244,ley,20642,considerando,1
329_p244,ley,23492,considerando,1
329_p309,ley,23696,voto,4
329_p329,ley,1285,considerando,1
329_p373,ley,25742,considerando,1
329_p381,ley,18037,considerando,2
329_p381,ley,24241,considerando,1
329_p381,ley,24463,considerando,1
329_p385,ley,23928,considerando,1
329_p385,ley,8069,considerando,5
329_p385,ley,8369,considerando,1
329_p385,ley,23928,voto,1
329_p385,ley,25561,voto,1
329_p385,ley,8069,voto,8
329_p385,ley,8369,voto,3
329_p385,ley,8654,voto,3
329_p463,ley,25344,voto,6
329_p473,ley,20744,voto,1
329_p473,ley,24557,voto,4
329_p491,ley,4055,voto,1
329_p500,ley,1285,considerando,1
329_p500,ley,21526,considerando,1
329_p502,ley,23982,voto,3
329_p502,ley,25344,voto,3
329_p502,ley,25725,voto,4
329_p526,ley,23771,caratula,1
329_p545,ley,22021,considerando,2
329_p545,ley,24764,considerando,1
329_p545,ley,24938,considerando,1
329_p548,ley,25724,considerando,1
329_p548,ley,16986,voto,1
329_p548,ley,25724,voto,1
329_p553,ley,25724,considerando,3
329_p553,ley,16986,voto,2
329_p553,ley,25724,voto,1
329_p570,ley,22415,considerando,1
329_p573,ley,24013,considerando,2
329_p573,ley,24241,considerando,4
329_p576,ley,24241,considerando,4
329_p584,ley,19101,considerando,1
329_p584,ley,24624,considerando,1
329_p595,ley,15336,considerando,9
329_p595,ley,24065,considerando,6
329_p595,ley,6054,considerando,1
329_p620,ley,1285,voto,1
329_p620,ley,24050,voto,1
329_p620,ley,4055,voto,1
329_p624,ley,1285,considerando,1
329_p624,ley,23982,considerando,1
329_p624,ley,24073,considerando,3
329_p624,ley,24463,considerando,4
329_p624,ley,24073,voto,1
329_p639,ley,19640,considerando,2
329_p639,ley,23018,considerando,1
329_p646,ley,24240,voto,3
329_p679,ley,12405,considerando,1
329_p679,ley,12405,voto,1
329_p695,ley,24240,voto,2
329_p710,ley,11719,considerando,1
329_p730,ley,23771,caratula,1
329_p743,ley,2372,considerando,1
329_p743,ley,23984,considerando,1
329_p743,ley,24050,considerando,1
329_p743,ley,24767,considerando,2
329_p753,ley,25344,considerando,1
329_p759,ley,12008,considerando,1
329_p759,ley,1285,considerando,1
329_p759,ley,13101,considerando,1
329_p759,ley,24463,considerando,1
329_p772,ley,5545,considerando,1
329_p776,ley,22285,considerando,1
329_p776,ley,4090,considerando,1
329_p792,ley,19640,considerando,5
329_p803,ley,25561,considerando,1
329_p809,ley,17319,considerando,1
329_p809,ley,17319,voto,2
329_p840,ley,24721,voto,1
329_p847,ley,23515,considerando,1
329_p860,ley,22262,considerando,1
329_p860,ley,25156,considerando,2
329_p865,ley,20387,considerando,1
329_p865,ley,24655,considerando,1
329_p868,ley,18037,considerando,6
329_p868,ley,24241,considerando,3
329_p868,ley,24463,considerando,2
329_p872,ley,18037,considerando,1
329_p872,ley,18464,considerando,3
329_p872,ley,23853,considerando,1
329_p872,ley,25344,dispositivo,1
329_p879,ley,24240,voto,1
329_p888,ley,24043,caratula,1
329_p904,ley,24018,considerando,2
329_p904,ley,25668,considerando,1
329_p926,ley,1285,considerando,1
329_p928,ley,1284,voto,2
329_p928,ley,1305,voto,3
329_p951,ley,23898,considerando,3
329_p951,ley,24522,considerando,1
329_p959,ley,17562,considerando,1
329_p959,ley,20606,considerando,1
329_p959,ley,24463,considerando,1
329_p963,ley,1285,considerando,1
329_p963,ley,21708,considerando,1
329_p963,ley,23871,considerando,1
329_p963,ley,1285,voto,1
329_p963,ley,23349,voto,1
329_p963,ley,23871,voto,1
329_p989,ley,24463,considerando,1
329_p989,ley,24463,voto,1
329_p989,ley,25344,voto,1
329_p997,ley,23982,voto,4
329_p1019,ley,1285,considerando,1
329_p1022,ley,17418,considerando,1
329_p1028,ley,24051,considerando,1
329_p1030,ley,11723,considerando,1
329_p1030,ley,22362,considerando,1
329_p1033,ley,13998,considerando,1
329_p1033,ley,24144,considerando,1
329_p1053,ley,24144,caratula,1
329_p1066,ley,21839,considerando,6
329_p1066,ley,24432,considerando,8
329_p1066,ley,21839,voto,1
329_p1066,ley,24432,voto,2
329_p1092,ley,19549,considerando,1
329_p1092,ley,20628,considerando,2
329_p1092,ley,24631,considerando,3
329_p1092,ley,20628,voto,7
329_p1092,ley,24631,voto,8
329_p1092,ley,4055,voto,1
329_p1180,ley,24283,voto,2
329_p1191,ley,24432,considerando,5
329_p1191,ley,21839,voto,1
329_p1191,ley,24432,voto,3
329_p1236,ley,1285,considerando,2
329_p1236,ley,24655,considerando,1
329_p1236,ley,1285,voto,3
329_p1236,ley,24655,voto,1
329_p1241,ley,25561,considerando,1
329_p1245,ley,24767,considerando,1
329_p1303,ley,1285,considerando,2
329_p1305,ley,1285,considerando,1
329_p1307,ley,23898,considerando,1
329_p1311,ley,1285,considerando,1
329_p1317,ley,24065,considerando,1
329_p1317,ley,25344,considerando,1
329_p1324,ley,25886,considerando,2
329_p1328,ley,13998,considerando,1
329_p1330,ley,1285,considerando,1
329_p1332,ley,20661,considerando,1
329_p1341,ley,25742,considerando,1
329_p1348,ley,1181,considerando,1
329_p1350,ley,24368,voto,1
329_p1350,ley,25519,voto,1
329_p1389,ley,23660,considerando,1
329_p1389,ley,24655,considerando,1
329_p1397,ley,1285,considerando,2
329_p1397,ley,21708,considerando,1
329_p1399,ley,1285,considerando,1
329_p1399,ley,1285,voto,1
329_p1417,ley,24767,considerando,5
329_p1425,ley,24767,considerando,3
