caso_id_canonico,disposicion,reenvia,parte_ganadora,via_recurso,multi_recurso,es_revision_fondo,admisibilidad,causa_inadmisibilidad,es_queja
329_p5,revoca,si,recurrente_gana,recurso_extraordinario,no,si,admite,,0
329_p9,no_fondo,no,no_aplica,recurso_ordinario,si,no,inadmite,INADMISIBLE_SIN_CAUSAL_EXPLICITA,1
329_p12,no_fondo,no,no_aplica,recurso_extraordinario,no,no,inadmite,INADMISIBLE_SIN_CAUSAL_EXPLICITA,1
329_p15,revoca,si,recurrente_gana,,no,si,admite,,1
329_p19,no_fondo,no,no_aplica,recurso_extraordinario,no,no,inadmite,INADMISIBLE_SIN_CAUSAL_EXPLICITA,1
329_p20,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,si,admite,,1
329_p28,deja_sin_efecto,si,recurrente_gana,,no,si,admite,,1
329_p40,no_fondo,no,no_aplica,,no,no,no_aplica,,0
329_p47,no_fondo,no,no_aplica,,no,no,no_aplica,,0
329_p49,no_fondo,no,no_aplica,,no,no,no_aplica,,0
329_p53,no_revision_procesal,no,no_aplica,recurso_extraordinario,no,no,no_aplica,,0
329_p59,no_revision_demanda,no,no_aplica,,no,no,no_aplica,,0
329_p78,no_revision_procesal,no,no_aplica,,no,no,no_aplica,,0
329_p80,no_revision_competencia,no,no_aplica,,no,no,sin_marcador,,0
329_p83,no_revision_competencia,no,no_aplica,,no,no,sin_marcador,,0
329_p85,no_revision_competencia,no,no_aplica,,no,no,sin_marcador,,0
329_p88,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
329_p94,deja_sin_efecto,no,recurrente_gana,recurso_ordinario,no,si,admite,,0
329_p117,no_fondo,no,no_aplica,recurso_extraordinario,no,no,inadmite,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0
329_p120,nulidad,si,recurrente_gana,recurso_extraordinario,no,si,admite,,0
329_p123,revoca,no,recurrente_gana,recurso_extraordinario,no,si,admite,,0
329_p134,no_fondo,no,no_aplica,recurso_extraordinario,no,no,sin_marcador,,0
329_p135,no_fondo,no,no_aplica,recurso_extraordinario,no,no,inadmite,ART_280,1
329_p142,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
329_p147,no_fondo,no,no_aplica,recurso_extraordinario,no,no,inadmite,INADMISIBLE_SIN_CAUSAL_EXPLICITA,1
329_p149,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
329_p158,no_fondo,no,no_aplica,,no,no,inadmite,INADMISIBLE_REMITE_DICTAMEN,1
329_p163,no_fondo,no,no_aplica,,no,no,no_aplica,,0
329_p165,no_fondo,no,no_aplica,,no,no,no_aplica,,0
329_p167,no_revision_competencia,no,no_aplica,,no,no,sin_marcador,,0
329_p171,no_revision_competencia,no,no_aplica,,no,no,sin_marcador,,0
329_p175,no_revision_competencia,no,no_aplica,,no,no,sin_marcador,,0
329_p177,no_revision_competencia,no,no_aplica,,no,no,sin_marcador,,0
329_p182,no_revision_procesal,no,no_aplica,recurso_extraordinario,no,no,inadmite,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0
329_p184,confirma,no,recurrente_pierde,recurso_extraordinario,no,si,admite,,0
329_p187,confirma,no,recurrente_pierde,recurso_extraordinario,no,si,admite,,0
329_p201,revoca,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
329_p206,no_fondo,no,no_aplica,,no,no,inadmite,INADMISIBLE_REMITE_DICTAMEN,1
329_p212,no_fondo,no,no_aplica,,no,no,no_aplica,,0
329_p215,no_revision_procesal,no,no_aplica,,no,no,sin_marcador,,0
329_p218,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
329_p222,no_revision_procesal,no,no_aplica,,no,no,sin_marcador,,0
329_p224,no_fondo,no,no_aplica,recurso_extraordinario,no,no,no_aplica,,0
329_p229,no_revision_competencia,no,no_aplica,,no,no,sin_marcador,,0
329_p231,no_revision_competencia,no,no_aplica,,no,no,sin_marcador,,0
329_p234,no_revision_competencia,no,no_aplica,,no,no,sin_marcador,,0
329_p237,no_revision_competencia,no,no_aplica,,no,no,sin_marcador,,0
329_p239,revoca,no,recurrente_gana,recurso_ordinario,no,si,admite,,0
329_p241,no_fondo,no,no_aplica,,no,no,no_aplica,,0
329_p243,no_revision_procesal,no,no_aplica,,no,no,inadmite,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0
329_p244,no_fondo,no,no_aplica,recurso_extraordinario,no,no,inadmite,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0
329_p292,no_revision_procesal,no,no_aplica,recurso_extraordinario,no,no,inadmite,ART_280,0
329_p297,no_fondo,no,no_aplica,recurso_extraordinario,no,no,inadmite,FALTA_SENTENCIA_DEFINITIVA,0
329_p300,confirma,no,recurrente_pierde,recurso_extraordinario,no,si,admite,,0
329_p304,confirma,no,recurrente_pierde,recurso_extraordinario,no,si,admite,,0
