caso_id_canonico,tomo,date,n_jueces,n_titulares,voting_pattern,jueces,jueces_conocidos,jueces_desconocidos,posiciones,outcome,status_fin,pista_fin,source_file,linea_inicio,linea_fin_real,subclase_unanime
330_p3141,330,11 de julio de 2007,2,2,unanime,Lorenzetti | Maqueda,Lorenzetti | Maqueda,,"{""Lorenzetti"": ""mayoria"", ""Maqueda"": ""mayoria""}",competencia,fin_extendido_pag_compartida,caratula_siguiente,LibroVol330.3.md,10286,10441,1
330_p3801,330,4 de septiembre de 2007,2,2,unanime,Highton de Nolasco | Fayt,Highton de Nolasco | Fayt,,"{""Highton de Nolasco"": ""mayoria"", ""Fayt"": ""mayoria""}",rechaza,fin_extendido_pag_compartida,caratula_siguiente,LibroVol330.3.md,36455,37847,1
331_p1397,331,3 de junio de 2008,2,0,unanime,Pereyra González (conjuez) | Irurzun (conjuez),Pereyra González (conjuez) | Irurzun (conjuez),,"{""Pereyra González (conjuez)"": ""mayoria"", ""Irurzun (conjuez)"": ""mayoria""}",otro,fin_extendido_pag_compartida,caratula_siguiente,LibroVol331.2.md,15031,15098,1
331_p1441,331,18 de junio de 2008,1,1,unanime,Petracchi,Petracchi,,"{""Petracchi"": ""mayoria""}",confirma,fin_extendido_pag_compartida,caratula_siguiente,LibroVol331.2.md,16685,16981,1
331_p1468,331,,1,1,unanime,Lorenzetti,Lorenzetti,,"{""Lorenzetti"": ""mayoria""}",procedente,fin_por_firma_actual,firma_actual,LibroVol331.2.md,17731,17746,1
332_p2237,332,6 de octubre de 2009,1,1,unanime,Highton de Nolasco,Highton de Nolasco,,"{""Highton de Nolasco"": ""mayoria""}",desestima,fin_extendido_pag_compartida,caratula_siguiente,LibroVol332.3.md,8036,8547,1
332_p5,332,3 de febrero de 2009,2,2,unanime,Lorenzetti | Highton de Nolasco,Lorenzetti | Highton de Nolasco,,"{""Lorenzetti"": ""mayoria"", ""Highton de Nolasco"": ""mayoria""}",improcedente,fin_extendido_pag_compartida,caratula_siguiente,LibroVol332.1.md,57,323,1
338_p1060,338,27 de octubre de 2015,2,2,unanime,Lorenzetti | Highton de Nolasco,Lorenzetti | Highton de Nolasco,,"{""Lorenzetti"": ""mayoria"", ""Highton de Nolasco"": ""mayoria""}",competencia,fin_por_firma_actual,firma_actual,LibroVol338.2.md,14371,15304,1
338_p1149,338,27 de octubre de 2015,2,2,unanime,Lorenzetti | Highton de Nolasco,Lorenzetti | Highton de Nolasco,,"{""Lorenzetti"": ""mayoria"", ""Highton de Nolasco"": ""mayoria""}",procedente,fin_por_firma_actual,firma_actual,LibroVol338.2.md,17903,18146,1
338_p477,338,16 de junio de 2015,2,2,unanime,Lorenzetti | Highton de Nolasco,Lorenzetti | Highton de Nolasco,,"{""Lorenzetti"": ""mayoria"", ""Highton de Nolasco"": ""mayoria""}",procedente,fin_por_firma_actual,firma_actual,LibroVol338.1.md,18382,18678,1
338_p651,338,14 de julio de 2015,2,2,unanime,Lorenzetti | Highton de Nolasco,Lorenzetti | Highton de Nolasco,,"{""Lorenzetti"": ""mayoria"", ""Highton de Nolasco"": ""mayoria""}",desestima,fin_por_firma_actual,firma_actual,LibroVol338.1.md,25186,25229,1
339_p127,339,16 de febrero de 2016,2,2,unanime,Lorenzetti | Highton de Nolasco,Lorenzetti | Highton de Nolasco,,"{""Lorenzetti"": ""mayoria"", ""Highton de Nolasco"": ""mayoria""}",hace_lugar,fin_por_firma_actual,firma_actual,LibroVol339.1.md,4549,5166,1
339_p155,339,23 de febrero de 2016,2,2,unanime,Lorenzetti | Highton de Nolasco,Lorenzetti | Highton de Nolasco,,"{""Lorenzetti"": ""mayoria"", ""Highton de Nolasco"": ""mayoria""}",procedente,fin_por_firma_actual,firma_actual,LibroVol339.1.md,5683,5888,1
339_p323,339,16 de marzo de 2016,2,0,segun_su_voto,Leal de Ibarra (conjuez) | Ferro (conjuez),Leal de Ibarra (conjuez) | Ferro (conjuez),Jorge Morán | Javier Leal | Élida Isabel Vidal,"{""Leal de Ibarra (conjuez)"": ""mayoria"", ""Ferro (conjuez)"": ""según su voto""}",hace_lugar,fin_extendido_pag_compartida,caratula_siguiente,LibroVol339.1.md,11930,12985,0
339_p680,339,24 de mayo de 2016,2,2,unanime,Lorenzetti | Highton de Nolasco,Lorenzetti | Highton de Nolasco,,"{""Lorenzetti"": ""mayoria"", ""Highton de Nolasco"": ""mayoria""}",procedente,fin_por_firma_actual,firma_actual,LibroVol339.1.md,25449,25545,1
340_p1940,340,26 de diciembre de 2017,1,1,unanime,Maqueda,Maqueda,,"{""Maqueda"": ""mayoria""}",hace_lugar,fin_extendido_pag_compartida,caratula_siguiente,LibroVol340_2.md,37240,38211,1
340_p204,340,21 de marzo de 2017,1,1,unanime,Rosatti,Rosatti,,"{""Rosatti"": ""mayoria""}",otro,fin_extendido_pag_compartida,marcador_apertura_siguiente,LibroVol340.1.md,7403,7553,1
340_p403,340,4 de abril de 2017,2,2,unanime,Lorenzetti | Highton de Nolasco,Lorenzetti | Highton de Nolasco,,"{""Lorenzetti"": ""mayoria"", ""Highton de Nolasco"": ""mayoria""}",nulidad_concesion,fin_por_firma_actual,firma_actual,LibroVol340.1.md,15025,15143,1
341_p726,341,3 de julio de 2018,2,2,unanime,Lorenzetti | Highton de Nolasco,Lorenzetti | Highton de Nolasco,,"{""Lorenzetti"": ""mayoria"", ""Highton de Nolasco"": ""mayoria""}",desestima,fin_por_firma_actual,firma_actual,LibroVol341.1.md,27353,27397,1
342_p1847,342,5 de noviembre de 2019,1,0,unanime,García Lema (conjuez),García Lema (conjuez),,"{""García Lema (conjuez)"": ""mayoria""}",rechaza,fin_extendido_pag_compartida,caratula_siguiente,LibroVol342-2.md,21045,22980,1
343_p1024,343,24 de septiembre de 2020,1,1,unanime,Rosenkrantz,Rosenkrantz,,"{""Rosenkrantz"": ""mayoria""}",deja_sin_efecto,fin_extendido_pag_compartida,caratula_siguiente,LibroVol343-2.md,13234,13495,1
343_p1457,343,3 de noviembre de 2020,1,1,unanime,Highton de Nolasco,Highton de Nolasco,,"{""Highton de Nolasco"": ""mayoria""}",revoca,fin_extendido_pag_compartida,caratula_siguiente,LibroVol343-3.md,62,5343,1
343_p1758,343,26 de noviembre de 2020,2,2,unanime,Highton de Nolasco | Maqueda,Highton de Nolasco | Maqueda,,"{""Highton de Nolasco"": ""mayoria"", ""Maqueda"": ""mayoria""}",hace_lugar,fin_por_firma_actual,firma_actual,LibroVol343-3.md,11772,11910,1
343_p300,343,15 de mayo de 2020,1,1,unanime,Rosenkrantz,Rosenkrantz,,"{""Rosenkrantz"": ""mayoria""}",otro,fin_extendido_pag_compartida,caratula_siguiente,LibroVol343-1.md,11413,11612,1
344_p1102,344,13 de mayo de 2021,1,1,unanime,Rosenkrantz,Rosenkrantz,,"{""Rosenkrantz"": ""mayoria""}",rechaza,fin_extendido_pag_compartida,caratula_siguiente,LibroVol344-1.md,42735,44129,1
344_p2779,344,14 de octubre de 2021,1,1,unanime,Maqueda,Maqueda,Estado Nacional | Dr. Juan Manuel González | Dr. Mar | A. Giangrasso.,"{""Maqueda"": ""mayoria""}",sin_dispositivo,fin_extendido_pag_compartida,caratula_siguiente,LibroVol344-3.md,5939,6384,1
344_p3070,344,26 de octubre de 2021,1,0,unanime,Cossio (conjuez),Cossio (conjuez),Graciela Susana | Ibarra Javier M. | D. Díaz Sieiro | Silvana M. Garrido Santos | Raúl M. Gaitán. Parte | Estado Nacional | Finanzas Públicas | Administración Federal | Ingresos Públicos | Dirección General Impositiva,"{""Cossio (conjuez)"": ""mayoria""}",abstracto,fin_extendido_pag_compartida,caratula_siguiente,LibroVol344-3.md,17432,17723,1
344_p3695,344,16 de diciembre de 2021,2,2,unanime,Rosatti | Rosenkrantz,Rosatti | Rosenkrantz,Juan Carlos,"{""Rosatti"": ""mayoria"", ""Rosenkrantz"": ""mayoria""}",hace_lugar,fin_por_firma_actual,firma_actual,LibroVol344-3.md,41821,42011,1
344_p441,344,8 de abril de 2021,1,1,unanime,Rosatti,Rosatti,Señor Ministro Doctor Don | Tribunal Superior | Mapuche Catalán | Confederación Indígena Neuquina | Villa Pehuenia | Poder Ejecutivo | Constitución Nacional | Organización Internacional | Pueblos Indígenas,"{""Rosatti"": ""mayoria""}",revoca,fin_extendido_pag_compartida,caratula_siguiente,LibroVol344-1.md,17197,19317,1
344_p575,344,15 de abril de 2021,1,1,unanime,Maqueda,Maqueda,,"{""Maqueda"": ""mayoria""}",hace_lugar,fin_extendido_pag_compartida,caratula_siguiente,LibroVol344-1.md,22426,23477,1
344_p66,344,11 de febrero de 2021,2,2,unanime,Highton de Nolasco | Maqueda,Highton de Nolasco | Maqueda,,"{""Highton de Nolasco"": ""mayoria"", ""Maqueda"": ""mayoria""}",revoca,fin_por_firma_actual,firma_actual,LibroVol344-1.md,2642,3226,1
344_p757,344,29 de abril de 2021,1,1,unanime,Highton de Nolasco,Highton de Nolasco,,"{""Highton de Nolasco"": ""mayoria""}",otro,fin_extendido_pag_compartida,caratula_siguiente,LibroVol344-1.md,29362,29441,1
345_p1336,345,24 de noviembre de 2022,2,2,unanime,Rosatti | Rosenkrantz,Rosatti | Rosenkrantz,Juan Carlos,"{""Rosatti"": ""mayoria"", ""Rosenkrantz"": ""mayoria""}",rechaza,fin_por_firma_actual,firma_actual,LibroVol345-2.md,17530,17685,1
345_p1417,345,15 de diciembre de 2022,2,2,unanime,Rosatti | Rosenkrantz,Rosatti | Rosenkrantz,Juan Carlos,"{""Rosatti"": ""mayoria"", ""Rosenkrantz"": ""mayoria""}",procedente,fin_por_firma_actual,firma_actual,LibroVol345-2.md,20614,20756,1
345_p599,345,,2,2,unanime,Rosatti | Maqueda,Rosatti | Maqueda,,"{""Rosatti"": ""mayoria"", ""Maqueda"": ""mayoria""}",hace_lugar,fin_por_firma_actual,firma_actual,LibroVol345-1.md,22930,22948,1
346_p319,346,20 de abril de 2023,2,2,unanime,Rosatti | Lorenzetti,Rosatti | Lorenzetti,,"{""Rosatti"": ""mayoria"", ""Lorenzetti"": ""mayoria""}",hace_lugar,fin_extendido_pag_compartida,caratula_siguiente,LibroVol346-1.md,12296,12581,1
347_p1396,347,8 de octubre de 2024,1,1,unanime,Rosatti,Rosatti,Señor Presidente Doctor Don | Procurador Fiscal,"{""Rosatti"": ""mayoria""}",desestima,fin_extendido_pag_compartida,caratula_siguiente,LibroVol347-2.md,8507,8767,1
347_p2160,347,19 de diciembre de 2024,1,1,unanime,Rosatti,Rosatti,,"{""Rosatti"": ""mayoria""}",desestima,fin_extendido_pag_compartida,caratula_siguiente,LibroVol347-2.md,38314,38989,1
347_p412,347,7 de mayo de 2024,2,2,unanime,Rosatti | Rosenkrantz,Rosatti | Rosenkrantz,Juan Carlos,"{""Rosatti"": ""mayoria"", ""Rosenkrantz"": ""mayoria""}",otro,fin_por_firma_actual,firma_actual,LibroVol347-1.md,15859,15914,1
347_p520,347,16 de mayo de 2024,1,1,unanime,Rosatti,Rosatti,Corte Suprema,"{""Rosatti"": ""mayoria""}",otro,fin_extendido_pag_compartida,caratula_siguiente,LibroVol347-1.md,20105,20888,1
347_p818,347,11 de julio de 2024,2,2,unanime,Rosatti | Rosenkrantz,Rosatti | Rosenkrantz,Juan Carlos,"{""Rosatti"": ""mayoria"", ""Rosenkrantz"": ""mayoria""}",deja_sin_efecto,fin_por_firma_actual,firma_actual,LibroVol347-1.md,31542,31721,1
348_p1242,348,16 de octubre de 2025,2,2,unanime,Rosatti | Rosenkrantz,Rosatti | Rosenkrantz,Ricardo Luis,"{""Rosatti"": ""mayoria"", ""Rosenkrantz"": ""mayoria""}",otro,fin_por_firma_actual,firma_actual,LibroVol348-1.md,47919,48361,1
348_p259,348,,2,2,unanime,Rosatti | Rosenkrantz,Rosatti | Rosenkrantz,Ricardo Luis,"{""Rosatti"": ""mayoria"", ""Rosenkrantz"": ""mayoria""}",hace_lugar,fin_por_firma_actual,firma_actual,LibroVol348-1.md,9935,9953,1
348_p473,348,,2,2,unanime,Rosatti | Rosenkrantz,Rosatti | Rosenkrantz,Ricardo Luis,"{""Rosatti"": ""mayoria"", ""Rosenkrantz"": ""mayoria""}",hace_lugar,fin_por_firma_actual,firma_actual,LibroVol348-1.md,18027,18040,1
348_p60,348,,2,2,unanime,Rosatti | Rosenkrantz,Rosatti | Rosenkrantz,Ricardo Luis,"{""Rosatti"": ""mayoria"", ""Rosenkrantz"": ""mayoria""}",desestima,fin_por_firma_actual,firma_actual,LibroVol348-1.md,2246,2253,1
348_p659,348,1 de julio de 2025,2,2,unanime,Rosatti | Rosenkrantz,Rosatti | Rosenkrantz,Ricardo Luis,"{""Rosatti"": ""mayoria"", ""Rosenkrantz"": ""mayoria""}",otro,fin_por_firma_actual,firma_actual,LibroVol348-1.md,25407,25507,1
348_p708,348,17 de julio de 2025,1,0,unanime,Rabbi-Baldi Cabanillas (conjuez),Rabbi-Baldi Cabanillas (conjuez),Luis Renato Rabbi | Baldi Cabanillas.,"{""Rabbi-Baldi Cabanillas (conjuez)"": ""mayoria""}",rechaza,fin_extendido_pag_compartida,caratula_siguiente,LibroVol348-1.md,27269,27554,1
348_p83,348,6 de marzo de 2025,2,2,unanime,Rosatti | Rosenkrantz,Rosatti | Rosenkrantz,Manuel José García,"{""Rosatti"": ""mayoria"", ""Rosenkrantz"": ""mayoria""}",deja_sin_efecto,fin_extendido_pag_compartida,caratula_siguiente,LibroVol348-1.md,3107,3338,1
