caso_id_canonico,tomo,archivo,linea_inicio,linea_fin_catalogo,linea_fin_real,delta_lineas,status_fin,pista
329_p5,329,LibroVol329.1.md,39,177,184,7,fin_extendido_pag_compartida,caratula_siguiente
329_p9,329,LibroVol329.1.md,178,282,272,-10,fin_dentro_bloque,sumario_siguiente
329_p12,329,LibroVol329.1.md,283,392,395,3,fin_extendido_pag_compartida,caratula_siguiente
329_p15,329,LibroVol329.1.md,393,536,543,7,fin_extendido_pag_compartida,sumario_siguiente
329_p19,329,LibroVol329.1.md,537,568,577,9,fin_extendido_pag_compartida,caratula_siguiente
329_p20,329,LibroVol329.1.md,569,873,888,15,fin_extendido_pag_compartida,caratula_siguiente
329_p28,329,LibroVol329.1.md,874,1342,1343,1,fin_extendido_pag_compartida,caratula_siguiente
329_p40,329,LibroVol329.1.md,1343,1609,1610,1,fin_extendido_pag_compartida,caratula_siguiente
329_p47,329,LibroVol329.1.md,1610,1682,1729,47,fin_extendido_pag_compartida,caratula_siguiente
329_p49,329,LibroVol329.1.md,1683,1830,1842,12,fin_extendido_pag_compartida,sumario_siguiente
329_p53,329,LibroVol329.1.md,1831,2052,1838,-214,fin_dentro_bloque,caratula_siguiente
329_p59,329,LibroVol329.1.md,2053,2805,2809,4,fin_extendido_pag_compartida,caratula_siguiente
329_p78,329,LibroVol329.1.md,2806,2878,2886,8,fin_extendido_pag_compartida,caratula_siguiente
329_p80,329,LibroVol329.1.md,2879,2988,2989,1,fin_extendido_pag_compartida,caratula_siguiente
329_p83,329,LibroVol329.1.md,2989,3060,3101,41,fin_extendido_pag_compartida,caratula_siguiente
329_p85,329,LibroVol329.1.md,3061,3171,3191,20,fin_extendido_pag_compartida,caratula_siguiente
329_p88,329,LibroVol329.1.md,3172,3390,3394,4,fin_extendido_pag_compartida,caratula_siguiente
329_p94,329,LibroVol329.1.md,3391,4280,4223,-57,fin_dentro_bloque,sumario_siguiente
329_p117,329,LibroVol329.1.md,4281,4385,4405,20,fin_extendido_pag_compartida,caratula_siguiente
329_p120,329,LibroVol329.1.md,4386,4485,4459,-26,fin_dentro_bloque,caratula_siguiente
329_p123,329,LibroVol329.1.md,4486,4931,4943,12,fin_extendido_pag_compartida,caratula_siguiente
329_p134,329,LibroVol329.1.md,4932,4962,4990,28,fin_extendido_pag_compartida,caratula_siguiente
329_p135,329,LibroVol329.1.md,4963,5227,5236,9,fin_extendido_pag_compartida,caratula_siguiente
329_p142,329,LibroVol329.1.md,5228,5410,5421,11,fin_extendido_pag_compartida,caratula_siguiente
329_p147,329,LibroVol329.1.md,5411,5476,5477,1,fin_extendido_pag_compartida,caratula_siguiente
329_p149,329,LibroVol329.1.md,5477,5814,5840,26,fin_extendido_pag_compartida,caratula_siguiente
329_p158,329,LibroVol329.1.md,5815,5998,5991,-7,fin_dentro_bloque,sumario_siguiente
329_p163,329,LibroVol329.1.md,5999,6071,6087,16,fin_extendido_pag_compartida,sumario_siguiente
329_p165,329,LibroVol329.1.md,6072,6138,6160,22,fin_extendido_pag_compartida,caratula_siguiente
329_p167,329,LibroVol329.1.md,6139,6280,6281,1,fin_extendido_pag_compartida,caratula_siguiente
329_p171,329,LibroVol329.1.md,6281,6429,6430,1,fin_extendido_pag_compartida,caratula_siguiente
329_p175,329,LibroVol329.1.md,6430,6504,6521,17,fin_extendido_pag_compartida,caratula_siguiente
329_p177,329,LibroVol329.1.md,6505,6687,6693,6,fin_extendido_pag_compartida,caratula_siguiente
329_p182,329,LibroVol329.1.md,6688,6753,6767,14,fin_extendido_pag_compartida,sumario_siguiente
329_p184,329,LibroVol329.1.md,6754,6867,6890,23,fin_extendido_pag_compartida,caratula_siguiente
329_p187,329,LibroVol329.1.md,6868,7425,7447,22,fin_extendido_pag_compartida,caratula_siguiente
329_p201,329,LibroVol329.1.md,7426,7599,7480,-119,fin_dentro_bloque,caratula_siguiente
329_p206,329,LibroVol329.1.md,7600,7831,7834,3,fin_extendido_pag_compartida,caratula_siguiente
329_p212,329,LibroVol329.1.md,7832,7945,7965,20,fin_extendido_pag_compartida,sumario_siguiente
329_p215,329,LibroVol329.1.md,7946,8049,8066,17,fin_extendido_pag_compartida,caratula_siguiente
329_p218,329,LibroVol329.1.md,8050,8195,8201,6,fin_extendido_pag_compartida,sumario_siguiente
329_p222,329,LibroVol329.1.md,8196,8267,8277,10,fin_extendido_pag_compartida,caratula_siguiente
329_p224,329,LibroVol329.1.md,8268,8451,8452,1,fin_extendido_pag_compartida,caratula_siguiente
329_p229,329,LibroVol329.1.md,8452,8524,8544,20,fin_extendido_pag_compartida,caratula_siguiente
329_p231,329,LibroVol329.1.md,8525,8622,8562,-60,fin_dentro_bloque,caratula_siguiente
329_p234,329,LibroVol329.1.md,8623,8727,8728,1,fin_extendido_pag_compartida,caratula_siguiente
329_p237,329,LibroVol329.1.md,8728,8790,8791,1,fin_extendido_pag_compartida,caratula_siguiente
329_p239,329,LibroVol329.1.md,8791,8864,8860,-4,fin_dentro_bloque,sumario_siguiente
329_p241,329,LibroVol329.1.md,8865,8937,8947,10,fin_extendido_pag_compartida,sumario_siguiente
329_p243,329,LibroVol329.1.md,8938,8967,8952,-15,fin_dentro_bloque,sumario_siguiente
329_p244,329,LibroVol329.1.md,8968,10941,10942,1,fin_extendido_pag_compartida,caratula_siguiente
329_p292,329,LibroVol329.1.md,10942,11120,11103,-17,fin_dentro_bloque,sumario_siguiente
329_p297,329,LibroVol329.1.md,11121,11221,11228,7,fin_extendido_pag_compartida,caratula_siguiente
329_p300,329,LibroVol329.1.md,11222,11362,11367,5,fin_extendido_pag_compartida,caratula_siguiente
329_p304,329,LibroVol329.1.md,11363,11561,11584,23,fin_extendido_pag_compartida,caratula_siguiente
329_p309,329,LibroVol329.1.md,11562,11759,11767,8,fin_extendido_pag_compartida,caratula_siguiente
329_p314,329,LibroVol329.1.md,11760,11869,11880,11,fin_extendido_pag_compartida,caratula_siguiente
329_p317,329,LibroVol329.1.md,11870,11897,11942,45,fin_extendido_pag_compartida,caratula_siguiente
329_p318,329,LibroVol329.1.md,11898,12120,12143,23,fin_extendido_pag_compartida,caratula_siguiente
329_p324,329,LibroVol329.1.md,12121,12187,12213,26,fin_extendido_pag_compartida,caratula_siguiente
329_p326,329,LibroVol329.1.md,12188,12286,12303,17,fin_extendido_pag_compartida,caratula_siguiente
329_p329,329,LibroVol329.1.md,12287,12325,12332,7,fin_extendido_pag_compartida,caratula_siguiente
329_p330,329,LibroVol329.1.md,12326,12514,12515,1,fin_extendido_pag_compartida,caratula_siguiente
329_p335,329,LibroVol329.1.md,12515,12792,12813,21,fin_extendido_pag_compartida,caratula_siguiente
329_p342,329,LibroVol329.1.md,12793,13048,13049,1,fin_extendido_pag_compartida,caratula_siguiente
329_p349,329,LibroVol329.1.md,13049,13200,13174,-26,fin_dentro_bloque,caratula_siguiente
329_p353,329,LibroVol329.1.md,13201,13381,13368,-13,fin_dentro_bloque,caratula_siguiente
329_p358,329,LibroVol329.1.md,13382,13834,13858,24,fin_extendido_pag_compartida,caratula_siguiente
329_p370,329,LibroVol329.1.md,13835,13949,13969,20,fin_extendido_pag_compartida,caratula_siguiente
329_p373,329,LibroVol329.1.md,13950,14269,14287,18,fin_extendido_pag_compartida,caratula_siguiente
329_p381,329,LibroVol329.1.md,14270,14336,14348,12,fin_extendido_pag_compartida,caratula_siguiente
329_p383,329,LibroVol329.1.md,14337,14402,14404,2,fin_extendido_pag_compartida,caratula_siguiente
329_p385,329,LibroVol329.1.md,14403,16210,16224,14,fin_extendido_pag_compartida,caratula_siguiente
329_p429,329,LibroVol329.1.md,16211,16283,16290,7,fin_extendido_pag_compartida,caratula_siguiente
329_p431,329,LibroVol329.1.md,16284,16316,16338,22,fin_extendido_pag_compartida,sumario_siguiente
329_p432,329,LibroVol329.1.md,16317,16501,16507,6,fin_extendido_pag_compartida,sumario_siguiente
329_p437,329,LibroVol329.1.md,16502,16605,16625,20,fin_extendido_pag_compartida,caratula_siguiente
329_p440,329,LibroVol329.1.md,16606,16781,16751,-30,fin_dentro_bloque,sumario_siguiente
329_p445,329,LibroVol329.1.md,16782,17471,17304,-167,fin_dentro_bloque,sumario_siguiente
329_p463,329,LibroVol329.1.md,17472,17772,17777,5,fin_extendido_pag_compartida,caratula_siguiente
329_p471,329,LibroVol329.1.md,17773,17803,17819,16,fin_extendido_pag_compartida,caratula_siguiente
329_p472,329,LibroVol329.1.md,17804,17834,17820,-14,fin_dentro_bloque,sumario_siguiente
329_p473,329,LibroVol329.1.md,17835,18572,18582,10,fin_extendido_pag_compartida,caratula_siguiente
329_p491,329,LibroVol329.1.md,18573,18634,18635,1,fin_extendido_pag_compartida,caratula_siguiente
329_p493,329,LibroVol329.1.md,18635,18700,18707,7,fin_extendido_pag_compartida,caratula_siguiente
329_p495,329,LibroVol329.1.md,18701,18882,18884,2,fin_extendido_pag_compartida,caratula_siguiente
329_p500,329,LibroVol329.1.md,18883,18957,18982,25,fin_extendido_pag_compartida,caratula_siguiente
329_p502,329,LibroVol329.1.md,18958,19253,19282,29,fin_extendido_pag_compartida,caratula_siguiente
329_p510,329,LibroVol329.1.md,19254,19360,19376,16,fin_extendido_pag_compartida,caratula_siguiente
329_p513,329,LibroVol329.1.md,19361,19536,19557,21,fin_extendido_pag_compartida,caratula_siguiente
329_p518,329,LibroVol329.1.md,19537,19837,19852,15,fin_extendido_pag_compartida,caratula_siguiente
329_p526,329,LibroVol329.1.md,19838,19978,19996,18,fin_extendido_pag_compartida,caratula_siguiente
329_p530,329,LibroVol329.1.md,19979,20227,20243,16,fin_extendido_pag_compartida,caratula_siguiente
329_p537,329,LibroVol329.1.md,20228,20410,20456,46,fin_extendido_pag_compartida,caratula_siguiente
329_p542,329,LibroVol329.1.md,20411,20529,20508,-21,fin_dentro_bloque,caratula_siguiente
329_p545,329,LibroVol329.1.md,20530,20637,20658,21,fin_extendido_pag_compartida,caratula_siguiente
329_p548,329,LibroVol329.1.md,20638,20744,20766,22,fin_extendido_pag_compartida,caratula_siguiente
329_p551,329,LibroVol329.1.md,20745,20815,20751,-64,fin_dentro_bloque,caratula_siguiente
329_p553,329,LibroVol329.1.md,20816,21082,21078,-4,fin_dentro_bloque,caratula_siguiente
329_p560,329,LibroVol329.1.md,21083,21274,21292,18,fin_extendido_pag_compartida,caratula_siguiente
329_p565,329,LibroVol329.1.md,21275,21372,21373,1,fin_extendido_pag_compartida,caratula_siguiente
329_p568,329,LibroVol329.1.md,21373,21447,21468,21,fin_extendido_pag_compartida,caratula_siguiente
329_p570,329,LibroVol329.1.md,21448,21550,21558,8,fin_extendido_pag_compartida,caratula_siguiente
329_p573,329,LibroVol329.1.md,21551,21662,21627,-35,fin_dentro_bloque,caratula_siguiente
329_p576,329,LibroVol329.1.md,21663,21968,21958,-10,fin_dentro_bloque,sumario_siguiente
329_p584,329,LibroVol329.1.md,21969,22410,22406,-4,fin_dentro_bloque,sumario_siguiente
329_p595,329,LibroVol329.1.md,22411,23319,23320,1,fin_extendido_pag_compartida,caratula_siguiente
329_p617,329,LibroVol329.1.md,23320,23390,23409,19,fin_extendido_pag_compartida,caratula_siguiente
329_p619,329,LibroVol329.1.md,23391,23417,23432,15,fin_extendido_pag_compartida,caratula_siguiente
329_p620,329,LibroVol329.1.md,23418,23476,23487,11,fin_extendido_pag_compartida,caratula_siguiente
329_p622,329,LibroVol329.1.md,23477,23504,23510,6,fin_extendido_pag_compartida,caratula_siguiente
329_p623,329,LibroVol329.1.md,23505,23533,23543,10,fin_extendido_pag_compartida,caratula_siguiente
329_p624,329,LibroVol329.1.md,23534,23723,23742,19,fin_extendido_pag_compartida,caratula_siguiente
329_p629,329,LibroVol329.1.md,23724,23902,23898,-4,fin_dentro_bloque,sumario_siguiente
329_p634,329,LibroVol329.1.md,23903,24089,24111,22,fin_extendido_pag_compartida,caratula_siguiente
329_p639,329,LibroVol329.1.md,24090,24342,24346,4,fin_extendido_pag_compartida,caratula_siguiente
329_p646,329,LibroVol329.1.md,24343,25245,25248,3,fin_extendido_pag_compartida,sumario_siguiente
329_p669,329,LibroVol329.1.md,25246,25639,25684,45,fin_extendido_pag_compartida,caratula_siguiente
329_p679,329,LibroVol329.1.md,25640,26016,26004,-12,fin_dentro_bloque,sumario_siguiente
329_p689,329,LibroVol329.1.md,26017,26240,26211,-29,fin_dentro_bloque,sumario_siguiente
329_p695,329,LibroVol329.1.md,26241,26817,26839,22,fin_extendido_pag_compartida,caratula_siguiente
329_p710,329,LibroVol329.1.md,26818,27032,27033,1,fin_extendido_pag_compartida,caratula_siguiente
329_p716,329,LibroVol329.1.md,27033,27058,27077,19,fin_extendido_pag_compartida,caratula_siguiente
329_p717,329,LibroVol329.1.md,27059,27290,27335,45,fin_extendido_pag_compartida,caratula_siguiente
329_p723,329,LibroVol329.1.md,27291,27546,27519,-27,fin_dentro_bloque,sumario_siguiente
329_p730,329,LibroVol329.1.md,27547,27693,27710,17,fin_extendido_pag_compartida,caratula_siguiente
329_p734,329,LibroVol329.1.md,27694,27943,27944,1,fin_extendido_pag_compartida,caratula_siguiente
329_p741,329,LibroVol329.1.md,27944,28010,28022,12,fin_extendido_pag_compartida,caratula_siguiente
329_p743,329,LibroVol329.1.md,28011,28348,28349,1,fin_extendido_pag_compartida,caratula_siguiente
329_p752,329,LibroVol329.1.md,28349,28374,28367,-7,fin_dentro_bloque,sumario_siguiente
329_p753,329,LibroVol329.1.md,28375,28448,28466,18,fin_extendido_pag_compartida,caratula_siguiente
329_p755,329,LibroVol329.1.md,28449,28595,28604,9,fin_extendido_pag_compartida,caratula_siguiente
329_p759,329,LibroVol329.1.md,28596,29123,29144,21,fin_extendido_pag_compartida,caratula_siguiente
329_p772,329,LibroVol329.1.md,29124,29273,29322,49,fin_extendido_pag_compartida,caratula_siguiente
329_p776,329,LibroVol329.1.md,29274,29420,29421,1,fin_extendido_pag_compartida,caratula_siguiente
329_p780,329,LibroVol329.1.md,29421,29526,29527,1,fin_extendido_pag_compartida,caratula_siguiente
