tomo,total,ok,pagina_no_en_mapa,ultimo_del_tomo,ultimo_del_tomo_sin_fin,pagina_fin_no_en_mapa,fallo_cruza_archivos
329,1063,1059,0,1,0,0,3
330,752,748,0,1,0,0,3
331,376,354,11,1,0,10,0
332,330,308,11,1,0,10,0
333,252,230,11,1,0,10,0
334,199,178,10,1,0,9,1
337,118,116,0,1,0,0,1
338,153,151,0,1,0,0,1
339,313,311,0,1,0,0,1
340,265,263,0,1,0,0,1
341,228,226,0,1,0,0,1
342,204,202,0,1,0,0,1
343,225,222,0,1,0,0,2
344,307,304,0,1,0,0,2
345,209,207,0,1,0,0,1
346,195,193,0,1,0,0,1
347,228,226,0,1,0,0,1
348,237,236,0,1,0,0,0
349,36,35,0,1,0,0,0
