tomo,archivo,linea_header,pagina,motivo
329,LibroVol329.1.md,12289,329,duplicado_consecutivo
330,LibroVol330.1.md,12106,330,duplicado_consecutivo
331,LibroVol331.1.md,12342,331,duplicado_consecutivo
332,LibroVol332.1.md,12863,332,duplicado_consecutivo
333,LibroVol333.1.md,12673,333,duplicado_consecutivo
334,LibroVol334.1.md,13084,334,duplicado_consecutivo
337,LibroVol337.1.md,13155,337,duplicado_consecutivo
337,LibroVol337.2.md,169,337,outlier
338,LibroVol338.1.md,13067,338,duplicado_consecutivo
338,LibroVol338.2.md,35125,338,outlier
338,LibroVol338.2.md,35131,1593,outlier
339,LibroVol339.1.md,12569,339,duplicado_consecutivo
339,LibroVol339.1.md,624,339,outlier
339,LibroVol339.2.md,2841,339,outlier
340,LibroVol340.1.md,12617,340,duplicado_consecutivo
340,LibroVol340_2.md,6563,340,outlier
340,LibroVol340_2.md,14489,340,outlier
340,LibroVol340_2.md,27488,340,outlier
341,LibroVol341.1.md,12732,341,duplicado_consecutivo
341,LibroVol341.1.md,7772,341,outlier
341,LibroVol341.1.md,17566,341,outlier
341,LibroVol341.1.md,22536,341,outlier
341,LibroVol341.1.md,26971,341,outlier
341,LibroVol341.1.md,32227,341,outlier
341,LibroVol341.2.md,47183,341,outlier
342,LibroVol342-1.md,13474,342,duplicado_consecutivo
342,LibroVol342-1.md,41290,342,outlier
342,LibroVol342-2.md,5548,342,outlier
342,LibroVol342-2.md,10886,342,outlier
342,LibroVol342-2.md,21037,342,outlier
342,LibroVol342-2.md,42934,342,outlier
343,LibroVol343-1.md,13019,343,duplicado_consecutivo
343,LibroVol343-3.md,33848,343,outlier
344,LibroVol344-1.md,13504,344,duplicado_consecutivo
345,LibroVol345-1.md,13089,345,duplicado_consecutivo
346,LibroVol346-1.md,13347,346,duplicado_consecutivo
346,LibroVol346-2.md,30787,346,outlier
347,LibroVol347-1.md,13427,347,duplicado_consecutivo
348,LibroVol348-1.md,13203,348,duplicado_consecutivo
